Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11
3.200000e+002	2.1251e-002	1.3020e-001	-1.1418e-002	-2.7122e-002	4.0055e-002	-4.3546e-002	4.3179e-002	-4.1177e-002	3.8519e-002	-3.5783e-002	3.4039e-002
3.300000e+002	1.1553e-002	1.1296e-001	3.4964e-002	-6.0847e-002	5.9414e-002	-5.1531e-002	4.2710e-002	-3.4513e-002	2.7327e-002	-2.1227e-002	1.6376e-002
3.400000e+002	6.0963e-003	9.1228e-002	7.3832e-002	-7.4889e-002	5.4904e-002	-3.5672e-002	2.0347e-002	-8.7003e-003	-2.4576e-005	6.5650e-003	-1.1985e-002
3.500000e+002	3.1382e-003	6.9761e-002	9.9973e-002	-6.7888e-002	3.0672e-002	-4.8229e-003	-1.1581e-002	2.1569e-002	-2.7363e-002	3.0543e-002	-3.3026e-002
3.600000e+002	1.5815e-003	5.1063e-002	1.1256e-001	-4.4312e-002	-3.4474e-003	2.7875e-002	-3.8492e-002	4.1583e-002	-4.0691e-002	3.7898e-002	-3.5114e-002
3.700000e+002	7.8240e-004	3.6049e-002	1.1355e-001	-1.1357e-002	-3.6568e-002	5.0791e-002	-4.9974e-002	4.3176e-002	-3.4508e-002	2.5860e-002	-1.8190e-002
3.800000e+002	3.8081e-004	2.4681e-002	1.0612e-001	2.3673e-002	-6.0147e-002	5.7358e-002	-4.2876e-002	2.6893e-002	-1.2778e-002	1.3370e-003	8.0548e-003
3.900000e+002	1.8267e-004	1.6456e-002	9.3607e-002	5.4999e-002	-6.9609e-002	4.6963e-002	-2.0959e-002	1.8143e-004	1.4374e-002	-2.3796e-002	3.0383e-002
4.000000e+002	8.6476e-005	1.0720e-002	7.8851e-002	7.9033e-002	-6.4397e-002	2.3804e-002	7.7008e-003	-2.6596e-002	3.5770e-002	-3.8633e-002	3.8665e-002
4.100000e+002	4.0453e-005	6.8405e-003	6.3935e-002	9.4324e-002	-4.7022e-002	-5.3025e-003	3.4052e-002	-4.4279e-002	4.3629e-002	-3.7604e-002	2.9919e-002
4.200000e+002	1.8717e-005	4.2849e-003	5.0186e-002	1.0110e-001	-2.1723e-002	-3.3192e-002	5.0887e-002	-4.7720e-002	3.5861e-002	-2.1895e-002	8.6059e-003
4.300000e+002	8.5734e-006	2.6394e-003	3.8303e-002	1.0065e-001	6.8283e-003	-5.4090e-002	5.4464e-002	-3.6714e-002	1.5928e-002	1.9483e-003	-1.6160e-002
4.400000e+002	3.8905e-006	1.6011e-003	2.8520e-002	9.4784e-002	3.4478e-002	-6.4548e-002	4.4811e-002	-1.5241e-002	-9.1286e-003	2.5102e-002	-3.4728e-002
4.500000e+002	1.7502e-006	9.5772e-004	2.0773e-002	8.5397e-002	5.8147e-002	-6.3619e-002	2.5016e-002	1.0325e-002	-3.1400e-002	3.9790e-002	-4.0553e-002
4.600000e+002	7.8094e-007	5.6549e-004	1.4833e-002	7.4166e-002	7.6013e-002	-5.2460e-002	-5.0323e-005	3.3279e-002	-4.4584e-002	4.1679e-002	-3.2131e-002
4.700000e+002	3.4582e-007	3.2990e-004	1.0402e-002	6.2430e-002	8.7413e-002	-3.3639e-002	-2.5107e-002	4.8308e-002	-4.5522e-002	3.0777e-002	-1.2894e-002
4.800000e+002	1.5204e-007	1.9032e-004	7.1760e-003	5.1141e-002	9.2602e-002	-1.0376e-002	-4.5595e-002	5.2509e-002	-3.4594e-002	1.0861e-002	1.0502e-002
4.900000e+002	6.6393e-008	1.0865e-004	4.8759e-003	4.0899e-002	9.2442e-002	1.4120e-002	-5.8393e-002	4.5639e-002	-1.5109e-002	-1.2092e-002	3.0650e-002
5.000000e+002	2.8807e-008	6.1417e-005	3.2669e-003	3.2013e-002	8.8115e-002	3.7117e-002	-6.2083e-002	2.9724e-002	7.9219e-003	-3.1818e-002	4.1708e-002
5.100000e+002	1.2423e-008	3.4398e-005	2.1605e-003	2.4575e-002	8.0883e-002	5.6627e-002	-5.6841e-002	8.2782e-003	2.9190e-002	-4.3436e-002	4.0900e-002
