Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12
2.000000e+001	7.6851e-021	-6.7817e-020	1.4407e-019	-2.1955e-019	2.9453e-019	-3.6951e-019	4.4477e-019	-5.2045e-019	5.9661e-019	-6.7364e-019	7.5935e-019	-8.9657e-019
3.000000e+001	6.8092e-020	-5.5477e-019	1.1429e-018	-1.7118e-018	2.2693e-018	-2.8213e-018	3.3712e-018	-3.9207e-018	4.4709e-018	-5.0248e-018	5.6407e-018	-6.6337e-018
4.000000e+001	6.5441e-019	-4.9493e-018	9.9093e-018	-1.4606e-017	1.9149e-017	-2.3608e-017	2.8019e-017	-3.2401e-017	3.6767e-017	-4.1146e-017	4.6012e-017	-5.3913e-017
5.000000e+001	6.1916e-018	-4.3423e-017	8.4456e-017	-1.2247e-016	1.5878e-016	-1.9408e-016	2.2876e-016	-2.6302e-016	2.9699e-016	-3.3091e-016	3.6860e-016	-4.3028e-016
6.000000e+001	5.7458e-017	-3.7308e-016	7.0446e-016	-1.0047e-015	1.2876e-015	-1.5603e-015	1.8262e-015	-2.0873e-015	2.3449e-015	-2.6011e-015	2.8858e-015	-3.3558e-015
7.000000e+001	5.2152e-016	-3.1294e-015	5.7324e-015	-8.0366e-015	1.0180e-014	-1.2225e-014	1.4205e-014	-1.6138e-014	1.8035e-014	-1.9914e-014	2.2004e-014	-2.5487e-014
8.000000e+001	4.6160e-015	-2.5543e-014	4.5350e-014	-6.2470e-014	7.8173e-014	-9.3017e-014	1.0728e-013	-1.2112e-013	1.3463e-013	-1.4796e-013	1.6279e-013	-1.8780e-013
9.000000e+001	3.9714e-014	-2.0215e-013	3.4751e-013	-4.7007e-013	5.8090e-013	-6.8463e-013	7.8353e-013	-8.7889e-013	9.7152e-013	-1.0625e-012	1.1639e-012	-1.3370e-012
1.000000e+002	3.3097e-013	-1.5452e-012	2.5689e-012	-3.4099e-012	4.1593e-012	-4.8535e-012	5.5102e-012	-6.1394e-012	6.7472e-012	-7.3415e-012	8.0054e-012	-9.1564e-012
1.100000e+002	2.6615e-012	-1.1359e-011	1.8237e-011	-2.3735e-011	2.8560e-011	-3.2983e-011	3.7133e-011	-4.1083e-011	4.4878e-011	-4.8571e-011	5.2711e-011	-6.0014e-011
1.200000e+002	2.0566e-011	-7.9913e-011	1.2371e-010	-1.5771e-010	1.8708e-010	-2.1371e-010	2.3849e-010	-2.6191e-010	2.8429e-010	-3.0596e-010	3.3038e-010	-3.7434e-010
1.300000e+002	1.5198e-010	-5.3520e-010	7.9726e-010	-9.9448e-010	1.1620e-009	-1.3122e-009	1.4507e-009	-1.5808e-009	1.7043e-009	-1.8234e-009	1.9584e-009	-2.2078e-009
1.400000e+002	1.0684e-009	-3.3910e-009	4.8495e-009	-5.9106e-009	6.7963e-009	-7.5810e-009	8.2986e-009	-8.9674e-009	9.5985e-009	-1.0204e-008	1.0898e-008	-1.2218e-008
1.500000e+002	7.1011e-009	-2.0181e-008	2.7630e-008	-3.2849e-008	3.7126e-008	-4.0870e-008	4.4262e-008	-4.7401e-008	5.0345e-008	-5.3159e-008	5.6423e-008	-6.2889e-008
1.600000e+002	4.0138e-008	-9.9995e-008	1.2986e-007	-1.4979e-007	1.6575e-007	-1.7952e-007	1.9187e-007	-2.0321e-007	2.1376e-007	-2.2380e-007	2.3573e-007	-2.6082e-007
1.700000e+002	2.1951e-007	-4.7638e-007	5.8514e-007	-6.5358e-007	7.0714e-007	-7.5277e-007	7.9332e-007	-8.3024e-007	8.6440e-007	-8.9681e-007	9.3693e-007	-1.0285e-006
1.800000e+002	1.1647e-006	-2.1908e-006	2.5392e-006	-2.7426e-006	2.8985e-006	-3.0301e-006	3.1465e-006	-3.2522e-006	3.3495e-006	-3.4421e-006	3.5652e-006	-3.8814e-006
1.900000e+002	5.9899e-006	-9.7145e-006	1.0598e-005	-1.1053e-005	1.1397e-005	-1.1691e-005	1.1953e-005	-1.2194e-005	1.2417e-005	-1.2633e-005	1.2966e-005	-1.3994e-005
2.000000e+002	2.9830e-005	-4.1471e-005	4.2475e-005	-4.2700e-005	4.2908e-005	-4.3144e-005	4.3399e-005	-4.3665e-005	4.3935e-005	-4.4226e-005	4.4962e-005	-4.8079e-005
2.100000e+002	1.4367e-004	-1.7016e-004	1.6313e-004	-1.5779e-004	1.5431e-004	-1.5193e-004	1.5022e-004	-1.4895e-004	1.4799e-004	-1.4730e-004	1.4824e-004	-1.5698e-004
2.200000e+002	6.6844e-004	-6.6986e-004	5.9910e-004	-5.5644e-004	5.2878e-004	-5.0916e-004	4.9435e-004	-4.8265e-004	4.7310e-004	-4.6533e-004	4.6326e-004	-4.8546e-004
2.300000e+002	3.0000e-003	-2.5248e-003	2.0990e-003	-1.8676e-003	1.7216e-003	-1.6190e-003	1.5417e-003	-1.4806e-003	1.4306e-003	-1.3892e-003	1.3672e-003	-1.4168e-003
