Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13	el Psi 14	el Psi 15
2.400000e+002	2.4015e-002	9.7878e-002	4.2535e-002	2.5586e-002	-5.9325e-002	6.3341e-002	-5.3292e-002	3.2860e-002	-1.0799e-002	-6.5389e-003	1.8276e-002	-2.5609e-002	2.9804e-002	-3.2301e-002	3.4689e-002
2.500000e+002	1.5331e-002	7.6217e-002	4.3453e-002	6.7643e-002	-7.5038e-002	5.6340e-002	-2.8804e-002	1.5084e-004	2.0685e-002	-3.1619e-002	3.5403e-002	-3.4896e-002	3.1978e-002	-2.8103e-002	2.3950e-002
2.600000e+002	1.0082e-002	6.0495e-002	4.3188e-002	1.0242e-001	-7.2501e-002	3.0600e-002	7.1394e-003	-3.2627e-002	4.1947e-002	-3.9835e-002	3.2412e-002	-2.3265e-002	1.4079e-002	-5.5316e-003	-3.0711e-003
2.700000e+002	6.3201e-003	4.4849e-002	3.8437e-002	1.1833e-001	-4.6775e-002	-7.6617e-003	3.9696e-002	-4.8229e-002	3.9265e-002	-2.3752e-002	8.5198e-003	4.0967e-003	-1.3736e-002	2.1080e-002	-2.7769e-002
2.800000e+002	3.8120e-003	3.1548e-002	3.1654e-002	1.1846e-001	-8.4733e-003	-4.3179e-002	5.5447e-002	-4.0905e-002	1.6172e-002	5.6090e-003	-2.0433e-002	2.8897e-002	-3.2577e-002	3.3370e-002	-3.2876e-002
2.900000e+002	2.2274e-003	2.1279e-002	2.4585e-002	1.0801e-001	3.1735e-002	-6.5122e-002	5.0153e-002	-1.5929e-002	-1.4618e-002	3.2080e-002	-3.8146e-002	3.6901e-002	-3.1563e-002	2.4450e-002	-1.6232e-002
3.000000e+002	1.2672e-003	1.3864e-002	1.8229e-002	9.2000e-002	6.6010e-002	-6.9068e-002	2.7732e-002	1.5316e-002	-3.9007e-002	4.3245e-002	-3.6330e-002	2.4858e-002	-1.2512e-002	9.1996e-004	1.0534e-002
3.100000e+002	7.0455e-004	8.7730e-003	1.3012e-002	7.4344e-002	9.0150e-002	-5.6238e-002	-3.2324e-003	4.1045e-002	-4.7617e-002	3.5224e-002	-1.7127e-002	1.4338e-004	1.3271e-002	-2.3129e-002	3.1083e-002
3.200000e+002	3.8395e-004	5.4134e-003	8.9951e-003	5.7568e-002	1.0314e-001	-3.1421e-002	-3.3297e-002	5.3218e-002	-3.8384e-002	1.2623e-002	9.7615e-003	-2.4641e-002	3.2308e-002	-3.4819e-002	3.4215e-002
3.300000e+002	2.0556e-004	3.2676e-003	6.0491e-003	4.3018e-002	1.0613e-001	-7.5066e-004	-5.4989e-002	4.9243e-002	-1.5798e-002	-1.4863e-002	3.2532e-002	-3.8258e-002	3.5793e-002	-2.8839e-002	1.9091e-002
3.400000e+002	1.0832e-004	1.9342e-003	3.9711e-003	3.1183e-002	1.0142e-001	3.0041e-002	-6.4198e-002	3.1527e-002	1.1898e-002	-3.6960e-002	4.2370e-002	-3.5472e-002	2.2921e-002	-8.9278e-003	-5.7518e-003
