V	C (Fcm-2)	Initcharge (cm-2)	Finalcharge (cm-2)	ns Total (cm-2)	ps Total (cm-2)
-2.380e+000	3.0256e-007	-9.8718e+012	-9.8529e+012	9.8528e+012	5.2500e-015
-2.370e+000	3.0256e-007	-9.8906e+012	-9.8718e+012	9.8717e+012	5.2500e-015
-2.360e+000	3.0257e-007	-9.9095e+012	-9.8906e+012	9.8906e+012	5.2500e-015
-2.350e+000	3.0258e-007	-9.9284e+012	-9.9095e+012	9.9095e+012	5.2500e-015
-2.340e+000	3.0258e-007	-9.9473e+012	-9.9284e+012	9.9284e+012	5.2500e-015
-2.330e+000	3.0259e-007	-9.9662e+012	-9.9473e+012	9.9473e+012	5.2500e-015
-2.320e+000	3.0259e-007	-9.9851e+012	-9.9662e+012	9.9661e+012	5.2500e-015
-2.310e+000	3.0260e-007	-1.0004e+013	-9.9851e+012	9.9850e+012	5.2500e-015
-2.300e+000	3.0261e-007	-1.0023e+013	-1.0004e+013	1.0004e+013	5.2500e-015
-2.290e+000	3.0261e-007	-1.0042e+013	-1.0023e+013	1.0023e+013	5.2500e-015
-2.280e+000	3.0262e-007	-1.0061e+013	-1.0042e+013	1.0042e+013	5.2500e-015
-2.270e+000	3.0262e-007	-1.0080e+013	-1.0061e+013	1.0061e+013	5.2500e-015
-2.260e+000	3.0263e-007	-1.0098e+013	-1.0080e+013	1.0079e+013	5.2500e-015
-2.250e+000	3.0264e-007	-1.0117e+013	-1.0098e+013	1.0098e+013	5.2500e-015
-2.240e+000	3.0264e-007	-1.0136e+013	-1.0117e+013	1.0117e+013	5.2500e-015
-2.230e+000	3.0265e-007	-1.0155e+013	-1.0136e+013	1.0136e+013	5.2500e-015
-2.220e+000	3.0265e-007	-1.0174e+013	-1.0155e+013	1.0155e+013	5.2500e-015
-2.210e+000	3.0266e-007	-1.0193e+013	-1.0174e+013	1.0174e+013	5.2500e-015
-2.200e+000	3.0267e-007	-1.0212e+013	-1.0193e+013	1.0193e+013	5.2500e-015
-2.190e+000	3.0267e-007	-1.0231e+013	-1.0212e+013	1.0212e+013	5.2500e-015
-2.180e+000	3.0268e-007	-1.0250e+013	-1.0231e+013	1.0231e+013	5.2500e-015
-2.170e+000	3.0268e-007	-1.0268e+013	-1.0250e+013	1.0249e+013	5.2500e-015
-2.160e+000	3.0269e-007	-1.0287e+013	-1.0268e+013	1.0268e+013	5.2500e-015
-2.150e+000	3.0270e-007	-1.0306e+013	-1.0287e+013	1.0287e+013	5.2500e-015
-2.140e+000	3.0270e-007	-1.0325e+013	-1.0306e+013	1.0306e+013	5.2500e-015
-2.130e+000	3.0271e-007	-1.0344e+013	-1.0325e+013	1.0325e+013	5.2500e-015
-2.120e+000	3.0271e-007	-1.0363e+013	-1.0344e+013	1.0344e+013	5.2500e-015
-2.110e+000	3.0272e-007	-1.0382e+013	-1.0363e+013	1.0363e+013	5.2500e-015
-2.100e+000	3.0273e-007	-1.0401e+013	-1.0382e+013	1.0382e+013	5.2500e-015
-2.090e+000	3.0273e-007	-1.0420e+013	-1.0401e+013	1.0401e+013	5.2500e-015
-2.080e+000	3.0274e-007	-1.0438e+013	-1.0420e+013	1.0420e+013	5.2500e-015
-2.070e+000	3.0274e-007	-1.0457e+013	-1.0438e+013	1.0438e+013	5.2500e-015
-2.060e+000	3.0275e-007	-1.0476e+013	-1.0457e+013	1.0457e+013	5.2500e-015
-2.050e+000	3.0275e-007	-1.0495e+013	-1.0476e+013	1.0476e+013	5.2500e-015
-2.040e+000	3.0276e-007	-1.0514e+013	-1.0495e+013	1.0495e+013	5.2500e-015
-2.030e+000	3.0277e-007	-1.0533e+013	-1.0514e+013	1.0514e+013	5.2500e-015
-2.020e+000	3.0277e-007	-1.0552e+013	-1.0533e+013	1.0533e+013	5.2500e-015
-2.010e+000	3.0278e-007	-1.0571e+013	-1.0552e+013	1.0552e+013	5.2500e-015
