Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13	el Psi 14	el Psi 15
3.700000e+002	9.3825e-005	8.3623e-004	6.4887e-003	-9.9284e-003	6.9931e-002	8.6798e-002	-3.4636e-002	-3.4914e-002	5.1306e-002	-2.6473e-002	-4.8885e-003	2.6553e-002	-3.6108e-002	3.6040e-002	-2.9374e-002
3.800000e+002	5.0001e-005	4.8434e-004	4.1506e-003	-6.7840e-003	5.6538e-002	9.4686e-002	-9.5564e-003	-5.2614e-002	4.2757e-002	-2.4642e-003	-2.8162e-002	3.9949e-002	-3.7064e-002	2.5717e-002	-9.8398e-003
3.900000e+002	2.6329e-005	2.7667e-004	2.6110e-003	-4.5473e-003	4.4393e-002	9.5703e-002	1.6865e-002	-6.0189e-002	2.4116e-002	2.2223e-002	-4.2701e-002	3.9689e-002	-2.4290e-002	5.1944e-003	1.3848e-002
4.000000e+002	1.3712e-005	1.5605e-004	1.6176e-003	-2.9954e-003	3.3976e-002	9.1384e-002	4.1202e-002	-5.7192e-002	1.8881e-004	4.1172e-002	-4.4714e-002	2.6529e-002	-2.9260e-003	-1.7301e-002	3.1923e-002
4.100000e+002	7.0676e-006	8.6981e-005	9.8818e-004	-1.9419e-003	2.5418e-002	8.3415e-002	6.1099e-002	-4.5055e-002	-2.3777e-002	5.0145e-002	-3.4319e-002	5.1665e-003	1.9426e-002	-3.3499e-002	3.7565e-002
4.200000e+002	3.6081e-006	4.7955e-005	5.9589e-004	-1.2407e-003	1.8630e-002	7.3361e-002	7.5324e-002	-2.6391e-002	-4.3262e-002	4.7714e-002	-1.4912e-002	-1.7717e-002	3.5506e-002	-3.8004e-002	2.9137e-002
4.300000e+002	1.8254e-006	2.6170e-005	3.5502e-004	-7.8200e-004	1.3405e-002	6.2511e-002	8.3623e-002	-4.2763e-003	-5.5206e-002	3.5110e-002	8.1994e-003	-3.5637e-002	4.0625e-002	-2.9781e-002	1.0209e-002
4.400000e+002	9.1577e-007	1.4145e-005	2.0915e-004	-4.8674e-004	9.4825e-003	5.1825e-002	8.6469e-002	1.8339e-002	-5.8270e-002	1.5491e-002	2.9384e-002	-4.4055e-002	3.3750e-002	-1.1986e-002	-1.2261e-002
4.500000e+002	4.5576e-007	7.5766e-006	1.2193e-004	-2.9943e-004	6.6044e-003	4.1938e-002	8.4784e-002	3.9040e-002	-5.2708e-002	-7.0244e-003	4.4041e-002	-4.1290e-002	1.7342e-002	9.5089e-003	-3.0634e-002
4.600000e+002	2.2512e-007	4.0240e-006	7.0378e-005	-1.8219e-004	4.5340e-003	3.3211e-002	7.9693e-002	5.6139e-002	-3.9988e-002	-2.8312e-002	4.9453e-002	-2.8548e-002	-3.7519e-003	2.8185e-002	-3.9147e-002
4.700000e+002	1.1040e-007	2.1200e-006	4.0246e-005	-1.0972e-004	3.0714e-003	2.5792e-002	7.2334e-002	6.8719e-002	-2.2305e-002	-4.4984e-002	4.5062e-002	-9.2432e-003	-2.3876e-002	3.8837e-002	-3.5517e-002
4.800000e+002	5.3777e-008	1.1084e-006	2.2813e-005	-6.5434e-005	2.0547e-003	1.9676e-002	6.3726e-002	7.6535e-002	-2.1035e-003	-5.4826e-002	3.2245e-002	1.2083e-002	-3.8095e-002	3.8868e-002	-2.1268e-002
4.900000e+002	2.6026e-008	5.7535e-007	1.2824e-005	-3.8668e-005	1.3586e-003	1.4768e-002	5.4704e-002	7.9871e-002	1.8312e-002	-5.6935e-002	1.3745e-002	3.0897e-002	-4.3304e-002	2.8687e-002	-8.9015e-004
5.000000e+002	1.2518e-008	2.9659e-007	7.1518e-006	-2.2652e-005	8.8856e-004	1.0918e-002	4.5893e-002	7.9358e-002	3.7048e-002	-5.1601e-002	-7.0359e-003	4.3606e-002	-3.8718e-002	1.1266e-002	1.9735e-002
5.100000e+002	5.9854e-009	1.5188e-007	3.9585e-006	-1.3161e-005	5.7513e-004	7.9595e-003	3.7717e-002	7.5811e-002	5.2752e-002	-4.0038e-002	-2.6719e-002	4.8134e-002	-2.5761e-002	-8.8852e-003	3.5074e-002
5.200000e+002	2.8458e-009	7.7292e-008	2.1753e-006	-7.5867e-006	3.6864e-004	5.7275e-003	3.0425e-002	7.0095e-002	6.4647e-002	-2.4024e-002	-4.2493e-002	4.4094e-002	-7.4817e-003	-2.6968e-002	4.1354e-002
5.300000e+002	1.3457e-009	3.9097e-008	1.1872e-006	-4.3407e-006	2.3410e-004	4.0714e-003	2.4128e-002	6.3022e-002	7.2475e-002	-5.5640e-003	-5.2444e-002	3.2614e-002	1.2274e-002	-3.9023e-002	3.7336e-002
5.400000e+002	6.3308e-010	1.9662e-008	6.4372e-007	-2.4658e-006	1.4736e-004	2.8611e-003	1.8836e-002	5.5297e-002	7.6392e-002	1.3413e-002	-5.5679e-002	1.5923e-002	2.9718e-002	-4.2706e-002	2.4357e-002
5.500000e+002	2.9634e-010	9.8337e-009	3.4683e-007	-1.3912e-006	9.1985e-005	1.9890e-003	1.4493e-002	4.7477e-002	7.6850e-002	3.1261e-002	-5.2265e-002	-3.1735e-003	4.1822e-002	-3.7597e-002	5.7427e-003
5.600000e+002	1.3805e-010	4.8920e-009	1.8574e-007	-7.7976e-007	5.6962e-005	1.3686e-003	1.1002e-002	3.9977e-002	7.4474e-002	4.6739e-002	-4.3052e-002	-2.1817e-002	4.6763e-002	-2.5064e-002	-1.4152e-002
5.700000e+002	6.4010e-011	2.4211e-009	9.8898e-008	-4.3432e-007	3.5005e-005	9.3265e-004	8.2471e-003	3.3070e-002	6.9959e-002	5.9055e-002	-2.9410e-002	-3.7526e-002	4.4076e-002	-7.7853e-003	-3.1007e-002
5.800000e+002	2.9548e-011	1.1924e-009	5.2364e-008	-2.4045e-007	2.1355e-005	6.2974e-004	6.1091e-003	2.6916e-002	6.3988e-002	6.7842e-002	-1.2978e-002	-4.8483e-002	3.4547e-002	1.0905e-002	-4.1447e-002
5.900000e+002	1.3581e-011	5.8441e-010	2.7577e-008	-1.3235e-007	1.2937e-005	4.2150e-004	4.4752e-003	2.1582e-002	5.7177e-002	7.3098e-002	4.5876e-003	-5.3673e-002	1.9922e-002	2.7701e-002	-4.3630e-002
6.000000e+002	6.2161e-012	2.8512e-010	1.4448e-008	-7.2437e-008	7.7844e-006	2.7977e-004	3.2439e-003	1.7067e-002	5.0041e-002	7.5094e-002	2.1787e-002	-5.2881e-002	2.5061e-003	3.9892e-002	-3.7448e-002
6.100000e+002	2.8337e-012	1.3848e-010	7.5314e-009	-3.9434e-008	4.6539e-006	1.8422e-004	2.3280e-003	1.3322e-002	4.2985e-002	7.4286e-002	3.7406e-002	-4.6578e-002	-1.5243e-002	4.5740e-002	-2.4357e-002
6.200000e+002	1.2867e-012	6.6971e-011	3.9071e-009	-2.1355e-008	2.7651e-006	1.2037e-004	1.6549e-003	1.0274e-002	3.6302e-002	7.1230e-002	5.0578e-002	-3.5751e-002	-3.1075e-002	4.4639e-002	-6.9452e-003
6.300000e+002	5.8206e-013	3.2253e-011	2.0174e-009	-1.1507e-008	1.6331e-006	7.8083e-005	1.1659e-003	7.8331e-003	3.0184e-002	6.6510e-002	6.0787e-002	-2.1697e-002	-4.3214e-002	3.7064e-002	1.1651e-002
6.400000e+002	2.6233e-013	1.5470e-011	1.0370e-009	-6.1699e-009	9.5892e-007	5.0294e-005	8.1433e-004	5.9083e-003	2.4738e-002	6.0682e-002	6.7846e-002	-5.8310e-003	-5.0508e-002	2.4362e-002	2.8339e-002
6.500000e+002	1.1781e-013	7.3909e-012	5.3067e-010	-3.2927e-009	5.5993e-007	3.2176e-005	5.6412e-004	4.4113e-003	2.0006e-002	5.4240e-002	7.1832e-002	1.0484e-002	-5.2469e-002	8.4499e-003	4.0570e-002
6.600000e+002	5.2722e-014	3.5176e-012	2.7042e-010	-1.7492e-009	3.2520e-007	2.0452e-005	3.8772e-004	3.2619e-003	1.5977e-002	4.7597e-002	7.3024e-002	2.6059e-002	-4.9226e-002	-8.5214e-003	4.6681e-002
6.700000e+002	2.3515e-014	1.6680e-012	1.3723e-010	-9.2513e-010	1.8788e-007	1.2918e-005	2.6448e-004	2.3899e-003	1.2612e-002	4.1075e-002	7.1832e-002	3.9957e-002	-4.1408e-002	-2.4477e-002	4.6041e-002
6.800000e+002	1.0454e-014	7.8808e-013	6.9362e-011	-4.8719e-010	1.0800e-007	8.1099e-006	1.7911e-004	1.7357e-003	9.8456e-003	3.4907e-002	6.8732e-002	5.1528e-002	-2.9994e-002	-3.7667e-002	3.9024e-002
6.900000e+002	4.6324e-015	3.7105e-013	3.4922e-011	-2.5549e-010	6.1781e-008	5.0617e-006	1.2045e-004	1.2501e-003	7.6064e-003	2.9248e-002	6.4217e-002	6.0404e-002	-1.6154e-002	-4.6823e-002	2.6834e-002
7.000000e+002	2.0464e-015	1.7410e-013	1.7516e-011	-1.3344e-010	3.5173e-008	3.1414e-006	8.0460e-005	8.9316e-004	5.8187e-003	2.4186e-002	5.8754e-002	6.6475e-002	-1.1014e-003	-5.1239e-002	1.1243e-002
7.100000e+002	9.0125e-016	8.1419e-014	8.7528e-012	-6.9418e-011	1.9933e-008	1.9390e-006	5.3401e-005	6.3325e-004	4.4096e-003	1.9757e-002	5.2759e-002	6.9837e-002	1.4027e-002	-5.0760e-002	-5.7083e-003
7.200000e+002	3.9575e-016	3.7953e-014	4.3582e-012	-3.5975e-011	1.1245e-008	1.1905e-006	3.5222e-005	4.4567e-004	3.3120e-003	1.5953e-002	4.6581e-002	7.0743e-002	2.8262e-002	-4.5715e-002	-2.2001e-002
7.300000e+002	1.7328e-016	1.7636e-014	2.1624e-012	-1.8574e-011	6.3168e-009	7.2715e-007	2.3091e-005	3.1144e-004	2.4664e-003	1.2743e-002	4.0497e-002	6.9549e-002	4.0849e-002	-3.6807e-002	-3.5873e-002
7.400000e+002	7.5654e-017	8.1697e-015	1.0693e-012	-9.5546e-012	3.5333e-009	4.4194e-007	1.5051e-005	2.1616e-004	1.8218e-003	1.0076e-002	3.4710e-002	6.6662e-002	5.1274e-002	-2.4988e-002	-4.5994e-002
7.500000e+002	3.2940e-017	3.7732e-015	5.2699e-013	-4.8976e-012	1.9682e-009	2.6730e-007	9.7548e-006	1.4904e-004	1.3352e-003	7.8893e-003	2.9360e-002	6.2503e-002	5.9254e-002	-1.1323e-002	-5.1545e-002
7.600000e+002	1.4304e-017	1.7376e-015	2.5888e-013	-2.5018e-012	1.0920e-009	1.6092e-007	6.2878e-006	1.0211e-004	9.7124e-004	6.1206e-003	2.4532e-002	5.7474e-002	6.4714e-002	3.1209e-003	-5.2239e-002
7.700000e+002	6.1950e-018	7.9785e-016	1.2677e-013	-1.2736e-012	6.0350e-010	9.6429e-008	4.0316e-006	6.9535e-005	7.0142e-004	4.7069e-003	2.0264e-002	5.1933e-002	6.7748e-002	1.7366e-002	-4.8277e-002
7.800000e+002	2.6761e-018	3.6533e-016	6.1885e-014	-6.4625e-013	3.3226e-010	5.7528e-008	2.5718e-006	4.7069e-005	5.0305e-004	3.5894e-003	1.6558e-002	4.6188e-002	6.8579e-002	3.0591e-002	-4.0249e-002
7.900000e+002	1.1531e-018	1.6682e-016	3.0119e-014	-3.2686e-013	1.8225e-010	3.4173e-008	1.6323e-006	3.1680e-005	3.5838e-004	2.7153e-003	1.3393e-002	4.0487e-002	6.7513e-002	4.2168e-002	-2.9029e-002
8.000000e+002	4.9566e-019	7.5974e-017	1.4615e-014	-1.6480e-013	9.9604e-011	2.0214e-008	1.0311e-006	2.1203e-005	2.5367e-004	2.0383e-003	1.0728e-002	3.5017e-002	6.4901e-002	5.1677e-002	-1.5644e-002
8.100000e+002	2.1254e-019	3.4509e-017	7.0717e-015	-8.2834e-014	5.4244e-011	1.1908e-008	6.4820e-007	1.4115e-005	1.7844e-004	1.5189e-003	8.5150e-003	2.9911e-002	6.1109e-002	5.8891e-002	-1.1654e-003
8.200000e+002	9.0923e-020	1.5634e-017	3.4120e-015	-4.1510e-014	2.9439e-011	6.9865e-009	4.0564e-007	9.3475e-006	1.2476e-004	1.1238e-003	6.6996e-003	2.5253e-002	5.6486e-002	6.3762e-002	1.3389e-002
