Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13
2.000000e+001	1.5729e-008	-2.3454e-014	5.7552e-014	-1.4548e-013	3.0939e-013	-6.0850e-013	1.1765e-012	-2.3866e-012	5.8101e-012	-3.8501e-011	-5.4769e-008	-1.6189e-011	8.9948e-012
3.000000e+001	1.2149e-007	-1.7818e-013	4.1612e-013	-1.0279e-012	2.1537e-012	-4.1895e-012	8.0305e-012	-1.6173e-011	3.9131e-011	-2.5793e-010	-3.6646e-007	-1.0794e-010	5.9706e-011
4.000000e+001	9.8034e-007	-1.4148e-012	3.1486e-012	-7.6046e-012	1.5705e-011	-3.0225e-011	5.7448e-011	-1.1489e-010	2.7632e-010	-1.8118e-009	-2.5712e-006	-7.5472e-010	4.1568e-010
5.000000e+001	7.4012e-006	-1.0499e-011	2.2190e-011	-5.2317e-011	1.0637e-010	-2.0239e-010	3.8118e-010	-7.5657e-010	1.8080e-009	-1.1788e-008	-1.6707e-005	-4.8859e-009	2.6785e-009
6.000000e+001	5.1926e-005	-7.2305e-011	1.4452e-010	-3.3190e-010	6.6350e-010	-1.2467e-009	2.3248e-009	-4.5765e-009	1.0860e-008	-7.0373e-008	-9.9598e-005	-2.9009e-008	1.5822e-008
7.000000e+001	3.3651e-004	-4.5921e-010	8.6359e-010	-1.9272e-009	3.7817e-009	-7.0085e-009	1.2927e-008	-2.5218e-008	5.9378e-008	-3.8218e-007	-5.4005e-004	-1.5659e-007	8.4926e-008
8.000000e+001	2.0000e-003	-2.6697e-009	4.6950e-009	-1.0150e-008	1.9511e-008	-3.5610e-008	6.4888e-008	-1.2531e-007	2.9249e-007	-1.8684e-006	-2.6356e-003	-7.6036e-007	4.0980e-007
9.000000e+001	1.0809e-002	-1.4079e-008	2.2981e-008	-4.7949e-008	9.0055e-008	-1.6155e-007	2.9036e-007	-5.5434e-007	1.2813e-006	-8.1147e-006	-1.1424e-002	-3.2771e-006	1.7536e-006
1.000000e+002	5.2555e-002	-6.6608e-008	9.9952e-008	-2.0027e-007	3.6630e-007	-6.4426e-007	1.1398e-006	-2.1474e-006	4.9076e-006	-3.0773e-005	-4.3225e-002	-1.2318e-005	6.5366e-006
1.100000e+002	2.2682e-001	-2.7864e-007	3.7959e-007	-7.2565e-007	1.2866e-006	-2.2109e-006	3.8389e-006	-7.1206e-006	1.6055e-005	-9.9485e-005	-1.3936e-001	-3.9400e-005	2.0702e-005
1.200000e+002	1.8387e-001	-1.8851e-007	1.0828e-007	-7.8051e-008	-6.9951e-009	1.9464e-007	-5.8760e-007	1.4715e-006	-4.0493e-006	2.9032e-005	4.1927e-002	1.2881e-005	-7.4428e-006
1.300000e+002	9.8963e-002	-3.1453e-008	-2.4121e-007	6.3878e-007	-1.2937e-006	2.3925e-006	-4.3521e-006	8.3336e-006	-1.9225e-005	1.2117e-004	1.7033e-001	4.8612e-005	-2.5805e-005
1.400000e+002	4.2395e-002	1.2058e-007	-5.4067e-007	1.1177e-006	-1.9637e-006	3.2682e-006	-5.4524e-006	9.6868e-006	-2.0895e-005	1.2383e-004	1.7156e-001	4.6897e-005	-2.3529e-005
1.500000e+002	1.5551e-002	3.4187e-007	-9.5222e-007	1.6439e-006	-2.5119e-006	3.6932e-006	-5.4763e-006	8.6537e-006	-1.6552e-005	8.6393e-005	1.1584e-001	2.8507e-005	-1.2194e-005
1.600000e+002	5.0976e-003	8.8016e-007	-1.8973e-006	2.8199e-006	-3.7909e-006	4.9124e-006	-6.3519e-006	8.5433e-006	-1.3286e-005	5.1481e-005	6.2545e-002	1.0041e-005	-4.6771e-007
1.700000e+002	1.5388e-003	2.4972e-006	-4.4714e-006	5.9518e-006	-7.3042e-006	8.6541e-006	-1.0111e-005	1.1893e-005	-1.4851e-005	3.3434e-005	2.9232e-002	-5.4542e-006	1.1134e-005
1.800000e+002	4.3785e-004	7.7862e-006	-1.1979e-005	1.4669e-005	-1.6910e-005	1.8957e-005	-2.0934e-005	2.2970e-005	-2.5450e-005	3.4522e-005	1.2409e-002	-2.3898e-005	2.8426e-005
1.900000e+002	1.1973e-004	2.6009e-005	-3.4990e-005	3.9949e-005	-4.3845e-005	4.7249e-005	-5.0375e-005	5.3354e-005	-5.6383e-005	6.1953e-005	4.9531e-003	-5.9816e-005	6.5667e-005
2.000000e+002	3.2008e-005	9.0986e-005	-1.0806e-004	1.1579e-004	-1.2170e-004	1.2682e-004	-1.3149e-004	1.3586e-004	-1.4006e-004	1.4511e-004	1.9123e-003	-1.4764e-004	1.5795e-004
2.100000e+002	8.5019e-006	3.2697e-004	-3.4455e-004	3.4764e-004	-3.5083e-004	3.5443e-004	-3.5827e-004	3.6222e-004	-3.6623e-004	3.7068e-004	7.3237e-004	-3.7565e-004	3.9557e-004
2.200000e+002	2.2805e-006	1.1862e-003	-1.1114e-003	1.0572e-003	-1.0255e-003	1.0052e-003	-9.9150e-004	9.8180e-004	-9.7479e-004	9.6995e-004	2.8484e-004	-9.7043e-004	1.0078e-003
2.300000e+002	6.3029e-007	4.2729e-003	-3.5573e-003	3.1895e-003	-2.9732e-003	2.8277e-003	-2.7213e-003	2.6392e-003	-2.5734e-003	2.5194e-003	1.1403e-004	-2.4850e-003	2.5454e-003
2.400000e+002	1.9044e-007	1.5023e-002	-1.1077e-002	9.3453e-003	-8.3614e-003	7.7076e-003	-7.2316e-003	6.8642e-003	-6.5687e-003	6.3248e-003	4.4386e-005	-6.1456e-003	6.2063e-003
2.500000e+002	8.9570e-008	5.0607e-002	-3.2844e-002	2.5978e-002	-2.2251e-002	1.9839e-002	-1.8115e-002	1.6803e-002	-1.5760e-002	1.4906e-002	7.8930e-006	-1.4251e-002	1.4173e-002
2.600000e+002	1.3042e-007	1.5985e-001	-9.0362e-002	6.6601e-002	-5.4370e-002	4.6718e-002	-4.1386e-002	3.7410e-002	-3.4303e-002	3.1795e-002	-2.4265e-005	-2.9847e-002	2.9172e-002
2.700000e+002	1.1329e-007	1.7776e-001	-6.3086e-002	3.3737e-002	-2.0826e-002	1.3630e-002	-9.0705e-003	5.9412e-003	-3.6731e-003	1.9634e-003	-2.0568e-005	-6.3474e-004	-4.8344e-004
2.800000e+002	7.9530e-008	1.4704e-001	4.6015e-003	-2.6305e-002	3.1667e-002	-3.2894e-002	3.2727e-002	-3.2029e-002	3.1128e-002	-3.0169e-002	7.3957e-006	2.9341e-002	-2.9542e-002
2.900000e+002	4.9775e-008	1.0508e-001	7.0249e-002	-7.0342e-002	6.1590e-002	-5.3477e-002	4.6766e-002	-4.1266e-002	3.6714e-002	-3.2902e-002	2.8092e-005	2.9790e-002	-2.8002e-002
3.000000e+002	2.8960e-008	6.8669e-002	1.1383e-001	-8.0672e-002	5.5576e-002	-3.8798e-002	2.7185e-002	-1.8819e-002	1.2588e-002	-7.8244e-003	2.4814e-005	4.1118e-003	-1.0772e-003
3.100000e+002	1.5998e-008	4.2172e-002	1.3206e-001	-5.9727e-002	2.2220e-002	-2.0866e-003	-9.4522e-003	1.6356e-002	-2.0573e-002	2.3150e-002	2.6295e-006	-2.4797e-002	2.6726e-002
3.200000e+002	8.4944e-009	2.4720e-002	1.3015e-001	-1.9815e-002	-2.0509e-002	3.5663e-002	-4.0822e-002	4.1615e-002	-4.0410e-002	3.8299e-002	-2.1374e-005	-3.5965e-002	3.4620e-002
3.300000e+002	4.3701e-009	1.3966e-002	1.1574e-001	2.5269e-002	-5.5746e-002	5.7678e-002	-5.1750e-002	4.4002e-002	-3.6361e-002	2.9432e-002	-3.1799e-005	-2.3436e-002	1.8685e-002
