Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11
3.200000e+002	1.8072e-001	2.4693e-004	-1.9458e-002	2.2674e-002	-2.3111e-002	2.2818e-002	-2.2304e-002	2.1732e-002	-2.1165e-002	2.0691e-002	-2.0905e-002
3.300000e+002	1.0563e-001	1.0463e-001	-8.1482e-002	6.4908e-002	-5.4228e-002	4.6793e-002	-4.1286e-002	3.7017e-002	-3.3597e-002	3.0884e-002	-2.9491e-002
3.400000e+002	5.3223e-002	1.5162e-001	-7.6803e-002	4.4687e-002	-2.7962e-002	1.7899e-002	-1.1265e-002	6.6129e-003	-3.2036e-003	6.1894e-004	1.5073e-003
3.500000e+002	2.4565e-002	1.5054e-001	-2.7031e-002	-8.1883e-003	2.1420e-002	-2.7074e-002	2.9518e-002	-3.0422e-002	3.0532e-002	-3.0314e-002	3.0832e-002
3.600000e+002	1.0705e-002	1.2524e-001	3.4391e-002	-5.6358e-002	5.6438e-002	-5.1953e-002	4.6708e-002	-4.1701e-002	3.7184e-002	-3.3286e-002	3.0724e-002
3.700000e+002	4.4796e-003	9.3680e-002	8.4802e-002	-7.8393e-002	5.9869e-002	-4.4030e-002	3.1743e-002	-2.2297e-002	1.4974e-002	-9.2457e-003	4.6921e-003
3.800000e+002	1.8181e-003	6.5149e-002	1.1506e-001	-7.0535e-002	3.4725e-002	-1.1937e-002	-2.4594e-003	1.1675e-002	-1.7625e-002	2.1536e-002	-2.4912e-002
3.900000e+002	7.2027e-004	4.2925e-002	1.2537e-001	-4.0325e-002	-4.7546e-003	2.5940e-002	-3.5330e-002	3.8771e-002	-3.9131e-002	3.8003e-002	-3.7154e-002
4.000000e+002	2.7973e-004	2.7110e-002	1.2054e-001	5.4553e-004	-4.2521e-002	5.2611e-002	-5.0921e-002	4.5070e-002	-3.8064e-002	3.1206e-002	-2.5454e-002
4.100000e+002	1.0683e-004	1.6543e-002	1.0649e-001	4.1296e-002	-6.6847e-002	5.8880e-002	-4.3861e-002	2.9185e-002	-1.6724e-002	6.6861e-003	1.5228e-003
4.200000e+002	4.0210e-005	9.8079e-003	8.8338e-002	7.4530e-002	-7.2590e-002	4.4562e-002	-1.8961e-002	4.8907e-005	1.2886e-002	-2.1376e-002	2.7644e-002
4.300000e+002	1.4944e-005	5.6734e-003	6.9752e-002	9.6692e-002	-6.0583e-002	1.6153e-002	1.3016e-002	-2.9108e-002	3.6555e-002	-3.8828e-002	3.9153e-002
4.400000e+002	5.4915e-006	3.2121e-003	5.2898e-002	1.0737e-001	-3.5568e-002	-1.6882e-002	4.0523e-002	-4.6890e-002	4.4461e-002	-3.8165e-002	3.1133e-002
4.500000e+002	1.9976e-006	1.7845e-003	3.8779e-002	1.0818e-001	-3.8718e-003	-4.5535e-002	5.5200e-002	-4.7606e-002	3.4388e-002	-2.0721e-002	8.4203e-003
4.600000e+002	7.1998e-007	9.7477e-004	2.7613e-002	1.0170e-001	2.8457e-002	-6.3484e-002	5.3751e-002	-3.2161e-002	1.1251e-002	5.3264e-003	-1.8060e-002
4.700000e+002	2.5732e-007	5.2441e-004	1.9169e-002	9.0634e-002	5.6775e-002	-6.7932e-002	3.7803e-002	-6.5180e-003	-1.5909e-002	2.9282e-002	-3.6864e-002
4.800000e+002	9.1258e-008	2.7825e-004	1.3011e-002	7.7365e-002	7.8263e-002	-5.9341e-002	1.2442e-002	2.1056e-002	-3.7711e-002	4.2341e-002	-4.0761e-002
4.900000e+002	3.2132e-008	1.4577e-004	8.6557e-003	6.3703e-002	9.1843e-002	-4.0500e-002	-1.5778e-002	4.2796e-002	-4.7537e-002	4.0460e-002	-2.8961e-002
5.000000e+002	1.1239e-008	7.5486e-005	5.6546e-003	5.0862e-002	9.7792e-002	-1.5391e-002	-4.0656e-002	5.3443e-002	-4.3122e-002	2.5027e-002	-6.5282e-003
5.100000e+002	3.9065e-009	3.8668e-005	3.6334e-003	3.9532e-002	9.7264e-002	1.1840e-002	-5.7607e-002	5.1141e-002	-2.6514e-002	1.6348e-003	1.8192e-002
5.200000e+002	1.3499e-009	1.9610e-005	2.2996e-003	3.0004e-002	9.1836e-002	3.7626e-002	-6.4239e-002	3.7256e-002	-2.8297e-003	-2.2252e-002	3.6828e-002
5.300000e+002	4.6393e-010	9.8523e-006	1.4352e-003	2.2292e-002	8.3155e-002	5.9383e-002	-6.0327e-002	1.5492e-002	2.1567e-002	-3.9747e-002	4.3698e-002
5.400000e+002	1.5861e-010	4.9064e-006	8.8427e-004	1.6247e-002	7.2711e-002	7.5624e-002	-4.7368e-002	-9.3284e-003	4.0837e-002	-4.6389e-002	3.7228e-002
5.500000e+002	5.3961e-011	2.4233e-006	5.3829e-004	1.1635e-002	6.1704e-002	8.5860e-002	-2.7945e-002	-3.2434e-002	5.0950e-002	-4.0991e-002	1.9894e-002
5.600000e+002	1.8272e-011	1.1875e-006	3.2402e-004	8.1997e-003	5.1013e-002	9.0381e-002	-5.0672e-003	-4.9995e-002	5.0292e-002	-2.5479e-002	-2.9885e-003
5.700000e+002	6.1599e-012	5.7768e-007	1.9299e-004	5.6934e-003	4.1209e-002	8.9995e-002	1.8375e-002	-5.9621e-002	3.9619e-002	-3.9942e-003	-2.5074e-002
5.800000e+002	2.0678e-012	2.7905e-007	1.1382e-004	3.8990e-003	3.2603e-002	8.5778e-002	3.9986e-002	-6.0483e-002	2.1521e-002	1.8381e-002	-4.0767e-002
5.900000e+002	6.9136e-013	1.3391e-007	6.6497e-005	2.6361e-003	2.5313e-002	7.8873e-002	5.8063e-002	-5.3136e-002	-3.6785e-004	3.6868e-002	-4.6524e-002
6.000000e+002	2.3025e-013	6.3849e-008	3.8509e-005	1.7610e-003	1.9318e-002	7.0348e-002	7.1634e-002	-3.9149e-002	-2.2196e-002	4.7957e-002	-4.1444e-002
6.100000e+002	7.6400e-014	3.0261e-008	2.2114e-005	1.1632e-003	1.4510e-002	6.1109e-002	8.0389e-002	-2.0678e-002	-4.0584e-002	4.9918e-002	-2.7140e-002
6.200000e+002	2.5260e-014	1.4259e-008	1.2598e-005	7.6026e-004	1.0741e-002	5.1860e-002	8.4544e-002	-4.3216e-005	-5.3087e-002	4.2879e-002	-7.0674e-003
6.300000e+002	8.3231e-015	6.6820e-009	7.1229e-006	4.9193e-004	7.8430e-003	4.3102e-002	8.4675e-002	2.0595e-002	-5.8405e-002	2.8520e-002	1.4439e-002
6.400000e+002	2.7334e-015	3.1146e-009	3.9981e-006	3.1529e-004	5.6544e-003	3.5154e-002	8.1564e-002	3.9470e-002	-5.6359e-002	9.5594e-003	3.3150e-002
6.500000e+002	8.9482e-016	1.4444e-009	2.2286e-006	2.0027e-004	4.0281e-003	2.8181e-002	7.6063e-002	5.5320e-002	-4.7717e-002	-1.0858e-002	4.5741e-002
6.600000e+002	2.9203e-016	6.6657e-010	1.2341e-006	1.2612e-004	2.8375e-003	2.2237e-002	6.8997e-002	6.7411e-002	-3.3903e-002	-2.9716e-002	5.0285e-002
6.700000e+002	9.5026e-017	3.0616e-010	6.7901e-007	7.8778e-005	1.9777e-003	1.7291e-002	6.1092e-002	7.5492e-002	-1.6702e-002	-4.4554e-002	4.6407e-002
6.800000e+002	3.0832e-017	1.3998e-010	3.7133e-007	4.8824e-005	1.3647e-003	1.3264e-002	5.2944e-002	7.9699e-002	2.0316e-003	-5.3732e-002	3.5136e-002
