V	C (Fcm-2)	Initcharge (cm-2)	Finalcharge (cm-2)	ns Total (cm-2)	ps Total (cm-2)
1.000e-002	7.3071e-007	-6.3953e+012	-6.3497e+012	6.3497e+012	5.2500e-015
2.000e-002	7.5325e-007	-6.4423e+012	-6.3953e+012	6.3953e+012	5.2500e-015
3.000e-002	7.7384e-007	-6.4906e+012	-6.4423e+012	6.4423e+012	5.2500e-015
4.000e-002	7.9262e-007	-6.5401e+012	-6.4906e+012	6.4906e+012	5.2500e-015
5.000e-002	8.0976e-007	-6.5906e+012	-6.5401e+012	6.5400e+012	5.2500e-015
6.000e-002	8.2542e-007	-6.6421e+012	-6.5906e+012	6.5906e+012	5.2500e-015
7.000e-002	8.3976e-007	-6.6946e+012	-6.6421e+012	6.6421e+012	5.2500e-015
8.000e-002	8.5274e-007	-6.7478e+012	-6.6946e+012	6.6945e+012	5.2500e-015
9.000e-002	8.6502e-007	-6.8018e+012	-6.7478e+012	6.7477e+012	5.2500e-015
1.000e-001	8.7623e-007	-6.8565e+012	-6.8018e+012	6.8017e+012	5.2500e-015
1.100e-001	8.8664e-007	-6.9118e+012	-6.8565e+012	6.8564e+012	5.2500e-015
1.200e-001	8.9633e-007	-6.9678e+012	-6.9118e+012	6.9118e+012	5.2500e-015
1.300e-001	9.0539e-007	-7.0243e+012	-6.9678e+012	6.9677e+012	5.2500e-015
1.400e-001	9.1390e-007	-7.0813e+012	-7.0243e+012	7.0242e+012	5.2500e-015
1.500e-001	9.2192e-007	-7.1388e+012	-7.0813e+012	7.0813e+012	5.2500e-015
1.600e-001	9.2950e-007	-7.1969e+012	-7.1388e+012	7.1388e+012	5.2500e-015
1.700e-001	9.3670e-007	-7.2553e+012	-7.1969e+012	7.1968e+012	5.2500e-015
1.800e-001	9.4356e-007	-7.3142e+012	-7.2553e+012	7.2553e+012	5.2500e-015
1.900e-001	9.5010e-007	-7.3735e+012	-7.3142e+012	7.3142e+012	5.2500e-015
2.000e-001	9.5638e-007	-7.4332e+012	-7.3735e+012	7.3735e+012	5.2500e-015
2.100e-001	9.6241e-007	-7.4933e+012	-7.4332e+012	7.4332e+012	5.2500e-015
2.200e-001	9.6822e-007	-7.5537e+012	-7.4933e+012	7.4932e+012	5.2500e-015
2.300e-001	9.7383e-007	-7.6145e+012	-7.5537e+012	7.5537e+012	5.2500e-015
2.400e-001	9.7927e-007	-7.6756e+012	-7.6145e+012	7.6145e+012	5.2500e-015
2.500e-001	9.8454e-007	-7.7371e+012	-7.6756e+012	7.6756e+012	5.2500e-015
2.600e-001	9.8966e-007	-7.7988e+012	-7.7371e+012	7.7370e+012	5.2500e-015
2.700e-001	9.9464e-007	-7.8609e+012	-7.7988e+012	7.7988e+012	5.2500e-015
2.800e-001	9.9949e-007	-7.9233e+012	-7.8609e+012	7.8609e+012	5.2500e-015
2.900e-001	1.0042e-006	-7.9860e+012	-7.9233e+012	7.9233e+012	5.2500e-015
3.000e-001	1.0089e-006	-8.0489e+012	-7.9860e+012	7.9859e+012	5.2500e-015
3.100e-001	1.0134e-006	-8.1122e+012	-8.0489e+012	8.0489e+012	5.2500e-015
3.200e-001	1.0178e-006	-8.1757e+012	-8.1122e+012	8.1122e+012	5.2500e-015
3.300e-001	1.0221e-006	-8.2395e+012	-8.1757e+012	8.1757e+012	5.2500e-015
3.400e-001	1.0263e-006	-8.3036e+012	-8.2395e+012	8.2395e+012	5.2500e-015
3.500e-001	1.0305e-006	-8.3679e+012	-8.3036e+012	8.3035e+012	5.2500e-015
3.600e-001	1.0345e-006	-8.4325e+012	-8.3679e+012	8.3678e+012	5.2500e-015
3.700e-001	1.0385e-006	-8.4973e+012	-8.4325e+012	8.4324e+012	5.2500e-015
3.800e-001	1.0423e-006	-8.5623e+012	-8.4973e+012	8.4972e+012	5.2500e-015
3.900e-001	1.0461e-006	-8.6276e+012	-8.5623e+012	8.5623e+012	5.2500e-015
4.000e-001	1.0498e-006	-8.6932e+012	-8.6276e+012	8.6276e+012	5.2500e-015
4.100e-001	1.0534e-006	-8.7589e+012	-8.6932e+012	8.6931e+012	5.2500e-015
4.200e-001	1.0570e-006	-8.8249e+012	-8.7589e+012	8.7589e+012	5.2500e-015
4.300e-001	1.0604e-006	-8.8911e+012	-8.8249e+012	8.8248e+012	5.2500e-015
4.400e-001	1.0638e-006	-8.9574e+012	-8.8911e+012	8.8910e+012	5.2500e-015
4.500e-001	1.0670e-006	-9.0240e+012	-8.9574e+012	8.9574e+012	5.2500e-015
4.600e-001	1.0702e-006	-9.0908e+012	-9.0240e+012	9.0240e+012	5.2500e-015
4.700e-001	1.0733e-006	-9.1578e+012	-9.0908e+012	9.0908e+012	5.2500e-015
4.800e-001	1.0763e-006	-9.2250e+012	-9.1578e+012	9.1578e+012	5.2500e-015
4.900e-001	1.0793e-006	-9.2924e+012	-9.2250e+012	9.2250e+012	5.2500e-015
5.000e-001	1.0821e-006	-9.3599e+012	-9.2924e+012	9.2923e+012	5.2500e-015
5.100e-001	1.0849e-006	-9.4276e+012	-9.3599e+012	9.3599e+012	5.2500e-015
5.200e-001	1.0876e-006	-9.4955e+012	-9.4276e+012	9.4276e+012	5.2500e-015
5.300e-001	1.0903e-006	-9.5636e+012	-9.4955e+012	9.4955e+012	5.2500e-015
5.400e-001	1.0928e-006	-9.6318e+012	-9.5636e+012	9.5635e+012	5.2500e-015
5.500e-001	1.0924e-006	-9.7000e+012	-9.6318e+012	9.6317e+012	5.2500e-015
5.600e-001	1.0915e-006	-9.7681e+012	-9.7000e+012	9.6999e+012	5.2500e-015
5.700e-001	1.0937e-006	-9.8363e+012	-9.7681e+012	9.7680e+012	5.2500e-015
5.800e-001	1.0958e-006	-9.9047e+012	-9.8363e+012	9.8363e+012	5.2500e-015
5.900e-001	1.0978e-006	-9.9733e+012	-9.9047e+012	9.9047e+012	5.2500e-015
6.000e-001	1.0998e-006	-1.0042e+013	-9.9733e+012	9.9732e+012	5.2500e-015
6.100e-001	1.1018e-006	-1.0111e+013	-1.0042e+013	1.0042e+013	5.2500e-015
6.200e-001	1.1036e-006	-1.0180e+013	-1.0111e+013	1.0111e+013	5.2500e-015
6.300e-001	1.1055e-006	-1.0249e+013	-1.0180e+013	1.0180e+013	5.2500e-015
6.400e-001	1.1072e-006	-1.0318e+013	-1.0249e+013	1.0249e+013	5.2500e-015
6.500e-001	1.1089e-006	-1.0387e+013	-1.0318e+013	1.0318e+013	5.2500e-015
6.600e-001	1.1106e-006	-1.0456e+013	-1.0387e+013	1.0387e+013	5.2500e-015
6.700e-001	1.1123e-006	-1.0526e+013	-1.0456e+013	1.0456e+013	5.2500e-015
6.800e-001	1.1138e-006	-1.0595e+013	-1.0526e+013	1.0526e+013	5.2500e-015
6.900e-001	1.1153e-006	-1.0665e+013	-1.0595e+013	1.0595e+013	5.2500e-015
7.000e-001	1.1169e-006	-1.0734e+013	-1.0665e+013	1.0665e+013	5.2500e-015
7.100e-001	1.1183e-006	-1.0804e+013	-1.0734e+013	1.0734e+013	5.2500e-015
7.200e-001	1.1198e-006	-1.0874e+013	-1.0804e+013	1.0804e+013	5.2500e-015
7.300e-001	1.1212e-006	-1.0944e+013	-1.0874e+013	1.0874e+013	5.2500e-015
7.400e-001	1.1225e-006	-1.1014e+013	-1.0944e+013	1.0944e+013	5.2500e-015
7.500e-001	1.1238e-006	-1.1084e+013	-1.1014e+013	1.1014e+013	5.2500e-015
7.600e-001	1.1251e-006	-1.1155e+013	-1.1084e+013	1.1084e+013	5.2500e-015
7.700e-001	1.1264e-006	-1.1225e+013	-1.1155e+013	1.1155e+013	5.2500e-015
7.800e-001	1.1276e-006	-1.1295e+013	-1.1225e+013	1.1225e+013	5.2500e-015
7.900e-001	1.1288e-006	-1.1366e+013	-1.1295e+013	1.1295e+013	5.2500e-015
8.000e-001	1.1300e-006	-1.1436e+013	-1.1366e+013	1.1366e+013	5.2500e-015
8.100e-001	1.1311e-006	-1.1507e+013	-1.1436e+013	1.1436e+013	5.2500e-015
8.200e-001	1.1323e-006	-1.1577e+013	-1.1507e+013	1.1507e+013	5.2500e-015
8.300e-001	1.1334e-006	-1.1648e+013	-1.1577e+013	1.1577e+013	5.2500e-015
8.400e-001	1.1344e-006	-1.1719e+013	-1.1648e+013	1.1648e+013	5.2500e-015
8.500e-001	1.1355e-006	-1.1790e+013	-1.1719e+013	1.1719e+013	5.2500e-015
8.600e-001	1.1365e-006	-1.1861e+013	-1.1790e+013	1.1790e+013	5.2500e-015
8.700e-001	1.1375e-006	-1.1932e+013	-1.1861e+013	1.1861e+013	5.2500e-015
8.800e-001	1.1385e-006	-1.2003e+013	-1.1932e+013	1.1932e+013	5.2500e-015
8.900e-001	1.1395e-006	-1.2074e+013	-1.2003e+013	1.2003e+013	5.2500e-015
9.000e-001	1.1405e-006	-1.2145e+013	-1.2074e+013	1.2074e+013	5.2500e-015
9.100e-001	1.1414e-006	-1.2216e+013	-1.2145e+013	1.2145e+013	5.2500e-015
9.200e-001	1.1423e-006	-1.2288e+013	-1.2216e+013	1.2216e+013	5.2500e-015
9.300e-001	1.1432e-006	-1.2359e+013	-1.2288e+013	1.2288e+013	5.2500e-015
9.400e-001	1.1441e-006	-1.2431e+013	-1.2359e+013	1.2359e+013	5.2500e-015
9.500e-001	1.1450e-006	-1.2502e+013	-1.2431e+013	1.2430e+013	5.2500e-015
9.600e-001	1.1459e-006	-1.2574e+013	-1.2502e+013	1.2502e+013	5.2500e-015
9.700e-001	1.1467e-006	-1.2645e+013	-1.2574e+013	1.2573e+013	5.2500e-015
9.800e-001	1.1475e-006	-1.2717e+013	-1.2645e+013	1.2645e+013	5.2500e-015
9.900e-001	1.1483e-006	-1.2788e+013	-1.2717e+013	1.2717e+013	5.2500e-015
1.000e+000	1.1491e-006	-1.2860e+013	-1.2788e+013	1.2788e+013	5.2500e-015
1.010e+000	1.1499e-006	-1.2932e+013	-1.2860e+013	1.2860e+013	5.2500e-015
1.020e+000	1.1507e-006	-1.3004e+013	-1.2932e+013	1.2932e+013	5.2500e-015
1.030e+000	1.1515e-006	-1.3076e+013	-1.3004e+013	1.3004e+013	5.2500e-015
1.040e+000	1.1522e-006	-1.3147e+013	-1.3076e+013	1.3076e+013	5.2500e-015
1.050e+000	1.1530e-006	-1.3219e+013	-1.3147e+013	1.3147e+013	5.2500e-015
1.060e+000	1.1537e-006	-1.3291e+013	-1.3219e+013	1.3219e+013	5.2500e-015
1.070e+000	1.1545e-006	-1.3364e+013	-1.3291e+013	1.3291e+013	5.2500e-015
1.080e+000	1.1552e-006	-1.3436e+013	-1.3364e+013	1.3363e+013	5.2500e-015
1.090e+000	1.1559e-006	-1.3508e+013	-1.3436e+013	1.3436e+013	5.2500e-015
1.100e+000	1.1566e-006	-1.3580e+013	-1.3508e+013	1.3508e+013	5.2500e-015
1.110e+000	1.1573e-006	-1.3652e+013	-1.3580e+013	1.3580e+013	5.2500e-015
1.120e+000	1.1580e-006	-1.3724e+013	-1.3652e+013	1.3652e+013	5.2500e-015
1.130e+000	1.1586e-006	-1.3797e+013	-1.3724e+013	1.3724e+013	5.2500e-015
1.140e+000	1.1593e-006	-1.3869e+013	-1.3797e+013	1.3797e+013	5.2500e-015
1.150e+000	1.1600e-006	-1.3942e+013	-1.3869e+013	1.3869e+013	5.2500e-015
1.160e+000	1.1606e-006	-1.4014e+013	-1.3942e+013	1.3941e+013	5.2500e-015
1.170e+000	1.1613e-006	-1.4086e+013	-1.4014e+013	1.4014e+013	5.2500e-015
1.180e+000	1.1620e-006	-1.4159e+013	-1.4086e+013	1.4086e+013	5.2500e-015
1.190e+000	1.1626e-006	-1.4232e+013	-1.4159e+013	1.4159e+013	5.2500e-015
1.200e+000	1.1633e-006	-1.4304e+013	-1.4232e+013	1.4231e+013	5.2500e-015
1.210e+000	1.1640e-006	-1.4377e+013	-1.4304e+013	1.4304e+013	5.2500e-015
1.220e+000	1.1647e-006	-1.4449e+013	-1.4377e+013	1.4377e+013	5.2500e-015
1.230e+000	1.1654e-006	-1.4522e+013	-1.4449e+013	1.4449e+013	5.2500e-015
1.240e+000	1.1662e-006	-1.4595e+013	-1.4522e+013	1.4522e+013	5.2500e-015
1.250e+000	1.1670e-006	-1.4668e+013	-1.4595e+013	1.4595e+013	5.2500e-015
1.260e+000	1.1679e-006	-1.4741e+013	-1.4668e+013	1.4668e+013	5.2500e-015
1.270e+000	1.1689e-006	-1.4814e+013	-1.4741e+013	1.4741e+013	5.2500e-015
1.280e+000	1.1701e-006	-1.4887e+013	-1.4814e+013	1.4814e+013	5.2500e-015
1.290e+000	1.1715e-006	-1.4960e+013	-1.4887e+013	1.4887e+013	5.2500e-015
1.300e+000	1.1732e-006	-1.5033e+013	-1.4960e+013	1.4960e+013	5.2500e-015
1.310e+000	1.1753e-006	-1.5106e+013	-1.5033e+013	1.5033e+013	5.2500e-015
1.320e+000	1.1780e-006	-1.5180e+013	-1.5106e+013	1.5106e+013	5.2500e-015
1.330e+000	1.1814e-006	-1.5254e+013	-1.5180e+013	1.5180e+013	5.2500e-015
1.340e+000	1.1860e-006	-1.5328e+013	-1.5254e+013	1.5254e+013	5.2500e-015
1.350e+000	1.1917e-006	-1.5402e+013	-1.5328e+013	1.5328e+013	5.2500e-015
1.360e+000	1.1999e-006	-1.5477e+013	-1.5402e+013	1.5402e+013	5.2500e-015
1.370e+000	1.2105e-006	-1.5553e+013	-1.5477e+013	1.5477e+013	5.2500e-015
1.380e+000	1.2247e-006	-1.5629e+013	-1.5553e+013	1.5553e+013	5.2500e-015
1.390e+000	1.2437e-006	-1.5707e+013	-1.5629e+013	1.5629e+013	5.2500e-015
1.400e+000	1.2684e-006	-1.5786e+013	-1.5707e+013	1.5707e+013	5.2500e-015
1.410e+000	1.3014e-006	-1.5867e+013	-1.5786e+013	1.5786e+013	5.2500e-015
1.420e+000	1.3438e-006	-1.5951e+013	-1.5867e+013	1.5867e+013	5.2500e-015
1.430e+000	1.3975e-006	-1.6038e+013	-1.5951e+013	1.5951e+013	5.2500e-015
1.440e+000	1.4639e-006	-1.6129e+013	-1.6038e+013	1.6038e+013	5.2500e-015
1.450e+000	1.5438e-006	-1.6226e+013	-1.6129e+013	1.6129e+013	5.2500e-015
1.460e+000	1.6366e-006	-1.6328e+013	-1.6226e+013	1.6226e+013	5.2500e-015
1.470e+000	1.7412e-006	-1.6437e+013	-1.6328e+013	1.6328e+013	5.2500e-015
1.480e+000	1.8546e-006	-1.6552e+013	-1.6437e+013	1.6437e+013	5.2500e-015
1.490e+000	1.9738e-006	-1.6676e+013	-1.6552e+013	1.6552e+013	5.2500e-015
1.500e+000	2.0953e-006	-1.6806e+013	-1.6676e+013	1.6676e+013	5.2500e-015
1.510e+000	2.2162e-006	-1.6945e+013	-1.6806e+013	1.6806e+013	5.2500e-015
1.520e+000	2.3344e-006	-1.7090e+013	-1.6945e+013	1.6945e+013	5.2500e-015
1.530e+000	2.4482e-006	-1.7243e+013	-1.7090e+013	1.7090e+013	5.2500e-015
1.540e+000	2.5568e-006	-1.7403e+013	-1.7243e+013	1.7243e+013	5.2500e-015
1.550e+000	2.6597e-006	-1.7569e+013	-1.7403e+013	1.7403e+013	5.2500e-015
1.560e+000	2.7569e-006	-1.7741e+013	-1.7569e+013	1.7569e+013	5.2500e-015
1.570e+000	2.8484e-006	-1.7919e+013	-1.7741e+013	1.7741e+013	5.2500e-015
1.580e+000	2.9346e-006	-1.8102e+013	-1.7919e+013	1.7919e+013	5.2500e-015
1.590e+000	3.0157e-006	-1.8290e+013	-1.8102e+013	1.8102e+013	5.2500e-015
1.600e+000	3.0919e-006	-1.8483e+013	-1.8290e+013	1.8290e+013	5.2500e-015
1.610e+000	3.1639e-006	-1.8680e+013	-1.8483e+013	1.8483e+013	5.2500e-015
1.620e+000	3.2317e-006	-1.8882e+013	-1.8680e+013	1.8680e+013	5.2500e-015
1.630e+000	3.2958e-006	-1.9088e+013	-1.8882e+013	1.8882e+013	5.2500e-015
1.640e+000	3.3565e-006	-1.9297e+013	-1.9088e+013	1.9088e+013	5.2500e-015
1.650e+000	3.4141e-006	-1.9510e+013	-1.9297e+013	1.9297e+013	5.2500e-015
1.660e+000	3.4688e-006	-1.9727e+013	-1.9510e+013	1.9510e+013	5.2500e-015
1.670e+000	3.5209e-006	-1.9947e+013	-1.9727e+013	1.9727e+013	5.2500e-015
1.680e+000	3.5707e-006	-2.0170e+013	-1.9947e+013	1.9947e+013	5.2500e-015
