Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12
2.000000e+001	5.1427e-021	-4.4195e-020	9.2699e-020	-1.4014e-019	1.8692e-019	-2.3346e-019	2.7999e-019	-3.2661e-019	3.7340e-019	-4.2073e-019	4.7531e-019	-5.6710e-019
3.000000e+001	4.5685e-020	-3.6238e-019	7.3707e-019	-1.0952e-018	1.4435e-018	-1.7867e-018	2.1271e-018	-2.4662e-018	2.8047e-018	-3.1457e-018	3.5390e-018	-4.2054e-018
4.000000e+001	4.4054e-019	-3.2433e-018	6.4108e-018	-9.3738e-018	1.2220e-017	-1.4998e-017	1.7736e-017	-2.0446e-017	2.3139e-017	-2.5842e-017	2.8961e-017	-3.4287e-017
5.000000e+001	4.1874e-018	-2.8585e-017	5.4889e-017	-7.8963e-017	1.0179e-016	-1.2388e-016	1.4548e-016	-1.6676e-016	1.8779e-016	-2.0882e-016	2.3311e-016	-2.7493e-016
6.000000e+001	3.9103e-017	-2.4715e-016	4.6077e-016	-6.5195e-016	8.3087e-016	-1.0024e-015	1.1690e-015	-1.3321e-015	1.4926e-015	-1.6524e-015	1.8373e-015	-2.1585e-015
7.000000e+001	3.5787e-016	-2.0909e-015	3.7820e-015	-5.2610e-015	6.6269e-015	-7.9241e-015	9.1751e-015	-1.0393e-014	1.1584e-014	-1.2766e-014	1.4137e-014	-1.6543e-014
8.000000e+001	3.2017e-015	-1.7258e-014	3.0263e-014	-4.1370e-014	5.1488e-014	-6.1007e-014	7.0119e-014	-7.8933e-014	8.7518e-014	-9.5997e-014	1.0586e-013	-1.2337e-013
9.000000e+001	2.7925e-014	-1.3856e-013	2.3534e-013	-3.1598e-013	3.8843e-013	-4.5592e-013	5.2004e-013	-5.8169e-013	6.4142e-013	-7.0019e-013	7.6878e-013	-8.9219e-013
1.000000e+002	2.3674e-013	-1.0785e-012	1.7725e-012	-2.3361e-012	2.8351e-012	-3.2954e-012	3.7294e-012	-4.1440e-012	4.5437e-012	-4.9352e-012	5.3944e-012	-6.2331e-012
1.100000e+002	1.9445e-012	-8.1103e-012	1.2881e-011	-1.6652e-011	1.9942e-011	-2.2946e-011	2.5756e-011	-2.8424e-011	3.0981e-011	-3.3477e-011	3.6421e-011	-4.1893e-011
1.200000e+002	1.5421e-011	-5.8684e-011	8.9943e-011	-1.1396e-010	1.3460e-010	-1.5324e-010	1.7054e-010	-1.8686e-010	2.0242e-010	-2.1754e-010	2.3552e-010	-2.6962e-010
1.300000e+002	1.1763e-010	-4.0680e-010	6.0069e-010	-7.4525e-010	8.6748e-010	-9.7672e-010	1.0773e-009	-1.1715e-009	1.2608e-009	-1.3473e-009	1.4512e-009	-1.6530e-009
1.400000e+002	8.5931e-010	-2.6882e-009	3.8170e-009	-4.6316e-009	5.3091e-009	-5.9080e-009	6.4548e-009	-6.9636e-009	7.4433e-009	-7.9059e-009	8.4692e-009	-9.5963e-009
1.500000e+002	5.9828e-009	-1.6840e-008	2.2939e-008	-2.7188e-008	3.0660e-008	-3.3696e-008	3.6445e-008	-3.8986e-008	4.1368e-008	-4.3657e-008	4.6498e-008	-5.2389e-008
