Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11
3.200000e+002	1.8072e-001	2.4967e-004	-1.9464e-002	2.2681e-002	-2.3119e-002	2.2825e-002	-2.2310e-002	2.1737e-002	-2.1169e-002	2.0732e-002	-2.1148e-002
3.300000e+002	1.0563e-001	1.0463e-001	-8.1491e-002	6.4916e-002	-5.4234e-002	4.6796e-002	-4.1286e-002	3.7015e-002	-3.3595e-002	3.0935e-002	-2.9805e-002
3.400000e+002	5.3222e-002	1.5162e-001	-7.6803e-002	4.4682e-002	-2.7953e-002	1.7889e-002	-1.1254e-002	6.6013e-003	-3.1928e-003	6.0730e-004	1.5607e-003
3.500000e+002	2.4565e-002	1.5054e-001	-2.7019e-002	-8.2060e-003	2.1438e-002	-2.7091e-002	2.9532e-002	-3.0433e-002	3.0540e-002	-3.0375e-002	3.1192e-002
3.600000e+002	1.0705e-002	1.2524e-001	3.4411e-002	-5.6378e-002	5.6453e-002	-5.1961e-002	4.6710e-002	-4.1698e-002	3.7179e-002	-3.3336e-002	3.1030e-002
3.700000e+002	4.4792e-003	9.3673e-002	8.4824e-002	-7.8402e-002	5.9866e-002	-4.4019e-002	3.1726e-002	-2.2277e-002	1.4954e-002	-9.2379e-003	4.6698e-003
3.800000e+002	1.8179e-003	6.5142e-002	1.1507e-001	-7.0527e-002	3.4702e-002	-1.1909e-002	-2.4881e-003	1.1700e-002	-1.7647e-002	2.1597e-002	-2.5248e-002
3.900000e+002	7.2017e-004	4.2918e-002	1.2538e-001	-4.0299e-002	-4.7903e-003	2.5972e-002	-3.5354e-002	3.8786e-002	-3.9140e-002	3.8073e-002	-3.7557e-002
4.000000e+002	2.7968e-004	2.7104e-002	1.2054e-001	5.8376e-004	-4.2557e-002	5.2631e-002	-5.0927e-002	4.5063e-002	-3.8052e-002	3.1238e-002	-2.5646e-002
4.100000e+002	1.0681e-004	1.6538e-002	1.0648e-001	4.1338e-002	-6.6869e-002	5.8878e-002	-4.3841e-002	2.9157e-002	-1.6694e-002	6.6579e-003	1.6704e-003
4.200000e+002	4.0200e-005	9.8046e-003	8.8323e-002	7.4568e-002	-7.2590e-002	4.4534e-002	-1.8921e-002	8.9592e-006	1.2921e-002	-2.1450e-002	2.8047e-002
4.300000e+002	1.4940e-005	5.6711e-003	6.9735e-002	9.6719e-002	-6.0559e-002	1.6106e-002	1.3062e-002	-2.9142e-002	3.6577e-002	-3.8909e-002	3.9585e-002
4.400000e+002	5.4898e-006	3.2106e-003	5.2881e-002	1.0738e-001	-3.5524e-002	-1.6934e-002	4.0559e-002	-4.6903e-002	4.4459e-002	-3.8212e-002	3.1360e-002
4.500000e+002	1.9969e-006	1.7835e-003	3.8763e-002	1.0818e-001	-3.8155e-003	-4.5579e-002	5.5213e-002	-4.7592e-002	3.4361e-002	-2.0710e-002	8.3213e-003
4.600000e+002	7.1968e-007	9.7417e-004	2.7600e-002	1.0169e-001	2.8517e-002	-6.3509e-002	5.3734e-002	-3.2121e-002	1.1207e-002	5.3933e-003	-1.8445e-002
4.700000e+002	2.5720e-007	5.2405e-004	1.9158e-002	9.0615e-002	5.6829e-002	-6.7931e-002	3.7761e-002	-6.4651e-003	-1.5954e-002	2.9377e-002	-3.7362e-002
4.800000e+002	9.1210e-008	2.7803e-004	1.3003e-002	7.7342e-002	7.8305e-002	-5.9312e-002	1.2383e-002	2.1108e-002	-3.7741e-002	4.2428e-002	-4.1156e-002
4.900000e+002	3.2114e-008	1.4565e-004	8.6493e-003	6.3678e-002	9.1870e-002	-4.0449e-002	-1.5840e-002	4.2830e-002	-4.7542e-002	4.0504e-002	-2.9082e-002
5.000000e+002	1.1232e-008	7.5415e-005	5.6498e-003	5.0837e-002	9.7804e-002	-1.5326e-002	-4.0708e-002	5.3452e-002	-4.3099e-002	2.5013e-002	-6.3184e-003
5.100000e+002	3.9038e-009	3.8629e-005	3.6300e-003	3.9508e-002	9.7262e-002	1.1910e-002	-5.7638e-002	5.1120e-002	-2.6469e-002	1.5640e-003	1.8662e-002
5.200000e+002	1.3489e-009	1.9589e-005	2.2973e-003	2.9983e-002	9.1821e-002	3.7693e-002	-6.4244e-002	3.7211e-002	-2.7747e-003	-2.2357e-002	3.7392e-002
5.300000e+002	4.6356e-010	9.8405e-006	1.4337e-003	2.2275e-002	8.3132e-002	5.9440e-002	-6.0305e-002	1.5432e-002	2.1619e-002	-3.9856e-002	4.4162e-002
5.400000e+002	1.5847e-010	4.9002e-006	8.8321e-004	1.6233e-002	7.2683e-002	7.5667e-002	-4.7322e-002	-9.3923e-003	4.0873e-002	-4.6470e-002	3.7431e-002
5.500000e+002	5.3911e-011	2.4200e-006	5.3759e-004	1.1624e-002	6.1674e-002	8.5887e-002	-2.7882e-002	-3.2490e-002	5.0962e-002	-4.1021e-002	1.9763e-002
5.600000e+002	1.8254e-011	1.1858e-006	3.2357e-004	8.1910e-003	5.0983e-002	9.0392e-002	-4.9958e-003	-5.0033e-002	5.0278e-002	-2.5450e-002	-3.4264e-003
5.700000e+002	6.1535e-012	5.7679e-007	1.9270e-004	5.6867e-003	4.1180e-002	8.9992e-002	1.8447e-002	-5.9635e-002	3.9582e-002	-3.9118e-003	-2.5700e-002
5.800000e+002	2.0655e-012	2.7860e-007	1.1364e-004	3.8941e-003	3.2577e-002	8.5763e-002	4.0052e-002	-6.0473e-002	2.1469e-002	1.8498e-002	-4.1411e-002
5.900000e+002	6.9055e-013	1.3367e-007	6.6386e-005	2.6326e-003	2.5291e-002	7.8850e-002	5.8118e-002	-5.3104e-002	-4.2612e-004	3.6996e-002	-4.7013e-002
6.000000e+002	2.2997e-013	6.3733e-008	3.8440e-005	1.7585e-003	1.9299e-002	7.0320e-002	7.1674e-002	-3.9100e-002	-2.2251e-002	4.8067e-002	-4.1645e-002
6.100000e+002	7.6301e-014	3.0203e-008	2.2073e-005	1.1615e-003	1.4495e-002	6.1078e-002	8.0415e-002	-2.0617e-002	-4.0627e-002	4.9990e-002	-2.6993e-002
6.200000e+002	2.5226e-014	1.4231e-008	1.2574e-005	7.5903e-004	1.0729e-002	5.1829e-002	8.4555e-002	2.1908e-005	-5.3113e-002	4.2898e-002	-6.5924e-003
6.300000e+002	8.3112e-015	6.6680e-009	7.1082e-006	4.9109e-004	7.8333e-003	4.3072e-002	8.4673e-002	2.0658e-002	-5.8411e-002	2.8483e-002	1.5148e-002
6.400000e+002	2.7293e-015	3.1078e-009	3.9895e-006	3.1472e-004	5.6469e-003	3.5126e-002	8.1551e-002	3.9526e-002	-5.6347e-002	9.4711e-003	3.3950e-002
6.500000e+002	8.9342e-016	1.4411e-009	2.2236e-006	1.9989e-004	4.0225e-003	2.8157e-002	7.6043e-002	5.5366e-002	-4.7687e-002	-1.0984e-002	4.6471e-002
6.600000e+002	2.9156e-016	6.6500e-010	1.2312e-006	1.2587e-004	2.8333e-003	2.2216e-002	6.8972e-002	6.7446e-002	-3.3862e-002	-2.9861e-002	5.0799e-002
6.700000e+002	9.4866e-017	3.0541e-010	6.7736e-007	7.8616e-005	1.9747e-003	1.7274e-002	6.1064e-002	7.5514e-002	-1.6653e-002	-4.4699e-002	4.6599e-002
6.800000e+002	3.0778e-017	1.3963e-010	3.7039e-007	4.8720e-005	1.3625e-003	1.3249e-002	5.2916e-002	7.9709e-002	2.0825e-003	-5.3857e-002	3.4958e-002
6.900000e+002	9.9580e-018	6.3554e-011	2.0135e-007	2.9968e-005	9.3115e-004	1.0034e-002	4.4978e-002	8.0447e-002	2.0644e-002	-5.6598e-002	1.8012e-002
7.000000e+002	3.2131e-018	2.8805e-011	1.0884e-007	1.8302e-005	6.3064e-004	7.5086e-003	3.7567e-002	7.8318e-002	3.7635e-002	-5.3032e-002	-1.5290e-003
7.100000e+002	1.0341e-018	1.3002e-011	5.8514e-008	1.1101e-005	4.2344e-004	5.5561e-003	3.0878e-002	7.3984e-002	5.2045e-002	-4.3954e-002	-2.0861e-002
7.200000e+002	3.3195e-019	5.8456e-012	3.1293e-008	6.6889e-006	2.8198e-004	4.0679e-003	2.5006e-002	6.8106e-002	6.3265e-002	-3.0628e-002	-3.7496e-002
7.300000e+002	1.0630e-019	2.6180e-012	1.6650e-008	4.0049e-006	1.8630e-004	2.9484e-003	1.9974e-002	6.1291e-002	7.1057e-002	-1.4560e-002	-4.9551e-002
7.400000e+002	3.3957e-020	1.1681e-012	8.8158e-009	2.3833e-006	1.2216e-004	2.1168e-003	1.5751e-002	5.4057e-002	7.5490e-002	2.7117e-003	-5.5896e-002
7.500000e+002	1.0823e-020	5.1932e-013	4.6456e-009	1.4099e-006	7.9525e-005	1.5059e-003	1.2272e-002	4.6817e-002	7.6864e-002	1.9777e-002	-5.6177e-002
7.600000e+002	3.4415e-021	2.3007e-013	2.4368e-009	8.2937e-007	5.1410e-005	1.0621e-003	9.4540e-003	3.9882e-002	7.5629e-002	3.5473e-002	-5.0733e-002
7.700000e+002	1.0919e-021	1.0157e-013	1.2725e-009	4.8519e-007	3.3012e-005	7.4289e-004	7.2057e-003	3.3460e-002	7.2313e-002	4.8937e-002	-4.0444e-002
7.800000e+002	3.4572e-022	4.4696e-014	6.6163e-010	2.8233e-007	2.1062e-005	5.1552e-004	5.4368e-003	2.7681e-002	6.7460e-002	5.9632e-002	-2.6547e-002
7.900000e+002	1.0923e-022	1.9604e-014	3.4257e-010	1.6345e-007	1.3354e-005	3.5502e-004	4.0629e-003	2.2602e-002	6.1588e-002	6.7316e-002	-1.0444e-002
8.000000e+002	3.4438e-023	8.5713e-015	1.7665e-010	9.4150e-008	8.4164e-006	2.4271e-004	3.0085e-003	1.8230e-002	5.5153e-002	7.2007e-002	6.4635e-003
8.100000e+002	1.0837e-023	3.7361e-015	9.0727e-011	5.3971e-008	5.2736e-006	1.6477e-004	2.2084e-003	1.4536e-002	4.8538e-002	7.3916e-002	2.2911e-002
8.200000e+002	3.4032e-024	1.6236e-015	4.6419e-011	3.0794e-008	3.2858e-006	1.1110e-004	1.6076e-003	1.1466e-002	4.2044e-002	7.3395e-002	3.7858e-002
8.300000e+002	1.0667e-024	7.0353e-016	2.3660e-011	1.7490e-008	2.0362e-006	7.4428e-005	1.1610e-003	8.9518e-003	3.5890e-002	7.0873e-002	5.0538e-002
8.400000e+002	3.3375e-025	3.0398e-016	1.2015e-011	9.8897e-009	1.2552e-006	4.9547e-005	8.3204e-004	6.9213e-003	3.0224e-002	6.6808e-002	6.0470e-002
8.500000e+002	1.0423e-025	1.3098e-016	6.0802e-012	5.5681e-009	7.6977e-007	3.2783e-005	5.9192e-004	5.3021e-003	2.5131e-002	6.1650e-002	6.7441e-002
8.600000e+002	3.2492e-026	5.6281e-017	3.0661e-012	3.1218e-009	4.6974e-007	2.1564e-005	4.1812e-004	4.0259e-003	2.0649e-002	5.5809e-002	7.1464e-002
8.700000e+002	1.0111e-026	2.4120e-017	1.5409e-012	1.7431e-009	2.8528e-007	1.4104e-005	2.9334e-004	3.0310e-003	1.6774e-002	4.9638e-002	7.2736e-002
8.800000e+002	3.1412e-027	1.0310e-017	7.7185e-013	9.6946e-010	1.7244e-007	9.1734e-006	2.0444e-004	2.2633e-003	1.3479e-002	4.3426e-002	7.1575e-002
8.900000e+002	9.7421e-028	4.3958e-018	3.8537e-013	5.3708e-010	1.0376e-007	5.9346e-006	1.4157e-004	1.6766e-003	1.0717e-002	3.7395e-002	6.8379e-002
9.000000e+002	3.0164e-028	1.8696e-018	1.9180e-013	2.9642e-010	6.2152e-008	3.8191e-006	9.7406e-005	1.2321e-003	8.4312e-003	3.1703e-002	6.3573e-002
9.100000e+002	9.3247e-029	7.9320e-019	9.5163e-014	1.6298e-010	3.7066e-008	2.4448e-006	6.6592e-005	8.9808e-004	6.5603e-003	2.6452e-002	5.7576e-002
9.200000e+002	2.8780e-029	3.3572e-019	4.7072e-014	8.9286e-011	2.2007e-008	1.5565e-006	4.5217e-005	6.4884e-004	5.0433e-003	2.1692e-002	5.0772e-002
9.300000e+002	8.8689e-030	1.4176e-019	2.3213e-014	4.8725e-011	1.3004e-008	9.8497e-007	3.0460e-005	4.6386e-004	3.8220e-003	1.7437e-002	4.3494e-002
9.400000e+002	2.7289e-030	5.9716e-020	1.1409e-014	2.6471e-011	7.6379e-009	6.1833e-007	2.0302e-005	3.2694e-004	2.8421e-003	1.3667e-002	3.6007e-002
9.500000e+002	8.3834e-031	2.5082e-020	5.5809e-015	1.4281e-011	4.4426e-009	3.8310e-007	1.3300e-005	2.2536e-004	2.0545e-003	1.0338e-002	2.8509e-002
9.600000e+002	2.5699e-031	1.0473e-020	2.7013e-015	7.5846e-012	2.5297e-009	2.3098e-007	8.4238e-006	1.4914e-004	1.4151e-003	7.3896e-003	2.1129e-002
9.700000e+002	7.8100e-032	4.2726e-021	1.2603e-015	3.8381e-012	1.3580e-009	1.2997e-007	4.9312e-006	9.0353e-005	8.8381e-004	4.7446e-003	1.3928e-002
9.800000e+002	2.1849e-032	1.5198e-021	4.9596e-016	1.6009e-012	5.9007e-010	5.8289e-008	2.2696e-006	4.2512e-005	4.2390e-004	2.3149e-003	6.9056e-003
9.900000e+002	-8.4674e-106	-4.1493e-095	-1.1530e-089	-3.3767e-086	-1.1596e-083	-1.0828e-081	-4.0218e-080	-7.2312e-079	-6.9533e-078	-3.6744e-077	-1.0623e-076
1.000000e+003	2.6764e-069	1.8617e-058	6.0752e-053	1.9610e-049	7.2280e-047	7.1400e-045	2.7801e-043	5.2074e-042	5.1925e-041	2.8356e-040	8.4590e-040
