Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11
3.200000e+002	1.8072e-001	2.4693e-004	-1.9458e-002	2.2674e-002	-2.3112e-002	2.2818e-002	-2.2304e-002	2.1733e-002	-2.1165e-002	2.0691e-002	-2.0900e-002
3.300000e+002	1.0563e-001	1.0463e-001	-8.1482e-002	6.4908e-002	-5.4228e-002	4.6794e-002	-4.1287e-002	3.7018e-002	-3.3598e-002	3.0884e-002	-2.9483e-002
3.400000e+002	5.3223e-002	1.5162e-001	-7.6803e-002	4.4687e-002	-2.7962e-002	1.7899e-002	-1.1265e-002	6.6125e-003	-3.2031e-003	6.1827e-004	1.5070e-003
3.500000e+002	2.4565e-002	1.5054e-001	-2.7031e-002	-8.1884e-003	2.1420e-002	-2.7075e-002	2.9519e-002	-3.0423e-002	3.0533e-002	-3.0314e-002	3.0823e-002
3.600000e+002	1.0705e-002	1.2524e-001	3.4391e-002	-5.6359e-002	5.6439e-002	-5.1954e-002	4.6709e-002	-4.1702e-002	3.7184e-002	-3.3285e-002	3.0715e-002
3.700000e+002	4.4796e-003	9.3680e-002	8.4802e-002	-7.8393e-002	5.9869e-002	-4.4030e-002	3.1743e-002	-2.2297e-002	1.4973e-002	-9.2442e-003	4.6906e-003
3.800000e+002	1.8181e-003	6.5149e-002	1.1506e-001	-7.0535e-002	3.4725e-002	-1.1937e-002	-2.4605e-003	1.1676e-002	-1.7627e-002	2.1537e-002	-2.4905e-002
3.900000e+002	7.2027e-004	4.2925e-002	1.2537e-001	-4.0325e-002	-4.7552e-003	2.5941e-002	-3.5331e-002	3.8773e-002	-3.9132e-002	3.8002e-002	-3.7144e-002
4.000000e+002	2.7973e-004	2.7110e-002	1.2054e-001	5.4590e-004	-4.2522e-002	5.2612e-002	-5.0922e-002	4.5070e-002	-3.8064e-002	3.1204e-002	-2.5447e-002
4.100000e+002	1.0683e-004	1.6543e-002	1.0649e-001	4.1297e-002	-6.6847e-002	5.8880e-002	-4.3860e-002	2.9184e-002	-1.6722e-002	6.6835e-003	1.5228e-003
4.200000e+002	4.0210e-005	9.8079e-003	8.8338e-002	7.4531e-002	-7.2590e-002	4.4561e-002	-1.8959e-002	4.6579e-005	1.2889e-002	-2.1378e-002	2.7636e-002
4.300000e+002	1.4944e-005	5.6734e-003	6.9751e-002	9.6692e-002	-6.0583e-002	1.6152e-002	1.3018e-002	-2.9111e-002	3.6558e-002	-3.8828e-002	3.9142e-002
4.400000e+002	5.4915e-006	3.2121e-003	5.2898e-002	1.0737e-001	-3.5568e-002	-1.6883e-002	4.0525e-002	-4.6891e-002	4.4462e-002	-3.8163e-002	3.1123e-002
4.500000e+002	1.9976e-006	1.7845e-003	3.8779e-002	1.0818e-001	-3.8705e-003	-4.5537e-002	5.5201e-002	-4.7606e-002	3.4387e-002	-2.0718e-002	8.4173e-003
4.600000e+002	7.1998e-007	9.7477e-004	2.7613e-002	1.0170e-001	2.8459e-002	-6.3485e-002	5.3751e-002	-3.2159e-002	1.1247e-002	5.3305e-003	-1.8055e-002
4.700000e+002	2.5732e-007	5.2441e-004	1.9169e-002	9.0633e-002	5.6776e-002	-6.7933e-002	3.7802e-002	-6.5143e-003	-1.5913e-002	2.9285e-002	-3.6853e-002
4.800000e+002	9.1258e-008	2.7825e-004	1.3011e-002	7.7365e-002	7.8264e-002	-5.9340e-002	1.2439e-002	2.1061e-002	-3.7714e-002	4.2342e-002	-4.0750e-002
4.900000e+002	3.2132e-008	1.4577e-004	8.6557e-003	6.3703e-002	9.1844e-002	-4.0498e-002	-1.5782e-002	4.2799e-002	-4.7539e-002	4.0457e-002	-2.8953e-002
5.000000e+002	1.1239e-008	7.5485e-005	5.6545e-003	5.0861e-002	9.7793e-002	-1.5388e-002	-4.0660e-002	5.3445e-002	-4.3120e-002	2.5022e-002	-6.5256e-003
5.100000e+002	3.9065e-009	3.8668e-005	3.6334e-003	3.9531e-002	9.7264e-002	1.1843e-002	-5.7610e-002	5.1140e-002	-2.6509e-002	1.6285e-003	1.8188e-002
5.200000e+002	1.3499e-009	1.9610e-005	2.2996e-003	3.0003e-002	9.1835e-002	3.7629e-002	-6.4240e-002	3.7253e-002	-2.8232e-003	-2.2257e-002	3.6818e-002
