Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12
2.000000e+001	1.9439e-016	-7.8143e-015	2.0054e-004	-1.2864e-014	1.0692e-014	-1.1717e-014	1.3460e-014	-1.5577e-014	1.7973e-014	-2.0616e-014	2.3579e-014	-2.7758e-014
3.000000e+001	1.3585e-015	-5.1371e-014	1.3034e-003	-8.2287e-014	6.7223e-014	-7.2748e-014	8.2740e-014	-9.4974e-014	1.0882e-013	-1.2407e-013	1.4114e-013	-1.6533e-013
4.000000e+001	9.4721e-015	-3.3642e-013	8.4368e-003	-5.2396e-013	4.2050e-013	-4.4919e-013	5.0568e-013	-5.7557e-013	6.5476e-013	-7.4182e-013	8.3922e-013	-9.7797e-013
5.000000e+001	5.7774e-014	-1.9094e-012	4.7241e-002	-2.8786e-012	2.2630e-012	-2.3811e-012	2.6487e-012	-2.9852e-012	3.3674e-012	-3.7872e-012	4.2565e-012	-4.9303e-012
6.000000e+001	3.0077e-013	-9.1254e-012	2.2215e-001	-1.3230e-011	1.0145e-011	-1.0480e-011	1.1490e-011	-1.2794e-011	1.4284e-011	-1.5920e-011	1.7750e-011	-2.0408e-011
7.000000e+001	4.1045e-013	-8.5139e-012	1.8999e-001	-9.8883e-012	6.4161e-012	-5.7601e-012	5.5726e-012	-5.5282e-012	5.5327e-012	-5.5495e-012	5.5796e-012	-5.7722e-012
8.000000e+001	5.9934e-013	-6.0158e-012	1.0161e-001	-2.6023e-012	-5.7380e-013	2.3409e-012	-3.9570e-012	5.5981e-012	-7.3166e-012	9.1353e-012	-1.1109e-011	1.3709e-011
9.000000e+001	1.2472e-012	-5.6308e-012	4.1362e-002	4.2310e-012	-7.6007e-012	1.0409e-011	-1.3188e-011	1.6021e-011	-1.8937e-011	2.1952e-011	-2.5166e-011	2.9535e-011
1.000000e+002	3.4949e-012	-1.0135e-011	1.3955e-002	1.3988e-011	-1.9048e-011	2.3711e-011	-2.8243e-011	3.2718e-011	-3.7171e-011	4.1629e-011	-4.6275e-011	5.2761e-011
1.100000e+002	1.1847e-011	-2.8140e-011	4.0995e-003	3.9900e-011	-5.0409e-011	5.9936e-011	-6.8871e-011	7.7398e-011	-8.5623e-011	9.3625e-011	-1.0181e-010	1.1368e-010
1.200000e+002	4.5757e-011	-9.5186e-011	1.0841e-003	1.2827e-010	-1.5517e-010	1.7871e-010	-2.0014e-010	2.2006e-010	-2.3884e-010	2.5675e-010	-2.7491e-010	3.0247e-010
1.300000e+002	1.9472e-010	-3.6211e-010	2.6444e-004	4.6327e-010	-5.4127e-010	6.0747e-010	-6.6627e-010	7.1990e-010	-7.6962e-010	8.1633e-010	-8.6363e-010	9.3955e-010
1.400000e+002	8.9235e-010	-1.4993e-009	6.0669e-005	1.8295e-009	-2.0730e-009	2.2741e-009	-2.4493e-009	2.6066e-009	-2.7504e-009	2.8840e-009	-3.0200e-009	3.2541e-009
1.500000e+002	4.3268e-009	-6.6131e-009	1.3304e-005	7.7239e-009	-8.5088e-009	9.1418e-009	-9.6839e-009	1.0164e-008	-1.0599e-008	1.0999e-008	-1.1410e-008	1.2190e-008
1.600000e+002	2.1873e-008	-3.0555e-008	2.8285e-006	3.4240e-008	-3.6730e-008	3.8696e-008	-4.0357e-008	4.1813e-008	-4.3119e-008	4.4314e-008	-4.5577e-008	4.8299e-008
1.700000e+002	1.1382e-007	-1.4576e-007	5.9056e-007	1.5695e-007	-1.6413e-007	1.6969e-007	-1.7435e-007	1.7842e-007	-1.8205e-007	1.8536e-007	-1.8907e-007	1.9883e-007
1.800000e+002	6.0253e-007	-7.0864e-007	1.2260e-007	7.3391e-007	-7.4857e-007	7.5986e-007	-7.6945e-007	7.7793e-007	-7.8560e-007	7.9269e-007	-8.0207e-007	8.3720e-007
1.900000e+002	3.2090e-006	-3.4686e-006	2.5616e-008	3.4561e-006	-3.4392e-006	3.4282e-006	-3.4218e-006	3.4184e-006	-3.4169e-006	3.4171e-006	-3.4301e-006	3.5540e-006
2.000000e+002	1.7008e-005	-1.6888e-005	5.4552e-009	1.6187e-005	-1.5714e-005	1.5380e-005	-1.5130e-005	1.4935e-005	-1.4776e-005	1.4644e-005	-1.4583e-005	1.4998e-005
2.100000e+002	8.8713e-005	-8.0805e-005	1.2003e-009	7.4450e-005	-7.0467e-005	6.7698e-005	-6.5623e-005	6.3985e-005	-6.2643e-005	6.1519e-005	-6.0762e-005	6.2019e-005
2.200000e+002	4.5003e-004	-3.7502e-004	2.7705e-010	3.3170e-004	-3.0585e-004	2.8822e-004	-2.7514e-004	2.6489e-004	-2.5653e-004	2.4953e-004	-2.4438e-004	2.4748e-004
2.300000e+002	2.1918e-003	-1.6642e-003	6.8242e-011	1.4102e-003	-1.2650e-003	1.1681e-003	-1.0972e-003	1.0423e-003	-9.9782e-004	9.6089e-004	-9.3264e-004	9.3663e-004
2.400000e+002	1.0100e-002	-6.9451e-003	1.8044e-011	5.6212e-003	-4.8956e-003	4.4230e-003	-4.0830e-003	3.8227e-003	-3.6145e-003	3.4431e-003	-3.3095e-003	3.2938e-003
