Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11
2.000000e+001	1.1097e-021	-2.8344e-021	4.1557e-021	-5.2764e-021	6.2811e-021	-7.2080e-021	8.0775e-021	-8.9020e-021	9.6904e-021	-1.0475e-020	1.1553e-020
3.000000e+001	4.3516e-021	-9.9665e-021	1.3886e-020	-1.7059e-020	1.9817e-020	-2.2302e-020	2.4589e-020	-2.6724e-020	2.8737e-020	-3.0728e-020	3.3550e-020
4.000000e+001	2.2905e-020	-4.8129e-020	6.4424e-020	-7.7124e-020	8.7892e-020	-9.7416e-020	1.0605e-019	-1.1401e-019	1.2143e-019	-1.2874e-019	1.3946e-019
5.000000e+001	1.3453e-019	-2.6237e-019	3.3940e-019	-3.9752e-019	4.4578e-019	-4.8781e-019	5.2545e-019	-5.5978e-019	5.9152e-019	-6.2272e-019	6.7021e-019
6.000000e+001	8.5914e-019	-1.5658e-018	1.9640e-018	-2.2556e-018	2.4932e-018	-2.6973e-018	2.8781e-018	-3.0415e-018	3.1914e-018	-3.3388e-018	3.5728e-018
7.000000e+001	5.8762e-018	-1.0058e-017	1.2263e-017	-1.3831e-017	1.5086e-017	-1.6152e-017	1.7086e-017	-1.7923e-017	1.8686e-017	-1.9438e-017	2.0691e-017
8.000000e+001	4.2525e-017	-6.8619e-017	8.1461e-017	-9.0338e-017	9.7329e-017	-1.0319e-016	1.0828e-016	-1.1281e-016	1.1691e-016	-1.2097e-016	1.2814e-016
9.000000e+001	3.2226e-016	-4.9164e-016	5.6909e-016	-6.2108e-016	6.6135e-016	-6.9473e-016	7.2348e-016	-7.4885e-016	7.7168e-016	-7.9447e-016	8.3772e-016
1.000000e+002	2.5342e-015	-3.6632e-015	4.1388e-015	-4.4482e-015	4.6838e-015	-4.8770e-015	5.0419e-015	-5.1864e-015	5.3157e-015	-5.4465e-015	5.7178e-015
1.100000e+002	2.0511e-014	-2.8140e-014	3.1057e-014	-3.2886e-014	3.4255e-014	-3.5364e-014	3.6304e-014	-3.7121e-014	3.7848e-014	-3.8601e-014	4.0351e-014
1.200000e+002	1.6959e-013	-2.2108e-013	2.3847e-013	-2.4889e-013	2.5652e-013	-2.6263e-013	2.6776e-013	-2.7220e-013	2.7612e-013	-2.8034e-013	2.9184e-013
1.300000e+002	1.4223e-012	-1.7632e-012	1.8595e-012	-1.9133e-012	1.9515e-012	-1.9817e-012	2.0068e-012	-2.0284e-012	2.0474e-012	-2.0694e-012	2.1456e-012
1.400000e+002	1.2016e-011	-1.4172e-011	1.4615e-011	-1.4827e-011	1.4969e-011	-1.5078e-011	1.5167e-011	-1.5242e-011	1.5309e-011	-1.5406e-011	1.5909e-011
1.500000e+002	1.0159e-010	-1.1399e-010	1.1496e-010	-1.1500e-010	1.1491e-010	-1.1481e-010	1.1471e-010	-1.1463e-010	1.1456e-010	-1.1479e-010	1.1806e-010
1.600000e+002	8.5376e-010	-9.1106e-010	8.9844e-010	-8.8603e-010	8.7620e-010	-8.6831e-010	8.6181e-010	-8.5627e-010	8.5151e-010	-8.4940e-010	8.7006e-010
1.700000e+002	7.0824e-009	-7.1831e-009	6.9241e-009	-6.7308e-009	6.5864e-009	-6.4734e-009	6.3811e-009	-6.3034e-009	6.2366e-009	-6.1934e-009	6.3179e-009
1.800000e+002	5.7580e-008	-5.5444e-008	5.2214e-008	-5.0014e-008	4.8418e-008	-4.7185e-008	4.6188e-008	-4.5355e-008	4.4643e-008	-4.4130e-008	4.4828e-008
1.900000e+002	4.5524e-007	-4.1554e-007	3.8205e-007	-3.6043e-007	3.4507e-007	-3.3336e-007	3.2397e-007	-3.1618e-007	3.0955e-007	-3.0455e-007	3.0802e-007
2.000000e+002	3.4709e-006	-2.9970e-006	2.6874e-006	-2.4956e-006	2.3617e-006	-2.2608e-006	2.1807e-006	-2.1146e-006	2.0588e-006	-2.0155e-006	2.0292e-006
2.100000e+002	2.5280e-005	-2.0591e-005	1.7986e-005	-1.6425e-005	1.5356e-005	-1.4559e-005	1.3932e-005	-1.3419e-005	1.2987e-005	-1.2648e-005	1.2673e-005
2.200000e+002	1.7399e-004	-1.3321e-004	1.1314e-004	-1.0151e-004	9.3669e-005	-8.7900e-005	8.3401e-005	-7.9748e-005	7.6699e-005	-7.4276e-005	7.4041e-005
2.300000e+002	1.1173e-003	-8.0025e-004	6.5941e-004	-5.8030e-004	5.2798e-004	-4.8996e-004	4.6060e-004	-4.3697e-004	4.1739e-004	-4.0174e-004	3.9822e-004
2.400000e+002	6.5913e-003	-4.3882e-003	3.4973e-003	-3.0129e-003	2.6987e-003	-2.4735e-003	2.3016e-003	-2.1644e-003	2.0517e-003	-1.9614e-003	1.9321e-003
2.500000e+002	3.5029e-002	-2.1487e-002	1.6492e-002	-1.3869e-002	1.2203e-002	-1.1028e-002	1.0142e-002	-9.4429e-003	8.8728e-003	-8.4165e-003	8.2315e-003
2.600000e+002	1.6340e-001	-9.1182e-002	6.6973e-002	-5.4746e-002	4.7171e-002	-4.1923e-002	3.8022e-002	-3.4981e-002	3.2527e-002	-3.0568e-002	2.9640e-002
2.700000e+002	1.8306e-001	-6.3279e-002	3.4065e-002	-2.1524e-002	1.4608e-002	-1.0246e-002	7.2562e-003	-5.0891e-003	3.4530e-003	-2.1829e-003	1.1746e-003
2.800000e+002	1.4770e-001	9.2715e-003	-2.8831e-002	3.2979e-002	-3.3540e-002	3.2986e-002	-3.2055e-002	3.1010e-002	-2.9959e-002	2.9015e-002	-2.8839e-002
2.900000e+002	1.0215e-001	7.7427e-002	-7.3021e-002	6.2510e-002	-5.3671e-002	4.6654e-002	-4.1038e-002	3.6463e-002	-3.2670e-002	2.9545e-002	-2.7523e-002
3.000000e+002	6.4444e-002	1.2016e-001	-8.0479e-002	5.3820e-002	-3.6792e-002	2.5309e-002	-1.7177e-002	1.1195e-002	-6.6642e-003	3.1544e-003	-3.1904e-004
3.100000e+002	3.8171e-002	1.3555e-001	-5.5556e-002	1.7643e-002	1.7509e-003	-1.2481e-002	1.8702e-002	-2.2376e-002	2.4528e-002	-2.5793e-002	2.7153e-002
3.200000e+002	2.1574e-002	1.3040e-001	-1.2505e-002	-2.6203e-002	3.9396e-002	-4.3110e-002	4.2918e-002	-4.1051e-002	3.8496e-002	-3.5797e-002	3.3884e-002
3.300000e+002	1.1754e-002	1.1339e-001	3.3868e-002	-6.0249e-002	5.9228e-002	-5.1620e-002	4.2974e-002	-3.4885e-002	2.7764e-002	-2.1681e-002	1.6788e-002
3.400000e+002	6.2158e-003	9.1762e-002	7.2942e-002	-7.4779e-002	5.5249e-002	-3.6232e-002	2.0992e-002	-9.3590e-003	6.1135e-004	5.9559e-003	-1.1272e-002
3.500000e+002	3.2062e-003	7.0292e-002	9.9396e-002	-6.8267e-002	3.1406e-002	-5.6107e-003	-1.0863e-002	2.0963e-002	-2.6877e-002	3.0132e-002	-3.2449e-002
3.600000e+002	1.6190e-003	5.1533e-002	1.1231e-001	-4.5058e-002	-2.5713e-003	2.7163e-002	-3.8009e-002	4.1315e-002	-4.0601e-002	3.7906e-002	-3.5010e-002
3.700000e+002	8.0250e-004	3.6434e-002	1.1358e-001	-1.2291e-002	-3.5802e-002	5.0399e-002	-4.9912e-002	4.3356e-002	-3.4849e-002	2.6277e-002	-1.8620e-002
