Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12
2.000000e+001	3.5715e-022	-2.1942e-021	3.9183e-021	-5.3561e-021	6.6368e-021	-7.8182e-021	8.9294e-021	-9.9876e-021	1.1003e-020	-1.1993e-020	1.3136e-020	-1.5186e-020
3.000000e+001	3.2041e-021	-1.8156e-020	3.1434e-020	-4.2232e-020	5.1713e-020	-6.0371e-020	6.8453e-020	-7.6100e-020	8.3402e-020	-9.0489e-020	9.8700e-020	-1.1365e-019
4.000000e+001	3.1294e-020	-1.6449e-019	2.7676e-019	-3.6593e-019	4.4319e-019	-5.1309e-019	5.7789e-019	-6.3885e-019	6.9678e-019	-7.5279e-019	8.1798e-019	-9.3843e-019
5.000000e+001	3.0259e-019	-1.4746e-018	2.4103e-018	-3.1359e-018	3.7562e-018	-4.3123e-018	4.8241e-018	-5.3029e-018	5.7556e-018	-6.1917e-018	6.7021e-018	-7.6605e-018
6.000000e+001	2.8893e-018	-1.3040e-017	2.0700e-017	-2.6495e-017	3.1382e-017	-3.5722e-017	3.9688e-017	-4.3376e-017	4.6847e-017	-5.0179e-017	5.4104e-017	-6.1608e-017
7.000000e+001	2.7202e-017	-1.1357e-016	1.7500e-016	-2.2030e-016	2.5797e-016	-2.9111e-016	3.2117e-016	-3.4898e-016	3.7501e-016	-3.9991e-016	4.2949e-016	-4.8718e-016
8.000000e+001	2.5210e-016	-9.7242e-016	1.4536e-015	-1.7992e-015	2.0824e-015	-2.3293e-015	2.5517e-015	-2.7561e-015	2.9465e-015	-3.1281e-015	3.3459e-015	-3.7805e-015
9.000000e+001	2.2959e-015	-8.1694e-015	1.1841e-014	-1.4404e-014	1.6475e-014	-1.8263e-014	1.9861e-014	-2.1322e-014	2.2676e-014	-2.3963e-014	2.5526e-014	-2.8726e-014
1.000000e+002	2.0509e-014	-6.7208e-014	9.4382e-014	-1.1280e-013	1.2747e-013	-1.4000e-013	1.5112e-013	-1.6123e-013	1.7055e-013	-1.7938e-013	1.9028e-013	-2.1326e-013
1.100000e+002	1.7936e-013	-5.4028e-013	7.3458e-013	-8.6219e-013	9.6220e-013	-1.0468e-012	1.1214e-012	-1.1888e-012	1.2506e-012	-1.3091e-012	1.3825e-012	-1.5430e-012
1.200000e+002	1.5326e-012	-4.2346e-012	5.5693e-012	-6.4162e-012	7.0693e-012	-7.6165e-012	8.0954e-012	-8.5254e-012	8.9183e-012	-9.2887e-012	9.7663e-012	-1.0853e-011
1.300000e+002	1.2767e-011	-3.2279e-011	4.1026e-011	-4.6367e-011	5.0416e-011	-5.3776e-011	5.6695e-011	-5.9303e-011	6.1674e-011	-6.3907e-011	6.6883e-011	-7.3991e-011
1.400000e+002	1.0345e-010	-2.3868e-010	2.9283e-010	-3.2445e-010	3.4801e-010	-3.6736e-010	3.8407e-010	-3.9892e-010	4.1237e-010	-4.2503e-010	4.4270e-010	-4.8748e-010
1.500000e+002	8.1319e-010	-1.7071e-009	2.0192e-009	-2.1916e-009	2.3177e-009	-2.4203e-009	2.5085e-009	-2.5865e-009	2.6569e-009	-2.7234e-009	2.8226e-009	-3.0931e-009
1.600000e+002	6.1849e-009	-1.1772e-008	1.3405e-008	-1.4242e-008	1.4841e-008	-1.5324e-008	1.5739e-008	-1.6105e-008	1.6435e-008	-1.6750e-008	1.7270e-008	-1.8831e-008
1.700000e+002	4.5376e-008	-7.8003e-008	8.5368e-008	-8.8695e-008	9.1008e-008	-9.2877e-008	9.4485e-008	-9.5916e-008	9.7212e-008	-9.8476e-008	1.0098e-007	-1.0953e-007
1.800000e+002	3.2007e-007	-4.9471e-007	5.1938e-007	-5.2711e-007	5.3216e-007	-5.3641e-007	5.4027e-007	-5.4386e-007	5.4724e-007	-5.5083e-007	5.6162e-007	-6.0576e-007
1.900000e+002	2.1627e-006	-2.9900e-006	3.0048e-006	-2.9750e-006	2.9525e-006	-2.9374e-006	2.9274e-006	-2.9208e-006	2.9164e-006	-2.9158e-006	2.9549e-006	-3.1684e-006
2.000000e+002	1.3941e-005	-1.7137e-005	1.6443e-005	-1.5857e-005	1.5454e-005	-1.5162e-005	1.4941e-005	-1.4767e-005	1.4625e-005	-1.4517e-005	1.4616e-005	-1.5574e-005
2.100000e+002	8.5329e-005	-9.2617e-005	8.4582e-005	-7.9314e-005	7.5805e-005	-7.3274e-005	7.1338e-005	-6.9790e-005	6.8514e-005	-6.7484e-005	6.7473e-005	-7.1407e-005
2.200000e+002	4.9329e-004	-4.6886e-004	4.0608e-004	-3.6944e-004	3.4574e-004	-3.2885e-004	3.1599e-004	-3.0574e-004	2.9730e-004	-2.9038e-004	2.8813e-004	-3.0268e-004
2.300000e+002	2.6769e-003	-2.2060e-003	1.8039e-003	-1.5880e-003	1.4524e-003	-1.3572e-003	1.2856e-003	-1.2289e-003	1.1825e-003	-1.1443e-003	1.1260e-003	-1.1733e-003
2.400000e+002	1.3537e-002	-9.5557e-003	7.3367e-003	-6.2282e-003	5.5534e-003	-5.0889e-003	4.7438e-003	-4.4738e-003	4.2547e-003	-4.0750e-003	3.9724e-003	-4.1016e-003
2.500000e+002	5.5282e-002	-3.2046e-002	2.2646e-002	-1.8311e-002	1.5774e-002	-1.4072e-002	1.2832e-002	-1.1877e-002	1.1113e-002	-1.0490e-002	1.0092e-002	-1.0287e-002
2.600000e+002	2.1718e-001	-1.0185e-001	6.5682e-002	-5.0295e-002	4.1671e-002	-3.6056e-002	3.2059e-002	-2.9038e-002	2.6658e-002	-2.4742e-002	2.3438e-002	-2.3529e-002
2.700000e+002	1.8144e-001	-7.9770e-003	-1.3388e-002	1.8138e-002	-1.9508e-002	1.9825e-002	-1.9740e-002	1.9484e-002	-1.9156e-002	1.8814e-002	-1.8706e-002	1.9639e-002
2.800000e+002	1.1069e-001	9.2996e-002	-7.7169e-002	6.3364e-002	-5.3912e-002	4.7110e-002	-4.1961e-002	3.7906e-002	-3.4615e-002	3.1903e-002	-2.9978e-002	2.9806e-002
2.900000e+002	5.8403e-002	1.4465e-001	-8.0579e-002	5.0306e-002	-3.3710e-002	2.3382e-002	-1.6399e-002	1.1399e-002	-7.6702e-003	4.8038e-003	-2.5557e-003	6.0784e-004
3.000000e+002	2.8254e-002	1.5033e-001	-3.8068e-002	1.6606e-003	1.3475e-002	-2.0697e-002	2.4353e-002	-2.6196e-002	2.7041e-002	-2.7327e-002	2.7622e-002	-2.9264e-002
3.100000e+002	1.2903e-002	1.2994e-001	2.0635e-002	-4.7919e-002	5.1821e-002	-4.9753e-002	4.6067e-002	-4.2094e-002	3.8280e-002	-3.4788e-002	3.2006e-002	-3.0932e-002
3.200000e+002	5.6539e-003	1.0059e-001	7.2715e-002	-7.5528e-002	6.1586e-002	-4.7888e-002	3.6574e-002	-2.7520e-002	2.0286e-002	-1.4476e-002	9.8441e-003	-6.0178e-003
3.300000e+002	2.4013e-003	7.2227e-002	1.0718e-001	-7.4452e-002	4.2231e-002	-2.0030e-002	5.1849e-003	4.8100e-003	-1.1603e-002	1.6254e-002	-1.9708e-002	2.3595e-002
3.400000e+002	9.9479e-004	4.9046e-002	1.2233e-001	-4.9721e-002	5.5295e-003	1.7457e-002	-2.8987e-002	3.4335e-002	-3.6264e-002	3.6295e-002	-3.5689e-002	3.6252e-002
3.500000e+002	4.0375e-004	3.1882e-002	1.2166e-001	-1.1723e-002	-3.3162e-002	4.7440e-002	-4.9078e-002	4.5586e-002	-4.0183e-002	3.4317e-002	-2.8909e-002	2.4703e-002
3.600000e+002	1.6105e-004	2.0002e-002	1.1049e-001	2.8898e-002	-6.1347e-002	5.9074e-002	-4.7443e-002	3.4536e-002	-2.2846e-002	1.2995e-002	-4.9360e-003	-2.2776e-003
3.700000e+002	6.3281e-005	1.2182e-002	9.3902e-002	6.4129e-002	-7.2379e-002	5.0058e-002	-2.6571e-002	7.8768e-003	5.7244e-003	-1.5168e-002	2.1788e-002	-2.7920e-002
3.800000e+002	2.4540e-005	7.2333e-003	7.5786e-002	8.9495e-002	-6.5544e-002	2.5184e-002	4.2050e-003	-2.2085e-002	3.1668e-002	-3.5842e-002	3.7080e-002	-3.8075e-002
3.900000e+002	9.4053e-006	4.2010e-003	5.8650e-002	1.0371e-001	-4.4446e-002	-6.9325e-003	3.3536e-002	-4.3434e-002	4.4003e-002	-3.9871e-002	3.3998e-002	-2.8223e-002
4.000000e+002	3.5669e-006	2.3929e-003	4.3823e-002	1.0775e-001	-1.4851e-002	-3.7238e-002	5.2235e-002	-4.8992e-002	3.8590e-002	-2.6434e-002	1.4969e-002	-4.2869e-003
4.100000e+002	1.3398e-006	1.3394e-003	3.1775e-002	1.0381e-001	1.7227e-002	-5.8716e-002	5.5628e-002	-3.7917e-002	1.8542e-002	-2.0552e-003	-1.0722e-002	2.1686e-002
4.200000e+002	4.9890e-007	7.3811e-004	2.2445e-002	9.4462e-002	4.6807e-002	-6.7569e-002	4.3951e-002	-1.4807e-002	-8.1287e-003	2.3129e-002	-3.1878e-002	3.7837e-002
4.300000e+002	1.8428e-007	4.0099e-004	1.5492e-002	8.2136e-002	7.0553e-002	-6.3276e-002	2.1265e-002	1.2700e-002	-3.2062e-002	3.9723e-002	-4.0204e-002	3.7625e-002
4.400000e+002	6.7559e-008	2.1503e-004	1.0474e-002	6.8777e-002	8.6848e-002	-4.7873e-002	-6.3432e-003	3.6677e-002	-4.5809e-002	4.2316e-002	-3.3111e-002	2.1857e-002
4.500000e+002	2.4597e-008	1.1393e-004	6.9511e-003	5.5773e-002	9.5511e-002	-2.4915e-002	-3.2596e-002	5.1109e-002	-4.5812e-002	3.0746e-002	-1.3908e-002	-2.5613e-003
4.600000e+002	8.8973e-009	5.9698e-005	4.5356e-003	4.3986e-002	9.7373e-002	1.5604e-003	-5.2424e-002	5.3092e-002	-3.2836e-002	9.3977e-003	1.0150e-002	-2.6008e-002
4.700000e+002	3.1989e-009	3.0960e-005	2.9141e-003	3.3850e-002	9.3828e-002	2.7840e-002	-6.2743e-002	4.2975e-002	-1.1071e-002	-1.4792e-002	3.0824e-002	-4.0004e-002
4.800000e+002	1.1435e-009	1.5903e-005	1.8457e-003	2.5485e-002	8.6463e-002	5.1039e-002	-6.2611e-002	2.3702e-002	1.3493e-002	-3.4729e-002	4.1678e-002	-4.0057e-002
4.900000e+002	4.0658e-010	8.0947e-006	1.1537e-003	1.8812e-002	7.6794e-002	6.9307e-002	-5.2929e-002	-2.8878e-004	3.4836e-002	-4.5168e-002	3.9839e-002	-2.6710e-002
