Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13
2.800000e+002	4.0385e-003	1.2903e-001	3.8380e-002	-6.8011e-002	5.6289e-002	-3.2502e-002	1.3107e-002	-3.3638e-004	-7.7594e-003	1.2939e-002	-1.6307e-002	1.8652e-002	-2.1153e-002
2.900000e+002	1.9307e-003	9.6850e-002	8.5781e-002	-7.2632e-002	2.9181e-002	6.1798e-003	-2.5027e-002	3.3171e-002	-3.5933e-002	3.6116e-002	-3.5079e-002	3.3692e-002	-3.3276e-002
3.000000e+002	8.8955e-004	6.7490e-002	1.1296e-001	-5.0488e-002	-1.1290e-002	4.1596e-002	-4.8475e-002	4.5572e-002	-3.9715e-002	3.3437e-002	-2.7587e-002	2.2514e-002	-1.8579e-002
3.100000e+002	3.9818e-004	4.4522e-002	1.2091e-001	-1.3048e-002	-4.7331e-002	5.7766e-002	-4.6657e-002	3.1963e-002	-1.9140e-002	9.0125e-003	-1.2494e-003	-4.7075e-003	9.8750e-003
3.200000e+002	1.7408e-004	2.8140e-002	1.1471e-001	2.7650e-002	-6.7320e-002	5.0280e-002	-2.3004e-002	1.8137e-003	1.2154e-002	-2.0794e-002	2.5876e-002	-2.8825e-002	3.1542e-002
3.300000e+002	7.4619e-005	1.7179e-002	1.0022e-001	6.2678e-002	-6.7485e-002	2.4451e-002	1.0387e-002	-2.9194e-002	3.7184e-002	-3.9113e-002	3.7857e-002	-3.5224e-002	3.2942e-002
3.400000e+002	3.1446e-005	1.0187e-002	8.2335e-002	8.7264e-002	-5.0374e-002	-9.3580e-003	3.9781e-002	-4.7520e-002	4.4480e-002	-3.7327e-002	2.9138e-002	-2.1324e-002	1.4442e-002
3.500000e+002	1.3057e-005	5.8930e-003	6.4440e-002	1.0026e-001	-2.2066e-002	-4.0429e-002	5.5206e-002	-4.6807e-002	3.2064e-002	-1.7614e-002	5.4696e-003	4.1438e-003	-1.2295e-002
3.600000e+002	5.3510e-006	3.3362e-003	4.8471e-002	1.0294e-001	1.0484e-002	-6.0882e-002	5.2904e-002	-2.8747e-002	6.3999e-003	1.0030e-002	-2.0841e-002	2.7488e-002	-3.2389e-002
3.700000e+002	2.1673e-006	1.8531e-003	3.5261e-002	9.7815e-002	4.1302e-002	-6.6993e-002	3.5044e-002	-8.0871e-004	-2.1736e-002	3.3429e-002	-3.7648e-002	3.7488e-002	-3.5857e-002
3.800000e+002	8.6850e-007	1.0120e-003	2.4925e-002	8.7680e-002	6.6312e-002	-5.8968e-002	7.7389e-003	2.7387e-002	-4.2012e-002	4.3501e-002	-3.8212e-002	3.0210e-002	-2.1801e-002
3.900000e+002	3.4468e-007	5.4426e-004	1.7182e-002	7.5030e-002	8.3489e-002	-3.9830e-002	-2.1477e-002	4.7464e-002	-4.8046e-002	3.7213e-002	-2.3151e-002	9.6889e-003	2.4189e-003
4.000000e+002	1.3558e-007	2.8867e-004	1.1584e-002	6.1787e-002	9.2543e-002	-1.4014e-002	-4.5836e-002	5.4455e-002	-3.8791e-002	1.7703e-002	8.9400e-004	-1.4877e-002	2.5561e-002
4.100000e+002	5.2892e-008	1.5117e-004	7.6560e-003	4.9251e-002	9.4380e-002	1.3881e-002	-6.0714e-002	4.7487e-002	-1.7942e-002	-7.7556e-003	2.4610e-002	-3.3519e-002	3.7813e-002
4.200000e+002	2.0477e-008	7.8246e-005	4.9698e-003	3.8165e-002	9.0558e-002	3.9967e-002	-6.4129e-002	2.9202e-002	7.9466e-003	-3.0748e-002	3.9694e-002	-3.9417e-002	3.4635e-002
4.300000e+002	7.8717e-009	4.0064e-005	3.1738e-003	2.8849e-002	8.2839e-002	6.1520e-002	-5.6520e-002	4.4505e-003	3.1738e-002	-4.4483e-002	4.1526e-002	-3.0995e-002	1.7911e-002
4.400000e+002	3.0058e-009	2.0308e-005	1.9966e-003	2.1330e-002	7.2871e-002	7.7076e-002	-4.0094e-002	-2.1216e-002	4.7656e-002	-4.5535e-002	3.0157e-002	-1.1806e-002	-5.5339e-003
4.500000e+002	1.1406e-009	1.0197e-005	1.2388e-003	1.5459e-002	6.2021e-002	8.6275e-002	-1.8015e-002	-4.2840e-002	5.2470e-002	-3.4287e-002	9.6525e-003	1.1307e-002	-2.6986e-002
4.600000e+002	4.3027e-010	5.0757e-006	7.5887e-004	1.1003e-002	5.1302e-002	8.9587e-002	6.3460e-003	-5.6914e-002	4.5803e-002	-1.4265e-002	-1.3638e-002	3.0823e-002	-3.9101e-002
4.700000e+002	1.6141e-010	2.5055e-006	4.5935e-004	7.7025e-003	4.1385e-002	8.7996e-002	2.9989e-002	-6.1726e-002	2.9734e-002	9.2139e-003	-3.3176e-002	4.0950e-002	-3.8217e-002
4.800000e+002	6.0229e-011	1.2272e-006	2.7497e-004	5.3106e-003	3.2647e-002	8.2723e-002	5.0622e-002	-5.7287e-002	7.9442e-003	3.0578e-002	-4.4013e-002	3.9130e-002	-2.5120e-002
4.900000e+002	2.2361e-011	5.9664e-007	1.6288e-004	3.6102e-003	2.5242e-002	7.5004e-002	6.6798e-002	-4.4966e-002	-1.5277e-002	4.5301e-002	-4.3846e-002	2.6375e-002	-4.3041e-003
5.000000e+002	8.2624e-012	2.8805e-007	9.5545e-005	2.4222e-003	1.9163e-002	6.5949e-002	7.7876e-002	-2.6988e-002	-3.5925e-002	5.0716e-002	-3.3234e-002	6.5592e-003	1.7784e-002
5.100000e+002	3.0390e-012	1.3815e-007	5.5528e-005	1.6054e-003	1.4306e-002	5.6462e-002	8.3888e-002	-5.9176e-003	-5.0930e-002	4.6283e-002	-1.5077e-002	-1.4938e-002	3.4817e-002
5.200000e+002	1.1129e-012	6.5834e-008	3.1989e-005	1.0518e-003	1.0517e-002	4.7215e-002	8.5349e-002	1.5767e-002	-5.8483e-002	3.3361e-002	6.3382e-003	-3.2766e-002	4.2328e-002
5.300000e+002	4.0584e-013	3.1184e-008	1.8276e-005	6.8176e-004	7.6213e-003	3.8660e-002	8.3068e-002	3.5979e-002	-5.8089e-002	1.4668e-002	2.6449e-002	-4.2886e-002	3.8703e-002
5.400000e+002	1.4740e-013	1.4686e-008	1.0359e-005	4.3741e-004	5.4501e-003	3.1058e-002	7.7974e-002	5.3192e-002	-5.0380e-002	-6.4157e-003	4.1382e-002	-4.3347e-002	2.5284e-002
5.500000e+002	5.3332e-014	6.8782e-009	5.8277e-006	2.7795e-004	3.8492e-003	2.4521e-002	7.0993e-002	6.6483e-002	-3.6815e-002	-2.6516e-002	4.8612e-002	-3.4462e-002	5.7095e-003
5.600000e+002	1.9224e-014	3.2043e-009	3.2550e-006	1.7501e-004	2.6870e-003	1.9053e-002	6.2955e-002	7.5493e-002	-1.9312e-002	-4.2796e-002	4.7246e-002	-1.8468e-002	-1.5202e-002
5.700000e+002	6.9050e-015	1.4852e-009	1.8056e-006	1.0925e-004	1.8552e-003	1.4587e-002	5.4545e-002	8.0319e-002	8.2331e-005	-5.3298e-002	3.7951e-002	1.1697e-003	-3.2691e-002
5.800000e+002	2.4716e-015	6.8501e-010	9.9500e-007	6.7633e-005	1.2676e-003	1.1016e-002	4.6289e-002	8.1394e-002	1.9469e-002	-5.7066e-002	2.2617e-002	2.0586e-002	-4.3105e-002
5.900000e+002	8.8175e-016	3.1446e-010	5.4487e-007	4.1542e-005	8.5770e-004	8.2131e-003	3.8554e-002	7.9354e-002	3.7283e-002	-5.4106e-002	3.8751e-003	3.6295e-002	-4.4554e-002
6.000000e+002	3.1355e-016	1.4370e-010	2.9657e-007	2.5324e-005	5.7494e-004	6.0502e-003	3.1567e-002	7.4926e-002	5.2389e-002	-4.5210e-002	-1.5419e-002	4.5761e-002	-3.7101e-002
6.100000e+002	1.1115e-016	6.5378e-011	1.6049e-007	1.5327e-005	3.8199e-004	4.4068e-003	2.5444e-002	6.8837e-002	6.4105e-002	-3.1712e-002	-3.2639e-002	4.7722e-002	-2.2530e-002
6.200000e+002	3.9285e-017	2.9619e-011	8.6360e-008	9.2122e-006	2.5165e-004	3.1757e-003	2.0213e-002	6.1754e-002	7.2168e-002	-1.5230e-002	-4.5717e-002	4.2222e-002	-3.8091e-003
6.300000e+002	1.3844e-017	1.3364e-011	4.6221e-008	5.5003e-006	1.6445e-004	2.2655e-003	1.5842e-002	5.4241e-002	7.6659e-002	2.5707e-003	-5.3338e-002	3.0438e-002	1.5584e-002
6.400000e+002	4.8648e-018	6.0056e-012	2.4609e-008	3.2632e-006	1.0664e-004	1.6007e-003	1.2260e-002	4.6745e-002	7.7914e-002	2.0167e-002	-5.4980e-002	1.4346e-002	3.2338e-002
6.500000e+002	1.7048e-018	2.6886e-012	1.3037e-008	1.9241e-006	6.8641e-005	1.1208e-003	9.3767e-003	3.9597e-002	7.6432e-002	3.6308e-002	-5.0849e-002	-3.6756e-003	4.3844e-002
6.600000e+002	5.9583e-019	1.1991e-012	6.8729e-009	1.1278e-006	4.3869e-005	7.7792e-004	7.0919e-003	3.3015e-002	7.2794e-002	5.0077e-002	-4.1730e-002	-2.1228e-002	4.8537e-002
6.700000e+002	2.0770e-019	5.3288e-013	3.6062e-009	6.5732e-007	2.7846e-005	5.3548e-004	5.3076e-003	2.7129e-002	6.7593e-002	6.0914e-002	-2.8799e-002	-3.6216e-002	4.6014e-002
6.800000e+002	7.2220e-020	2.3598e-013	1.8836e-009	3.8099e-007	1.7560e-005	3.6568e-004	3.9328e-003	2.1992e-002	6.1385e-002	6.8583e-002	-1.3427e-002	-4.7066e-002	3.6955e-002
6.900000e+002	2.5050e-020	1.0415e-013	9.7948e-010	2.1965e-007	1.1003e-005	2.4783e-004	2.8866e-003	1.7604e-002	5.4655e-002	7.3126e-002	2.9983e-003	-5.2842e-002	2.2881e-002
7.000000e+002	8.6679e-021	4.5810e-014	5.0716e-010	1.2598e-007	6.8528e-006	1.6674e-004	2.0996e-003	1.3926e-002	4.7802e-002	7.4793e-002	1.9207e-002	-5.3250e-002	5.8471e-003
