Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13	el Psi 14
2.600000e+002	1.6760e-001	-1.3556e-012	-9.3351e-002	-1.5136e-019	7.0229e-002	-5.9527e-002	5.3335e-002	-4.9203e-002	4.6162e-002	-4.3764e-002	4.1778e-002	-4.0072e-002	3.8568e-002	-3.7214e-002
2.700000e+002	1.8220e-001	-2.9428e-011	-5.9745e-002	-7.0563e-020	3.0515e-002	-1.7552e-002	9.7751e-003	-4.2706e-003	-1.4909e-005	3.5477e-003	-6.5663e-003	9.2071e-003	-1.1555e-002	1.3665e-002
2.800000e+002	1.4487e-001	-4.2003e-011	1.5474e-002	7.0479e-020	-3.6122e-002	4.2099e-002	-4.4594e-002	4.5745e-002	-4.6173e-002	4.6121e-002	-4.5714e-002	4.5027e-002	-4.4111e-002	4.3005e-002
2.900000e+002	9.9174e-002	-4.2009e-011	8.3433e-002	1.6737e-019	-7.9101e-002	6.8925e-002	-5.9790e-002	5.1708e-002	-4.4371e-002	3.7583e-002	-3.1234e-002	2.5263e-002	-1.9637e-002	1.4336e-002
3.000000e+002	6.2019e-002	-3.5485e-011	1.2425e-001	1.8348e-019	-8.1651e-002	5.1923e-002	-3.1064e-002	1.5313e-002	-2.8639e-003	-7.1991e-003	1.5396e-002	-2.2054e-002	2.7401e-002	-3.1609e-002
3.100000e+002	3.6425e-002	-2.7004e-011	1.3711e-001	1.2945e-019	-5.0657e-002	7.1110e-003	1.7366e-002	-3.2090e-002	4.0919e-002	-4.5761e-002	4.7722e-002	-4.7530e-002	4.5702e-002	-4.2633e-002
3.200000e+002	2.0408e-002	-1.9100e-011	1.2960e-001	3.5822e-020	-2.7272e-003	-4.0965e-002	5.6109e-002	-5.8879e-002	5.5319e-002	-4.8282e-002	3.9365e-002	-2.9571e-002	1.9568e-002	-9.8193e-003
3.300000e+002	1.1014e-002	-1.2782e-011	1.1083e-001	-6.6549e-020	4.5946e-002	-7.2761e-002	6.7015e-002	-5.1476e-002	3.3409e-002	-1.5755e-002	-1.2267e-004	1.3587e-002	-2.4384e-002	3.2485e-002
3.400000e+002	5.7645e-003	-8.1853e-012	8.8157e-002	-1.5611e-019	8.4464e-002	-7.9396e-002	4.8130e-002	-1.6837e-002	-8.7070e-003	2.7395e-002	-3.9520e-002	4.5868e-002	-4.7391e-002	4.5067e-002
3.500000e+002	2.9392e-003	-5.0541e-012	6.6290e-002	-2.2254e-019	1.0806e-001	-6.2099e-002	9.9879e-003	2.5963e-002	-4.5943e-002	5.3289e-002	-5.1458e-002	4.3465e-002	-3.1794e-002	1.8414e-002
3.600000e+002	1.4650e-003	-3.0253e-012	4.7621e-002	-2.6470e-019	1.1680e-001	-2.8513e-002	-3.1761e-002	5.7194e-002	-5.9230e-002	4.7700e-002	-2.9654e-002	9.8953e-003	8.4593e-003	-2.3550e-002
3.700000e+002	7.1569e-004	-1.7626e-012	3.2920e-002	-2.8729e-019	1.1357e-001	1.1552e-002	-6.3157e-002	6.4946e-002	-4.3719e-002	1.5604e-002	1.0555e-002	-3.0423e-002	4.2449e-002	-4.6759e-002
3.800000e+002	3.4336e-004	-1.0025e-012	2.2016e-002	-2.9781e-019	1.0233e-001	4.9362e-002	-7.5987e-002	4.8113e-002	-8.3501e-003	-2.4665e-002	4.4550e-002	-5.0966e-002	4.6367e-002	-3.4224e-002
3.900000e+002	1.6204e-004	-5.5807e-013	1.4300e-002	-3.0462e-019	8.6906e-002	7.8991e-002	-6.8723e-002	1.4488e-002	3.0565e-002	-5.2744e-002	5.3636e-002	-3.9887e-002	1.8806e-002	3.4610e-003
