Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
0.000000e+000	-6.40000000e+000	-9.80000000e+000	3.74757007e+007	-7.00000000e+000	1.8691e+008	1.0000e-010	0.0000e+000
1.000000e+001	-2.09242993e+000	-6.19242993e+000	1.17194813e+007	0.00000000e+000	1.2299e+021	1.0000e-010	-1.3848e+020
2.000000e+001	-9.20481800e-001	-5.02048180e+000	4.69359195e+006	0.00000000e+000	3.5915e+020	1.0000e-010	0.0000e+000
3.000000e+001	-4.51122605e-001	-4.55112261e+000	2.27520716e+006	0.00000000e+000	1.2362e+020	1.0000e-010	0.0000e+000
4.000000e+001	-2.23601889e-001	-4.32360189e+000	1.42028100e+006	0.00000000e+000	4.3703e+019	1.0000e-010	0.0000e+000
5.000000e+001	-8.15737886e-002	-4.18157379e+000	1.21254485e+006	0.00000000e+000	1.0619e+019	1.0000e-010	0.0000e+000
6.000000e+001	3.96806966e-002	-4.06031930e+000	1.20372475e+006	0.00000000e+000	4.5087e+017	1.0000e-010	0.0000e+000
7.000000e+001	-3.99946828e-001	-3.79994683e+000	1.84189475e+006	0.00000000e+000	1.0332e+020	1.0000e-010	1.3848e+020
8.000000e+001	-1.93357353e-001	-3.62135735e+000	1.06969192e+006	0.00000000e+000	3.5345e+019	1.0000e-010	-5.2547e+018
9.000000e+001	-6.39881612e-002	-3.51998816e+000	8.18554802e+005	0.00000000e+000	7.9377e+018	1.0000e-010	-5.2784e+018
1.000000e+002	4.02673191e-002	-3.44373268e+000	7.09671854e+005	0.00000000e+000	4.4141e+017	1.0000e-010	-5.3022e+018
1.100000e+002	1.33634504e-001	-3.37836550e+000	6.08304005e+005	0.00000000e+000	1.2771e+016	1.0000e-010	-5.3259e+018
1.200000e+002	2.16864905e-001	-3.32313510e+000	5.06502237e+005	0.00000000e+000	5.1053e+014	1.0000e-010	-5.3496e+018
1.300000e+002	2.89915129e-001	-3.27808487e+000	4.04039359e+005	0.00000000e+000	3.0257e+013	1.0000e-010	-5.3733e+018
1.400000e+002	3.52719065e-001	-3.24328094e+000	3.00904579e+005	0.00000000e+000	2.6654e+012	1.0000e-010	-5.3970e+018
1.500000e+002	4.05209523e-001	-3.21879048e+000	1.97095274e+005	0.00000000e+000	3.4992e+011	1.0000e-010	-5.4207e+018
1.600000e+002	4.47319050e-001	-3.20468095e+000	9.26092524e+004	0.00000000e+000	6.8637e+010	1.0000e-010	-5.4445e+018
1.700000e+002	4.78979975e-001	-3.20102002e+000	-1.25556484e+004	0.00000000e+000	2.0169e+010	1.0000e-010	-5.4682e+018
1.800000e+002	5.00124410e-001	-3.20787559e+000	-1.18401599e+005	0.00000000e+000	8.9016e+009	1.0000e-010	-5.4919e+018
