Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11
3.200000e+002	1.9472e-002	1.2945e-001	-5.7071e-003	-3.1661e-002	4.3127e-002	-4.5466e-002	4.4250e-002	-4.1627e-002	3.8513e-002	-3.5426e-002	3.3350e-002
3.300000e+002	1.0394e-002	1.1074e-001	4.0967e-002	-6.3877e-002	6.0222e-002	-5.0984e-002	4.1365e-002	-3.2709e-002	2.5274e-002	-1.9041e-002	1.4058e-002
3.400000e+002	5.3874e-003	8.8314e-002	7.8889e-002	-7.5385e-002	5.3019e-002	-3.2788e-002	1.7156e-002	-5.5385e-003	-2.9979e-003	9.2860e-003	-1.4470e-002
3.500000e+002	2.7247e-003	6.6739e-002	1.0337e-001	-6.5718e-002	2.6719e-002	-7.6017e-004	-1.5154e-002	2.4483e-002	-2.9616e-002	3.2191e-002	-3.4117e-002
3.600000e+002	1.3495e-003	4.8307e-002	1.1412e-001	-4.0049e-002	-8.2050e-003	3.1560e-002	-4.0875e-002	4.2818e-002	-4.1009e-002	3.7503e-002	-3.4104e-002
3.700000e+002	6.5633e-004	3.3740e-002	1.1345e-001	-5.9480e-003	-4.0751e-002	5.2785e-002	-5.0169e-002	4.2125e-002	-3.2670e-002	2.3554e-002	-1.5559e-002
3.800000e+002	3.1411e-004	2.2863e-002	1.0477e-001	2.9231e-002	-6.2681e-002	5.7006e-002	-4.0774e-002	2.3948e-002	-9.5700e-003	-1.8005e-003	1.0983e-002
3.900000e+002	1.4819e-004	1.5092e-002	9.1464e-002	5.9888e-002	-6.9944e-002	4.4372e-002	-1.7270e-002	-3.5339e-003	1.7600e-002	-2.6331e-002	3.2171e-002
4.000000e+002	6.9011e-005	9.7365e-003	7.6328e-002	8.2725e-002	-6.2527e-002	1.9690e-002	1.1792e-002	-2.9728e-002	3.7709e-002	-3.9445e-002	3.8452e-002
4.100000e+002	3.1763e-005	6.1544e-003	6.1356e-002	9.6594e-002	-4.3374e-002	-9.9018e-003	3.7321e-002	-4.5748e-002	4.3527e-002	-3.6329e-002	2.7767e-002
4.200000e+002	1.4462e-005	3.8196e-003	4.7774e-002	1.0197e-001	-1.6968e-002	-3.7227e-002	5.2428e-002	-4.7048e-002	3.3738e-002	-1.9011e-002	5.3997e-003
4.300000e+002	6.5198e-006	2.3315e-003	3.6183e-002	1.0032e-001	1.1952e-002	-5.6742e-002	5.3893e-002	-3.4106e-002	1.2497e-002	5.3771e-003	-1.9136e-002
4.400000e+002	2.9124e-006	1.4018e-003	2.6744e-002	9.3551e-002	3.9314e-002	-6.5359e-002	4.2295e-002	-1.1446e-002	-1.2765e-002	2.7861e-002	-3.6326e-002
4.500000e+002	1.2898e-006	8.3117e-004	1.9342e-002	8.3560e-002	6.2206e-002	-6.2516e-002	2.1150e-002	1.4283e-002	-3.4133e-002	4.0945e-002	-4.0177e-002
4.600000e+002	5.6670e-007	4.8655e-004	1.3717e-002	7.2008e-002	7.9003e-002	-4.9693e-002	-4.4360e-003	3.6406e-002	-4.5627e-002	4.0856e-002	-2.9906e-002
4.700000e+002	2.4712e-007	2.8144e-004	9.5559e-003	6.0181e-002	8.9233e-002	-2.9675e-002	-2.9157e-002	4.9877e-002	-4.4600e-002	2.8230e-002	-9.5675e-003
4.800000e+002	1.0700e-007	1.6100e-004	6.5496e-003	4.8970e-002	9.3302e-002	-5.7792e-003	-4.8598e-002	5.2196e-002	-3.1962e-002	7.3397e-003	1.3857e-002
4.900000e+002	4.6025e-008	9.1155e-005	4.4222e-003	3.8917e-002	9.2178e-002	1.8795e-002	-5.9890e-002	4.3543e-002	-1.1429e-002	-1.5602e-002	3.2997e-002
5.000000e+002	1.9672e-008	5.1108e-005	2.9447e-003	3.0279e-002	8.7096e-002	4.1403e-002	-6.1903e-002	2.6292e-002	1.1780e-002	-3.4383e-002	4.2356e-002
5.100000e+002	8.3578e-009	2.8393e-005	1.9356e-003	2.3111e-002	7.9337e-002	6.0186e-002	-5.5078e-002	4.1690e-003	3.2374e-002	-4.4414e-002	3.9674e-002
5.200000e+002	3.5307e-009	1.5638e-005	1.2571e-003	1.7335e-002	7.0061e-002	7.4108e-002	-4.1031e-002	-1.8678e-002	4.6155e-002	-4.3660e-002	2.6177e-002
5.300000e+002	1.4835e-009	8.5426e-006	8.0724e-004	1.2794e-002	6.0229e-002	8.2871e-002	-2.2061e-002	-3.8489e-002	5.0741e-002	-3.2791e-002	5.8357e-003
5.400000e+002	6.2008e-010	4.6303e-006	5.1289e-004	9.3043e-003	5.0563e-002	8.6754e-002	-6.8146e-004	-5.2459e-002	4.5759e-002	-1.4677e-002	-1.5969e-002
