Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
0.000000e+000	-6.40000000e+000	-9.80000000e+000	3.77116482e+007	-7.00000000e+000	1.8691e+008	1.0000e-010	0.0000e+000
1.000000e+001	-2.06883518e+000	-6.16883518e+000	1.23675086e+007	0.00000000e+000	1.2092e+021	1.0000e-010	-1.3848e+020
2.000000e+001	-8.32084318e-001	-4.93208432e+000	6.32761853e+006	0.00000000e+000	3.0875e+020	1.0000e-010	0.0000e+000
3.000000e+001	-7.59322465e-001	-4.15932247e+000	3.67090678e+006	0.00000000e+000	2.6922e+020	1.0000e-010	1.3848e+020
4.000000e+001	-3.67883961e-001	-3.79831874e+000	1.82639377e+006	0.00000000e+000	9.1234e+019	1.0000e-010	-5.7128e+018
5.000000e+001	-1.60896758e-001	-3.62176632e+000	1.20289838e+006	0.00000000e+000	2.7028e+019	1.0000e-010	-5.7408e+018
6.000000e+001	-1.62590938e-002	-3.50756344e+000	1.04151804e+006	0.00000000e+000	2.7469e+018	1.0000e-010	-5.7688e+018
7.000000e+001	1.12240537e-001	-3.40949859e+000	9.31232930e+005	0.00000000e+000	2.9217e+016	1.0000e-010	-5.7968e+018
8.000000e+001	2.29711656e-001	-3.32246226e+000	8.20710936e+005	0.00000000e+000	3.1060e+014	1.0000e-010	-5.8249e+018
9.000000e+001	3.36130576e-001	-3.24647812e+000	7.09402706e+005	0.00000000e+000	5.0634e+012	1.0000e-010	-5.8529e+018
1.000000e+002	4.31418672e-001	-3.18162481e+000	5.97299748e+005	0.00000000e+000	1.2696e+011	1.0000e-010	-5.8809e+018
1.100000e+002	5.15496473e-001	-3.12798179e+000	4.84399214e+005	0.00000000e+000	4.9117e+009	1.0000e-010	-5.9089e+018
1.200000e+002	5.88284221e-001	-3.08562882e+000	3.70698339e+005	0.00000000e+000	2.9407e+008	1.0000e-010	-5.9369e+018
