Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12
2.000000e+001	5.9202e-022	-3.9202e-021	7.2599e-021	-1.0154e-020	1.2795e-020	-1.5278e-020	1.7648e-020	-1.9935e-020	2.2155e-020	-2.4332e-020	2.6731e-020	-3.0746e-020
3.000000e+001	5.3035e-021	-3.2394e-020	5.8165e-020	-7.9954e-020	9.9567e-020	-1.1782e-019	1.3511e-019	-1.5169e-019	1.6771e-019	-1.8334e-019	2.0058e-019	-2.2981e-019
4.000000e+001	5.1701e-020	-2.9296e-019	5.1119e-019	-6.9153e-019	8.5175e-019	-9.9949e-019	1.1385e-018	-1.2711e-018	1.3985e-018	-1.5224e-018	1.6593e-018	-1.8942e-018
5.000000e+001	4.9867e-019	-2.6197e-018	4.4409e-018	-5.9114e-018	7.2008e-018	-8.3789e-018	9.4801e-018	-1.0524e-017	1.1522e-017	-1.2489e-017	1.3560e-017	-1.5423e-017
6.000000e+001	4.7465e-018	-2.3093e-017	3.8016e-017	-4.9781e-017	5.9960e-017	-6.9176e-017	7.7730e-017	-8.5791e-017	9.3466e-017	-1.0087e-016	1.0909e-016	-1.2362e-016
7.000000e+001	4.4510e-017	-2.0031e-016	3.2006e-016	-4.1217e-016	4.9080e-016	-5.6133e-016	6.2633e-016	-6.8724e-016	7.4495e-016	-8.0042e-016	8.6224e-016	-9.7337e-016
8.000000e+001	4.1050e-016	-1.7064e-015	2.6449e-015	-3.3487e-015	3.9412e-015	-4.4678e-015	4.9496e-015	-5.3985e-015	5.8217e-015	-6.2270e-015	6.6807e-015	-7.5127e-015
9.000000e+001	3.7166e-015	-1.4248e-014	2.1410e-014	-2.6640e-014	3.0981e-014	-3.4803e-014	3.8275e-014	-4.1491e-014	4.4509e-014	-4.7388e-014	5.0631e-014	-5.6711e-014
1.000000e+002	3.2969e-014	-1.1636e-013	1.6938e-013	-2.0704e-013	2.3785e-013	-2.6472e-013	2.8895e-013	-3.1127e-013	3.3211e-013	-3.5192e-013	3.7441e-013	-4.1767e-013
1.100000e+002	2.8598e-013	-9.2729e-013	1.3066e-012	-1.5681e-012	1.7791e-012	-1.9612e-012	2.1243e-012	-2.2737e-012	2.4124e-012	-2.5439e-012	2.6947e-012	-2.9935e-012
1.200000e+002	2.4203e-012	-7.1938e-012	9.8020e-012	-1.1545e-011	1.2930e-011	-1.4114e-011	1.5167e-011	-1.6126e-011	1.7012e-011	-1.7849e-011	1.8822e-011	-2.0820e-011
1.300000e+002	1.9938e-011	-5.4185e-011	7.1322e-011	-8.2393e-011	9.1049e-011	-9.8381e-011	1.0486e-010	-1.1072e-010	1.1612e-010	-1.2120e-010	1.2721e-010	-1.4008e-010
1.400000e+002	1.5948e-010	-3.9513e-010	5.0183e-010	-5.6819e-010	6.1924e-010	-6.6209e-010	6.9968e-010	-7.3355e-010	7.6459e-010	-7.9376e-010	8.2909e-010	-9.0879e-010
1.500000e+002	1.2352e-009	-2.7809e-009	3.4031e-009	-3.7735e-009	4.0537e-009	-4.2869e-009	4.4903e-009	-4.6728e-009	4.8394e-009	-4.9958e-009	5.1919e-009	-5.6636e-009
1.600000e+002	9.2360e-009	-1.8824e-008	2.2162e-008	-2.4044e-008	2.5444e-008	-2.6600e-008	2.7606e-008	-2.8505e-008	2.9324e-008	-3.0094e-008	3.1111e-008	-3.3766e-008
1.700000e+002	6.6451e-008	-1.2209e-007	1.3804e-007	-1.4637e-007	1.5247e-007	-1.5749e-007	1.6186e-007	-1.6577e-007	1.6934e-007	-1.7271e-007	1.7755e-007	-1.9168e-007
1.800000e+002	4.5837e-007	-7.5544e-007	8.1852e-007	-8.4730e-007	8.6802e-007	-8.8529e-007	9.0052e-007	-9.1435e-007	9.2709e-007	-9.3937e-007	9.6005e-007	-1.0306e-006
