Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11
2.000000e+001	6.0830e-023	-1.2809e-022	1.7132e-022	-2.0485e-022	2.3316e-022	-2.5811e-022	2.8066e-022	-3.0138e-022	3.2067e-022	-3.3959e-022	3.6728e-022
3.000000e+001	3.3102e-022	-6.4528e-022	8.3316e-022	-9.7402e-022	1.0904e-021	-1.1914e-021	1.2815e-021	-1.3634e-021	1.4390e-021	-1.5130e-021	1.6255e-021
4.000000e+001	2.2512e-021	-4.1181e-021	5.1658e-021	-5.9292e-021	6.5488e-021	-7.0793e-021	7.5478e-021	-7.9701e-021	8.3565e-021	-8.7353e-021	9.3349e-021
5.000000e+001	1.6496e-020	-2.8473e-020	3.4791e-020	-3.9273e-020	4.2851e-020	-4.5879e-020	4.8528e-020	-5.0897e-020	5.3050e-020	-5.5164e-020	5.8668e-020
6.000000e+001	1.2827e-019	-2.0966e-019	2.4999e-019	-2.7784e-019	2.9973e-019	-3.1804e-019	3.3393e-019	-3.4803e-019	3.6077e-019	-3.7333e-019	3.9527e-019
7.000000e+001	1.0477e-018	-1.6263e-018	1.8946e-018	-2.0750e-018	2.2146e-018	-2.3302e-018	2.4296e-018	-2.5172e-018	2.5959e-018	-2.6740e-018	2.8193e-018
8.000000e+001	8.9114e-018	-1.3165e-017	1.5000e-017	-1.6200e-017	1.7113e-017	-1.7862e-017	1.8500e-017	-1.9059e-017	1.9559e-017	-2.0059e-017	2.1065e-017
9.000000e+001	7.8306e-017	-1.1028e-016	1.2300e-016	-1.3105e-016	1.3709e-016	-1.4197e-016	1.4611e-016	-1.4971e-016	1.5290e-016	-1.5616e-016	1.6336e-016
1.000000e+002	7.0584e-016	-9.4888e-016	1.0365e-015	-1.0900e-015	1.1293e-015	-1.1608e-015	1.1872e-015	-1.2100e-015	1.2302e-015	-1.2513e-015	1.3041e-015
1.100000e+002	6.4832e-015	-8.3271e-015	8.9128e-015	-9.2527e-015	9.4970e-015	-9.6901e-015	9.8505e-015	-9.9881e-015	1.0109e-014	-1.0241e-014	1.0634e-014
