Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12
3.000000e+002	2.8533e-002	1.5029e-001	-3.8799e-002	2.3387e-003	1.2914e-002	-2.0239e-002	2.3977e-002	-2.5886e-002	2.6783e-002	-2.7112e-002	2.7445e-002	-2.9117e-002
3.100000e+002	1.3067e-002	1.3024e-001	1.9710e-002	-4.7318e-002	5.1470e-002	-4.9567e-002	4.5990e-002	-4.2092e-002	3.8330e-002	-3.4876e-002	3.2126e-002	-3.1089e-002
3.200000e+002	5.7422e-003	1.0105e-001	7.1888e-002	-7.5286e-002	6.1655e-002	-4.8110e-002	3.6870e-002	-2.7850e-002	2.0626e-002	-1.4815e-002	1.0180e-002	-6.3615e-003
3.300000e+002	2.4455e-003	7.2704e-002	1.0662e-001	-7.4659e-002	4.2695e-002	-2.0551e-002	5.6873e-003	4.3524e-003	-1.1198e-002	1.5901e-002	-1.9404e-002	2.3330e-002
3.400000e+002	1.0159e-003	4.9462e-002	1.2209e-001	-5.0300e-002	6.1985e-003	1.6886e-002	-2.8547e-002	3.4017e-002	-3.6050e-002	3.6165e-002	-3.5631e-002	3.6262e-002
3.500000e+002	4.1339e-004	3.2210e-002	1.2170e-001	-1.2508e-002	-3.2529e-002	4.7065e-002	-4.8917e-002	4.5582e-002	-4.0288e-002	3.4495e-002	-2.9141e-002	2.4989e-002
3.600000e+002	1.6533e-004	2.0242e-002	1.1073e-001	2.8087e-002	-6.0947e-002	5.9038e-002	-4.7634e-002	3.4851e-002	-2.3219e-002	1.3385e-002	-5.3248e-003	-1.8913e-003
3.700000e+002	6.5130e-005	1.2348e-002	9.4252e-002	6.3432e-002	-7.2313e-002	5.0370e-002	-2.7036e-002	8.3698e-003	5.2652e-003	-1.4770e-002	2.1460e-002	-2.7661e-002
3.800000e+002	2.5321e-005	7.3437e-003	7.6174e-002	8.8998e-002	-6.5814e-002	2.5740e-002	3.6402e-003	-2.1620e-002	3.1333e-002	-3.5634e-002	3.6985e-002	-3.8088e-002
3.900000e+002	9.7293e-006	4.2717e-003	5.9026e-002	1.0344e-001	-4.4980e-002	-6.2955e-003	3.3066e-002	-4.3178e-002	4.3937e-002	-3.9950e-002	3.4186e-002	-2.8504e-002
