Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
0.000000e+000	-6.40000000e+000	-9.80000000e+000	3.74659112e+007	-7.00000000e+000	1.8691e+008	1.0000e-010	0.0000e+000
1.000000e+001	-2.09340888e+000	-6.19340888e+000	1.16925450e+007	0.00000000e+000	1.2308e+021	1.0000e-010	-1.3848e+020
2.000000e+001	-9.24154374e-001	-5.02415437e+000	4.62462292e+006	0.00000000e+000	3.6130e+020	1.0000e-010	0.0000e+000
3.000000e+001	-4.61692082e-001	-4.56169208e+000	2.12123250e+006	0.00000000e+000	1.2797e+020	1.0000e-010	0.0000e+000
4.000000e+001	-2.49568832e-001	-4.34956883e+000	1.11653544e+006	0.00000000e+000	5.1359e+019	1.0000e-010	0.0000e+000
5.000000e+001	-1.37915288e-001	-4.23791529e+000	6.94234899e+005	0.00000000e+000	2.1587e+019	1.0000e-010	0.0000e+000
6.000000e+001	-6.84917980e-002	-4.16849180e+000	5.26235462e+005	0.00000000e+000	8.5879e+018	1.0000e-010	0.0000e+000
7.000000e+001	-1.58682518e-002	-4.11586825e+000	4.73068590e+005	0.00000000e+000	2.7178e+018	1.0000e-010	0.0000e+000
8.000000e+001	3.14386071e-002	-4.06856139e+000	4.61225355e+005	0.00000000e+000	6.0541e+017	1.0000e-010	0.0000e+000
9.000000e+001	7.75611427e-002	-4.02243886e+000	4.59076517e+005	0.00000000e+000	1.0985e+017	1.0000e-010	0.0000e+000
1.000000e+002	1.23468794e-001	-3.97653121e+000	4.58706325e+005	0.00000000e+000	1.8924e+016	1.0000e-010	0.0000e+000
1.100000e+002	1.69339427e-001	-3.93066057e+000	4.58643544e+005	0.00000000e+000	3.2093e+015	1.0000e-010	0.0000e+000
1.200000e+002	-3.44796219e-001	-3.74479622e+000	1.50615703e+006	0.00000000e+000	8.2855e+019	1.0000e-010	1.3848e+020
1.300000e+002	-1.71780516e-001	-3.59978052e+000	8.39779578e+005	0.00000000e+000	2.9777e+019	1.0000e-010	-5.2547e+018
1.400000e+002	-6.54025582e-002	-3.52140256e+000	5.84555024e+005	0.00000000e+000	8.1391e+018	1.0000e-010	-5.2784e+018
1.500000e+002	1.54529443e-002	-3.46854706e+000	4.63823141e+005	0.00000000e+000	1.0486e+018	1.0000e-010	-5.3022e+018
1.600000e+002	8.42352583e-002	-3.42776474e+000	3.60810385e+005	0.00000000e+000	8.5179e+016	1.0000e-010	-5.3259e+018
1.700000e+002	1.42716297e-001	-3.39728370e+000	2.58584390e+005	0.00000000e+000	8.9880e+015	1.0000e-010	-5.3496e+018
1.800000e+002	1.90974736e-001	-3.37702526e+000	1.55832825e+005	0.00000000e+000	1.3898e+015	1.0000e-010	-5.3733e+018
1.900000e+002	2.28958018e-001	-3.36704198e+000	5.24287510e+004	0.00000000e+000	3.1979e+014	1.0000e-010	-5.3970e+018
2.000000e+002	2.56600893e-001	-3.36739911e+000	-5.16464311e+004	0.00000000e+000	1.0977e+014	1.0000e-010	-5.4207e+018
2.100000e+002	2.73836250e-001	-3.37816375e+000	-1.56397872e+005	0.00000000e+000	5.6356e+013	1.0000e-010	-5.4445e+018
2.200000e+002	2.80596463e-001	-3.39940354e+000	-2.61828509e+005	0.00000000e+000	4.3389e+013	1.0000e-010	-5.4682e+018
2.300000e+002	2.76813612e-001	-3.43118639e+000	-3.67940893e+005	0.00000000e+000	5.0226e+013	1.0000e-010	-5.4919e+018
2.400000e+002	2.62419523e-001	-3.47358048e+000	-4.74737796e+005	0.00000000e+000	8.7647e+013	1.0000e-010	-5.5156e+018
2.500000e+002	2.37345743e-001	-3.52665426e+000	-5.82223457e+005	0.00000000e+000	2.3118e+014	1.0000e-010	-5.5393e+018
2.600000e+002	-1.12076602e-001	-3.51207660e+000	4.54939837e+005	0.00000000e+000	1.6128e+019	1.0000e-010	7.0161e+019
2.700000e+002	-6.65826187e-002	-3.46658262e+000	2.96671604e+005	0.00000000e+000	8.3091e+018	1.0000e-010	0.0000e+000
2.800000e+002	-3.69154583e-002	-3.43691546e+000	2.09110312e+005	0.00000000e+000	4.5970e+018	1.0000e-010	0.0000e+000
2.900000e+002	-1.60044270e-002	-3.41600443e+000	1.57150306e+005	0.00000000e+000	2.7279e+018	1.0000e-010	0.0000e+000
3.000000e+002	-2.89396417e-004	-3.40028940e+000	1.24140155e+005	0.00000000e+000	1.7330e+018	1.0000e-010	0.0000e+000
3.100000e+002	1.21246191e-002	-3.38787538e+000	1.01849436e+005	0.00000000e+000	1.1703e+018	1.0000e-010	0.0000e+000
3.200000e+002	2.23095627e-002	-3.37769044e+000	8.60035497e+004	0.00000000e+000	8.3191e+017	1.0000e-010	0.0000e+000
3.300000e+002	3.09099176e-002	-3.36909008e+000	7.42546415e+004	0.00000000e+000	6.1682e+017	1.0000e-010	0.0000e+000
3.400000e+002	3.83353818e-002	-3.36166462e+000	6.52394869e+004	0.00000000e+000	4.7330e+017	1.0000e-010	0.0000e+000
3.500000e+002	4.48593305e-002	-3.35514067e+000	5.81251665e+004	0.00000000e+000	3.7350e+017	1.0000e-010	0.0000e+000
3.600000e+002	5.06718471e-002	-3.34932815e+000	5.23793360e+004	0.00000000e+000	3.0166e+017	1.0000e-010	0.0000e+000
3.700000e+002	5.59097807e-002	-3.34409022e+000	4.76481841e+004	0.00000000e+000	2.4839e+017	1.0000e-010	0.0000e+000
3.800000e+002	6.06745991e-002	-3.33932540e+000	4.36884671e+004	0.00000000e+000	2.0789e+017	1.0000e-010	0.0000e+000
3.900000e+002	6.50434458e-002	-3.33495655e+000	4.03279880e+004	0.00000000e+000	1.7643e+017	1.0000e-010	0.0000e+000
4.000000e+002	6.90762446e-002	-3.33092376e+000	3.74417042e+004	0.00000000e+000	1.5153e+017	1.0000e-010	0.0000e+000
4.100000e+002	7.28204150e-002	-3.32717958e+000	3.49367746e+004	0.00000000e+000	1.3151e+017	1.0000e-010	0.0000e+000
4.200000e+002	7.63140925e-002	-3.32368591e+000	3.27429081e+004	0.00000000e+000	1.1518e+017	1.0000e-010	0.0000e+000
4.300000e+002	7.95883833e-002	-3.32041162e+000	3.08059604e+004	0.00000000e+000	1.0169e+017	1.0000e-010	0.0000e+000
4.400000e+002	8.26689793e-002	-3.31733102e+000	2.90835804e+004	0.00000000e+000	9.0425e+016	1.0000e-010	0.0000e+000
4.500000e+002	8.55773374e-002	-3.31442266e+000	2.75421848e+004	0.00000000e+000	8.0924e+016	1.0000e-010	0.0000e+000
4.600000e+002	8.83315559e-002	-3.31166844e+000	2.61548131e+004	0.00000000e+000	7.2837e+016	1.0000e-010	0.0000e+000
4.700000e+002	9.09470372e-002	-3.30905296e+000	2.48995799e+004	0.00000000e+000	6.5900e+016	1.0000e-010	0.0000e+000
4.800000e+002	9.34369952e-002	-3.30656300e+000	2.37585398e+004	0.00000000e+000	5.9905e+016	1.0000e-010	0.0000e+000
4.900000e+002	9.58128492e-002	-3.30418715e+000	2.27168427e+004	0.00000000e+000	5.4689e+016	1.0000e-010	0.0000e+000
5.000000e+002	9.80845334e-002	-3.30191547e+000	2.17620964e+004	0.00000000e+000	5.0124e+016	1.0000e-010	0.0000e+000
5.100000e+002	1.00260743e-001	-3.29973926e+000	2.08838805e+004	0.00000000e+000	4.6106e+016	1.0000e-010	0.0000e+000
5.200000e+002	1.02349131e-001	-3.29765087e+000	2.00733701e+004	0.00000000e+000	4.2552e+016	1.0000e-010	0.0000e+000
5.300000e+002	1.04356468e-001	-3.29564353e+000	1.93184202e+004	0.00000000e+000	3.9635e+016	1.0000e-010	0.0000e+000
5.400000e+002	1.06288310e-001	-3.29371169e+000	1.86178291e+004	0.00000000e+000	3.6781e+016	1.0000e-010	0.0000e+000
5.500000e+002	1.08150093e-001	-3.29184991e+000	1.79659186e+004	0.00000000e+000	3.4225e+016	1.0000e-010	0.0000e+000
5.600000e+002	1.09946685e-001	-3.29005332e+000	1.73577744e+004	0.00000000e+000	3.1928e+016	1.0000e-010	0.0000e+000
5.700000e+002	1.11682462e-001	-3.28831754e+000	1.67891221e+004	0.00000000e+000	2.9854e+016	1.0000e-010	0.0000e+000
5.800000e+002	1.13361375e-001	-3.28663863e+000	1.62562263e+004	0.00000000e+000	2.7977e+016	1.0000e-010	0.0000e+000
5.900000e+002	1.14986997e-001	-3.28501300e+000	1.57558082e+004	0.00000000e+000	2.6272e+016	1.0000e-010	0.0000e+000
6.000000e+002	1.16562578e-001	-3.28343742e+000	1.52849778e+004	0.00000000e+000	2.4719e+016	1.0000e-010	0.0000e+000
6.100000e+002	1.18091076e-001	-3.28190892e+000	1.48411784e+004	0.00000000e+000	2.3300e+016	1.0000e-010	0.0000e+000
6.200000e+002	1.19575194e-001	-3.28042481e+000	1.44221391e+004	0.00000000e+000	2.2000e+016	1.0000e-010	0.0000e+000
6.300000e+002	1.21017408e-001	-3.27898259e+000	1.40258369e+004	0.00000000e+000	2.0806e+016	1.0000e-010	0.0000e+000
6.400000e+002	1.22419991e-001	-3.27758001e+000	1.36504629e+004	0.00000000e+000	1.9707e+016	1.0000e-010	0.0000e+000
6.500000e+002	1.23785038e-001	-3.27621496e+000	1.32943953e+004	0.00000000e+000	1.8694e+016	1.0000e-010	0.0000e+000
6.600000e+002	1.25114477e-001	-3.27488552e+000	1.29561757e+004	0.00000000e+000	1.7757e+016	1.0000e-010	0.0000e+000
6.700000e+002	1.26410095e-001	-3.27358991e+000	1.26344888e+004	0.00000000e+000	1.6889e+016	1.0000e-010	0.0000e+000
6.800000e+002	1.27673544e-001	-3.27232646e+000	1.23281455e+004	0.00000000e+000	1.6083e+016	1.0000e-010	0.0000e+000
6.900000e+002	1.28906358e-001	-3.27109364e+000	1.20360681e+004	0.00000000e+000	1.5334e+016	1.0000e-010	0.0000e+000
7.000000e+002	1.30109965e-001	-3.26989004e+000	1.17572775e+004	0.00000000e+000	1.4637e+016	1.0000e-010	0.0000e+000
7.100000e+002	1.31285693e-001	-3.26871431e+000	1.14908820e+004	0.00000000e+000	1.3986e+016	1.0000e-010	0.0000e+000
7.200000e+002	1.32434781e-001	-3.26756522e+000	1.12360681e+004	0.00000000e+000	1.3378e+016	1.0000e-010	0.0000e+000
7.300000e+002	1.33558388e-001	-3.26644161e+000	1.09920920e+004	0.00000000e+000	1.2809e+016	1.0000e-010	0.0000e+000
7.400000e+002	1.34657597e-001	-3.26534240e+000	1.07582721e+004	0.00000000e+000	1.2276e+016	1.0000e-010	0.0000e+000
7.500000e+002	1.35733424e-001	-3.26426658e+000	1.05339830e+004	0.00000000e+000	1.1775e+016	1.0000e-010	0.0000e+000
7.600000e+002	1.36786822e-001	-3.26321318e+000	1.03186493e+004	0.00000000e+000	1.1305e+016	1.0000e-010	0.0000e+000
7.700000e+002	1.37818687e-001	-3.26218131e+000	1.01117413e+004	0.00000000e+000	1.0863e+016	1.0000e-010	0.0000e+000
7.800000e+002	1.38829861e-001	-3.26117014e+000	9.91277000e+003	0.00000000e+000	1.0446e+016	1.0000e-010	0.0000e+000
7.900000e+002	1.39821138e-001	-3.26017886e+000	9.72128372e+003	0.00000000e+000	1.0053e+016	1.0000e-010	0.0000e+000
8.000000e+002	1.40793267e-001	-3.25920673e+000	9.53686432e+003	0.00000000e+000	9.6820e+015	1.0000e-010	0.0000e+000
8.100000e+002	1.41746953e-001	-3.25825305e+000	9.35912423e+003	0.00000000e+000	9.3314e+015	1.0000e-010	0.0000e+000
8.200000e+002	1.42682866e-001	-3.25731713e+000	9.18770374e+003	0.00000000e+000	8.9996e+015	1.0000e-010	0.0000e+000
8.300000e+002	1.43601636e-001	-3.25639836e+000	9.02226848e+003	0.00000000e+000	8.6854e+015	1.0000e-010	0.0000e+000
8.400000e+002	1.44503863e-001	-3.25549614e+000	8.86250728e+003	0.00000000e+000	8.3875e+015	1.0000e-010	0.0000e+000
8.500000e+002	1.45390114e-001	-3.25460989e+000	8.70813015e+003	0.00000000e+000	8.1048e+015	1.0000e-010	0.0000e+000
8.600000e+002	1.46260927e-001	-3.25373907e+000	8.55886654e+003	0.00000000e+000	7.8364e+015	1.0000e-010	0.0000e+000
8.700000e+002	1.47116813e-001	-3.25288319e+000	8.41446372e+003	0.00000000e+000	7.5812e+015	1.0000e-010	0.0000e+000
8.800000e+002	1.47958260e-001	-3.25204174e+000	8.27468535e+003	0.00000000e+000	7.3384e+015	1.0000e-010	0.0000e+000
8.900000e+002	1.48785728e-001	-3.25121427e+000	8.13931014e+003	0.00000000e+000	7.1072e+015	1.0000e-010	0.0000e+000
9.000000e+002	1.49599659e-001	-3.25040034e+000	8.00813073e+003	0.00000000e+000	6.8869e+015	1.0000e-010	0.0000e+000
9.100000e+002	1.50400472e-001	-3.24959953e+000	7.88095255e+003	0.00000000e+000	6.6769e+015	1.0000e-010	0.0000e+000
9.200000e+002	1.51188568e-001	-3.24881143e+000	7.75759289e+003	0.00000000e+000	6.4764e+015	1.0000e-010	0.0000e+000
9.300000e+002	1.51964327e-001	-3.24803567e+000	7.63787997e+003	0.00000000e+000	6.2849e+015	1.0000e-010	0.0000e+000
9.400000e+002	1.52728115e-001	-3.24727189e+000	7.52165220e+003	0.00000000e+000	6.1020e+015	1.0000e-010	0.0000e+000
9.500000e+002	1.53480280e-001	-3.24651972e+000	7.40875736e+003	0.00000000e+000	5.9270e+015	1.0000e-010	0.0000e+000
9.600000e+002	1.54221156e-001	-3.24577884e+000	7.29905198e+003	0.00000000e+000	5.7596e+015	1.0000e-010	0.0000e+000
9.700000e+002	1.54951061e-001	-3.24504894e+000	7.19240071e+003	0.00000000e+000	5.5992e+015	1.0000e-010	0.0000e+000
9.800000e+002	1.55670301e-001	-3.24432970e+000	7.08867573e+003	0.00000000e+000	5.4456e+015	1.0000e-010	0.0000e+000
9.900000e+002	1.56379169e-001	-3.24362083e+000	6.98775628e+003	0.00000000e+000	5.2983e+015	1.0000e-010	0.0000e+000
1.000000e+003	1.57077944e-001	-3.24292206e+000	6.88952812e+003	0.00000000e+000	5.1570e+015	1.0000e-010	0.0000e+000
1.010000e+003	1.57766897e-001	-3.24223310e+000	6.79388317e+003	0.00000000e+000	5.0214e+015	1.0000e-010	0.0000e+000
