Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12
3.000000e+002	3.9387e-003	7.6963e-002	1.0307e-001	-7.7653e-002	4.9637e-002	-2.9145e-002	1.4649e-002	-4.3153e-003	-3.1423e-003	8.5797e-003	-1.2613e-002	1.6113e-002
3.100000e+002	1.7501e-003	5.1997e-002	1.2239e-001	-5.7311e-002	1.5422e-002	8.0285e-003	-2.1034e-002	2.8095e-002	-3.1663e-002	3.3125e-002	-3.3389e-002	3.3747e-002
3.200000e+002	7.5901e-004	3.3540e-002	1.2426e-001	-2.0664e-002	-2.4644e-002	4.1587e-002	-4.6058e-002	4.4952e-002	-4.1388e-002	3.6849e-002	-3.2145e-002	2.8163e-002
3.300000e+002	3.2257e-004	2.0845e-002	1.1419e-001	2.0899e-002	-5.6509e-002	5.8360e-002	-4.9890e-002	3.9018e-002	-2.8472e-002	1.9130e-002	-1.1199e-002	4.5149e-003
3.400000e+002	1.3474e-004	1.2561e-002	9.7720e-002	5.8323e-002	-7.1825e-002	5.3904e-002	-3.2757e-002	1.4859e-002	-1.1167e-003	-8.9583e-003	1.6164e-002	-2.1849e-002
3.500000e+002	5.5439e-005	7.3736e-003	7.9164e-002	8.6231e-002	-6.8610e-002	3.1719e-002	-2.9990e-003	-1.5724e-002	2.6766e-002	-3.2503e-002	3.4828e-002	-3.5831e-002
3.600000e+002	2.2509e-005	4.2314e-003	6.1368e-002	1.0273e-001	-4.9812e-002	8.1002e-005	2.7822e-002	-3.9995e-002	4.2834e-002	-4.0566e-002	3.5823e-002	-3.0615e-002
3.700000e+002	9.0312e-006	2.3804e-003	4.5863e-002	1.0849e-001	-2.1081e-002	-3.1579e-002	4.9551e-002	-4.9322e-002	4.1182e-002	-3.0432e-002	1.9640e-002	-9.8452e-003
3.800000e+002	3.5849e-006	1.3156e-003	3.3224e-002	1.0564e-001	1.1322e-002	-5.5499e-002	5.6336e-002	-4.1462e-002	2.3531e-002	-7.4123e-003	-5.4678e-003	1.5679e-002
3.900000e+002	1.4091e-006	7.1564e-004	2.3428e-002	9.6835e-002	4.2013e-002	-6.7093e-002	4.7428e-002	-2.0107e-002	-2.7207e-003	1.8575e-002	-2.8217e-002	3.3993e-002
4.000000e+002	5.4897e-007	3.8371e-004	1.6132e-002	8.4629e-002	6.7244e-002	-6.5211e-002	2.6314e-002	7.3646e-003	-2.8035e-002	3.7519e-002	-3.9393e-002	3.7397e-002
4.100000e+002	2.1211e-007	2.0305e-004	1.0875e-002	7.1115e-002	8.5059e-002	-5.1513e-002	-1.0543e-003	3.2741e-002	-4.4251e-002	4.2976e-002	-3.5188e-002	2.5133e-002
4.200000e+002	8.1327e-008	1.0615e-004	7.1935e-003	5.7808e-002	9.5053e-002	-2.9427e-002	-2.8191e-002	4.9401e-002	-4.6914e-002	3.3772e-002	-1.7889e-002	2.8001e-003
4.300000e+002	3.0961e-008	5.4882e-005	4.6768e-003	4.5661e-002	9.7941e-002	-3.0551e-003	-4.9629e-002	5.3759e-002	-3.6018e-002	1.3627e-002	5.7591e-003	-2.0606e-002
4.400000e+002	1.1708e-008	2.8082e-005	2.9929e-003	3.5167e-002	9.5088e-002	2.3713e-002	-6.1836e-002	4.5598e-002	-1.5291e-002	-1.0712e-002	2.7456e-002	-3.6444e-002
4.500000e+002	4.3999e-009	1.4230e-005	1.8878e-003	2.6484e-002	8.8110e-002	4.7771e-002	-6.3485e-002	2.7514e-002	9.3752e-003	-3.1917e-002	4.0270e-002	-3.9452e-002
4.600000e+002	1.6437e-009	7.1461e-006	1.1749e-003	1.9546e-002	7.8582e-002	6.7059e-002	-5.5208e-002	3.8376e-003	3.1761e-002	-4.4245e-002	4.0636e-002	-2.9140e-002
4.700000e+002	6.1066e-010	3.5582e-006	7.2214e-004	1.4163e-002	6.7855e-002	8.0570e-002	-3.9057e-002	-2.0566e-002	4.6856e-002	-4.4872e-002	2.8997e-002	-9.3891e-003
4.800000e+002	2.2566e-010	1.7576e-006	4.3874e-004	1.0092e-002	5.6976e-002	8.8190e-002	-1.7844e-002	-4.1339e-002	5.1806e-002	-3.4217e-002	9.1689e-003	1.3281e-002
4.900000e+002	8.2974e-011	8.6162e-007	2.6368e-004	7.0810e-003	4.6679e-002	9.0456e-002	5.4602e-003	-5.5331e-002	4.6183e-002	-1.5385e-002	-1.3134e-002	3.1987e-002
5.000000e+002	3.0363e-011	4.1937e-007	1.5686e-004	4.8978e-003	3.7412e-002	8.8307e-002	2.8189e-002	-6.0902e-002	3.1683e-002	6.9420e-003	-3.2048e-002	4.1526e-002
5.100000e+002	1.1060e-011	2.0273e-007	9.2422e-005	3.3431e-003	2.9398e-002	8.2853e-002	4.8271e-002	-5.7898e-002	1.1453e-002	2.7771e-002	-4.3055e-002	3.9637e-002
5.200000e+002	4.0113e-012	9.7372e-008	5.3962e-005	2.2537e-003	2.2688e-002	7.5201e-002	6.4346e-002	-4.7374e-002	-1.0722e-002	4.2912e-002	-4.3910e-002	2.7272e-002
5.300000e+002	1.4488e-012	4.6480e-008	3.1236e-005	1.5018e-003	1.7222e-002	6.6344e-002	7.5756e-002	-3.1194e-002	-3.1188e-002	4.9714e-002	-3.4872e-002	7.9854e-003
5.400000e+002	5.2116e-013	2.2056e-008	1.7934e-005	9.8987e-004	1.2876e-002	5.7093e-002	8.2437e-002	-1.1605e-002	-4.6997e-002	4.7357e-002	-1.8330e-002	-1.3247e-002
5.500000e+002	1.8676e-013	1.0407e-008	1.0217e-005	6.4575e-004	9.4914e-003	4.8060e-002	8.4775e-002	9.1396e-003	-5.6246e-002	3.6737e-002	1.9787e-003	-3.1380e-002
5.600000e+002	6.6676e-014	4.8842e-009	5.7776e-006	4.1717e-004	6.9050e-003	3.9660e-002	8.3443e-002	2.9060e-002	-5.8170e-002	2.0051e-002	2.1899e-002	-4.2466e-002
5.700000e+002	2.3720e-014	2.2803e-009	3.2441e-006	2.6703e-004	4.9618e-003	3.2144e-002	7.9255e-002	4.6624e-002	-5.3049e-002	2.3650e-004	3.7724e-002	-4.4400e-002
5.800000e+002	8.4096e-015	1.0593e-009	1.8092e-006	1.6943e-004	3.5244e-003	2.5625e-002	7.3051e-002	6.0816e-002	-4.1967e-002	-1.9613e-002	4.6826e-002	-3.7155e-002
5.900000e+002	2.9716e-015	4.8975e-010	1.0025e-006	1.0660e-004	2.4763e-003	2.0120e-002	6.5609e-002	7.1126e-002	-2.6527e-002	-3.6741e-002	4.7980e-002	-2.2545e-002
