Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12
2.000000e+001	1.2629e-022	-6.7458e-022	1.1267e-021	-1.4776e-021	1.7763e-021	-2.0427e-021	2.2867e-021	-2.5138e-021	2.7276e-021	-2.9317e-021	3.1577e-021	-3.5631e-021
3.000000e+001	1.1358e-021	-5.5942e-021	9.0587e-021	-1.1676e-020	1.3871e-020	-1.5809e-020	1.7569e-020	-1.9197e-020	2.0721e-020	-2.2169e-020	2.3781e-020	-2.6729e-020
4.000000e+001	1.1128e-020	-5.0838e-020	7.9996e-020	-1.0148e-019	1.1924e-019	-1.3477e-019	1.4878e-019	-1.6165e-019	1.7365e-019	-1.8500e-019	1.9770e-019	-2.2141e-019
5.000000e+001	1.0805e-019	-4.5761e-019	6.9959e-019	-8.7329e-019	1.0149e-018	-1.1375e-018	1.2473e-018	-1.3476e-018	1.4406e-018	-1.5283e-018	1.6269e-018	-1.8154e-018
6.000000e+001	1.0373e-018	-4.0688e-018	6.0412e-018	-7.4192e-018	8.5263e-018	-9.4757e-018	1.0319e-017	-1.1086e-017	1.1792e-017	-1.2456e-017	1.3209e-017	-1.4686e-017
7.000000e+001	9.8317e-018	-3.5681e-017	5.1430e-017	-6.2124e-017	7.0588e-017	-7.7775e-017	8.4114e-017	-8.9837e-017	9.5086e-017	-1.0000e-016	1.0563e-016	-1.1700e-016
8.000000e+001	9.1867e-017	-3.0810e-016	4.3090e-016	-5.1183e-016	5.7489e-016	-6.2789e-016	6.7428e-016	-7.1592e-016	7.5391e-016	-7.8936e-016	8.3048e-016	-9.1634e-016
9.000000e+001	8.4493e-016	-2.6151e-015	3.5470e-015	-4.1416e-015	4.5975e-015	-4.9767e-015	5.3061e-015	-5.5999e-015	5.8666e-015	-6.1146e-015	6.4070e-015	-7.0420e-015
1.000000e+002	7.6370e-015	-2.1781e-014	2.8633e-014	-3.2853e-014	3.6035e-014	-3.8653e-014	4.0909e-014	-4.2909e-014	4.4716e-014	-4.6390e-014	4.8407e-014	-5.2993e-014
1.100000e+002	6.7720e-014	-1.7768e-013	2.2622e-013	-2.5497e-013	2.7624e-013	-2.9356e-013	3.0837e-013	-3.2142e-013	3.3314e-013	-3.4397e-013	3.5740e-013	-3.8967e-013
1.200000e+002	5.8808e-013	-1.4167e-012	1.7457e-012	-1.9318e-012	2.0668e-012	-2.1755e-012	2.2677e-012	-2.3484e-012	2.4205e-012	-2.4871e-012	2.5729e-012	-2.7935e-012
1.300000e+002	4.9916e-012	-1.1018e-011	1.3128e-011	-1.4256e-011	1.5057e-011	-1.5693e-011	1.6229e-011	-1.6696e-011	1.7110e-011	-1.7493e-011	1.8015e-011	-1.9476e-011
1.400000e+002	4.1329e-011	-8.3390e-011	9.5979e-011	-1.0223e-010	1.0654e-010	-1.0992e-010	1.1275e-010	-1.1520e-010	1.1737e-010	-1.1937e-010	1.2236e-010	-1.3170e-010
1.500000e+002	3.3307e-010	-6.1266e-010	6.8044e-010	-7.1039e-010	7.3023e-010	-7.4556e-010	7.5829e-010	-7.6927e-010	7.7897e-010	-7.8803e-010	8.0393e-010	-8.6131e-010
1.600000e+002	2.6064e-009	-4.3578e-009	4.6645e-009	-4.7699e-009	4.8336e-009	-4.8817e-009	4.9217e-009	-4.9564e-009	4.9872e-009	-5.0172e-009	5.0929e-009	-5.4304e-009
1.700000e+002	1.9756e-008	-2.9922e-008	3.0823e-008	-3.0848e-008	3.0799e-008	-3.0756e-008	3.0726e-008	-3.0706e-008	3.0693e-008	-3.0699e-008	3.1001e-008	-3.2892e-008
1.800000e+002	1.4463e-007	-1.9768e-007	1.9567e-007	-1.9147e-007	1.8823e-007	-1.8576e-007	1.8381e-007	-1.8223e-007	1.8090e-007	-1.7984e-007	1.8062e-007	-1.9064e-007
1.900000e+002	1.0196e-006	-1.2522e-006	1.1887e-006	-1.1362e-006	1.0989e-006	-1.0711e-006	1.0493e-006	-1.0315e-006	1.0166e-006	-1.0042e-006	1.0028e-006	-1.0526e-006
2.000000e+002	6.8978e-006	-7.5740e-006	6.8817e-006	-6.4165e-006	6.1006e-006	-5.8689e-006	5.6889e-006	-5.5430e-006	5.4211e-006	-5.3190e-006	5.2795e-006	-5.5098e-006
2.100000e+002	4.4616e-005	-4.3551e-005	3.7779e-005	-3.4313e-005	3.2037e-005	-3.0395e-005	2.9133e-005	-2.8119e-005	2.7277e-005	-2.6572e-005	2.6205e-005	-2.7180e-005
2.200000e+002	2.7473e-004	-2.3683e-004	1.9558e-004	-1.7274e-004	1.5819e-004	-1.4787e-004	1.4004e-004	-1.3380e-004	1.2867e-004	-1.2438e-004	1.2182e-004	-1.2551e-004
2.300000e+002	1.6029e-003	-1.2107e-003	9.4854e-004	-8.1303e-004	7.2918e-004	-6.7083e-004	6.2711e-004	-5.9268e-004	5.6457e-004	-5.4124e-004	5.2613e-004	-5.3822e-004
2.400000e+002	8.8110e-003	-5.7777e-003	4.2768e-003	-3.5487e-003	3.1115e-003	-2.8132e-003	2.5929e-003	-2.4215e-003	2.2830e-003	-2.1689e-003	2.0911e-003	-2.1224e-003
2.500000e+002	4.5341e-002	-2.5525e-002	1.7760e-002	-1.4222e-002	1.2163e-002	-1.0789e-002	9.7902e-003	-9.0233e-003	8.4106e-003	-7.9098e-003	7.5571e-003	-7.6036e-003
2.600000e+002	2.1673e-001	-1.0331e-001	6.7133e-002	-5.1673e-002	4.2985e-002	-3.7318e-002	3.3276e-002	-3.0218e-002	2.7805e-002	-2.5853e-002	2.4448e-002	-2.4355e-002
2.700000e+002	1.8357e-001	-1.1217e-002	-1.0860e-002	1.6030e-002	-1.7673e-002	1.8185e-002	-1.8248e-002	1.8110e-002	-1.7878e-002	1.7610e-002	-1.7487e-002	1.8214e-002
2.800000e+002	1.1241e-001	9.1053e-002	-7.6250e-002	6.2923e-002	-5.3741e-002	4.7112e-002	-4.2082e-002	3.8115e-002	-3.4890e-002	3.2220e-002	-3.0229e-002	2.9840e-002
2.900000e+002	5.9363e-002	1.4420e-001	-8.1224e-002	5.1289e-002	-3.4815e-002	2.4530e-002	-1.7552e-002	1.2541e-002	-8.7917e-003	5.9001e-003	-3.6332e-003	1.7564e-003
3.000000e+002	2.8710e-002	1.5073e-001	-3.9399e-002	3.0360e-003	1.2211e-002	-1.9569e-002	2.3357e-002	-2.5319e-002	2.6269e-002	-2.6640e-002	2.6905e-002	-2.8285e-002
3.100000e+002	1.3098e-002	1.3063e-001	1.9349e-002	-4.6939e-002	5.1172e-002	-4.9372e-002	4.5896e-002	-4.2087e-002	3.8402e-002	-3.5004e-002	3.2192e-002	-3.0948e-002
3.200000e+002	5.7321e-003	1.0125e-001	7.1831e-002	-7.5245e-002	6.1741e-002	-4.8325e-002	3.7188e-002	-2.8244e-002	2.1076e-002	-1.5299e-002	1.0669e-002	-6.9247e-003
3.300000e+002	2.4308e-003	7.2738e-002	1.0676e-001	-7.4798e-002	4.2966e-002	-2.0925e-002	6.1202e-003	3.8962e-003	-1.0742e-002	1.5456e-002	-1.8891e-002	2.2518e-002
3.400000e+002	1.0054e-003	4.9401e-002	1.2229e-001	-5.0451e-002	6.4587e-003	1.6576e-002	-2.8245e-002	3.3756e-002	-3.5846e-002	3.6014e-002	-3.5403e-002	3.5745e-002
3.500000e+002	4.0735e-004	3.2110e-002	1.2187e-001	-1.2571e-002	-3.2383e-002	4.6925e-002	-4.8843e-002	4.5592e-002	-4.0384e-002	3.4660e-002	-2.9278e-002	2.5062e-002
3.600000e+002	1.6220e-004	2.0140e-002	1.1082e-001	2.8138e-002	-6.0923e-002	5.9060e-002	-4.7749e-002	3.5058e-002	-2.3501e-002	1.3717e-002	-5.6988e-003	-1.2994e-003
3.700000e+002	6.3618e-005	1.2262e-002	9.4260e-002	6.3569e-002	-7.2361e-002	5.0481e-002	-2.7236e-002	8.6350e-003	4.9687e-003	-1.4465e-002	2.1064e-002	-2.6896e-002
3.800000e+002	2.4625e-005	7.2773e-003	7.6116e-002	8.9172e-002	-6.5870e-002	2.5859e-002	3.4570e-003	-2.1418e-002	3.1152e-002	-3.5489e-002	3.6752e-002	-3.7560e-002
3.900000e+002	9.4207e-006	4.2245e-003	5.8927e-002	1.0361e-001	-4.4993e-002	-6.2224e-003	3.2959e-002	-4.3097e-002	4.3918e-002	-3.9995e-002	3.4195e-002	-2.8471e-002
4.000000e+002	3.5661e-006	2.4049e-003	4.4040e-002	1.0781e-001	-1.5481e-002	-3.6673e-002	5.1984e-002	-4.9071e-002	3.8931e-002	-2.6946e-002	1.5570e-002	-5.1652e-003
4.100000e+002	1.3371e-006	1.3454e-003	3.1936e-002	1.0398e-001	1.6628e-002	-5.8404e-002	5.5738e-002	-3.8347e-002	1.9148e-002	-2.7204e-003	-9.9956e-003	2.0595e-002
4.200000e+002	4.9693e-007	7.4091e-004	2.2559e-002	9.4692e-002	4.6317e-002	-6.7542e-002	4.4356e-002	-1.5424e-002	-7.4875e-003	2.2574e-002	-3.1327e-002	3.7025e-002
4.300000e+002	1.8321e-007	4.0225e-004	1.5570e-002	8.2384e-002	7.0211e-002	-6.3501e-002	2.1836e-002	1.2089e-002	-3.1597e-002	3.9467e-002	-4.0031e-002	3.7440e-002
4.400000e+002	6.7041e-008	2.1556e-004	1.0527e-002	6.9014e-002	8.6659e-002	-4.8279e-002	-5.7507e-003	3.6235e-002	-4.5648e-002	4.2426e-002	-3.3360e-002	2.2372e-002
4.500000e+002	2.4363e-008	1.1413e-004	6.9853e-003	5.5984e-002	9.5460e-002	-2.5415e-002	-3.2105e-002	5.0931e-002	-4.5978e-002	3.1160e-002	-1.4471e-002	-1.5479e-003
4.600000e+002	8.7961e-009	5.9764e-005	4.5573e-003	4.4164e-002	9.7429e-002	1.0475e-003	-5.2118e-002	5.3196e-002	-3.3257e-002	9.9669e-003	9.4761e-003	-2.4881e-002
4.700000e+002	3.1566e-009	3.0973e-005	2.9275e-003	3.3993e-002	9.3959e-002	2.7378e-002	-6.2653e-002	4.3314e-002	-1.1619e-002	-1.4245e-002	3.0260e-002	-3.9176e-002
4.800000e+002	1.1263e-009	1.5897e-005	1.8539e-003	2.5596e-002	8.6639e-002	5.0669e-002	-6.2728e-002	2.4183e-002	1.2963e-002	-3.4354e-002	4.1392e-002	-3.9820e-002
4.900000e+002	3.9971e-010	8.0863e-006	1.1586e-003	1.8896e-002	7.6988e-002	6.9049e-002	-5.3213e-002	2.3037e-004	3.4444e-002	-4.5053e-002	3.9903e-002	-2.7150e-002
5.000000e+002	1.4113e-010	4.0784e-006	7.1520e-004	1.3700e-002	6.6297e-002	8.1661e-002	-3.6274e-002	-2.3765e-002	4.8146e-002	-4.4013e-002	2.6782e-002	-5.7652e-003
5.100000e+002	4.9586e-011	2.0405e-006	4.3646e-004	9.7710e-003	5.5556e-002	8.8492e-002	-1.4737e-002	-4.3643e-002	5.1590e-002	-3.2068e-002	6.1945e-003	1.7396e-002
5.200000e+002	1.7342e-011	1.0132e-006	2.6350e-004	6.8635e-003	4.5448e-002	9.0136e-002	8.4881e-003	-5.6489e-002	4.4670e-002	-1.2566e-002	-1.6044e-002	3.5407e-002
5.300000e+002	6.0387e-012	4.9951e-007	1.5748e-004	4.7538e-003	3.6389e-002	8.7546e-002	3.0840e-002	-6.0892e-002	2.9296e-002	9.7495e-003	-3.4192e-002	4.3349e-002
5.400000e+002	2.0939e-012	2.4458e-007	9.3227e-005	3.2498e-003	2.8575e-002	8.1821e-002	5.0361e-002	-5.6874e-002	8.7052e-003	2.9991e-002	-4.4005e-002	3.9445e-002
5.500000e+002	7.2311e-013	1.1898e-007	5.4694e-005	2.1945e-003	2.2045e-002	7.4044e-002	6.5801e-002	-4.5599e-002	-1.3343e-002	4.4171e-002	-4.3562e-002	2.5187e-002
5.600000e+002	2.4876e-013	5.7524e-008	3.1814e-005	1.4650e-003	1.6733e-002	6.5173e-002	7.6586e-002	-2.8977e-002	-3.3295e-002	4.9880e-002	-3.3415e-002	4.5765e-003
5.700000e+002	8.5261e-014	2.7647e-008	1.8356e-005	9.6752e-004	1.2512e-002	5.5986e-002	8.2714e-002	-9.2446e-003	-4.8349e-002	4.6519e-002	-1.6157e-002	-1.7143e-002
5.800000e+002	2.9119e-014	1.3212e-008	1.0509e-005	6.3247e-004	9.2263e-003	4.7064e-002	8.4604e-002	1.1392e-002	-5.6753e-002	3.5144e-002	4.3852e-003	-3.4873e-002
5.900000e+002	9.9108e-015	6.2797e-009	5.9726e-006	4.0947e-004	6.7155e-003	3.8799e-002	8.2941e-002	3.1020e-002	-5.7874e-002	1.8039e-002	2.4077e-002	-4.4811e-002
6.000000e+002	3.3621e-015	2.9692e-009	3.3705e-006	2.6269e-004	4.8288e-003	3.1423e-002	7.8537e-002	4.8179e-002	-5.2087e-002	-1.8459e-003	3.9312e-002	-4.5135e-002
6.100000e+002	1.1369e-015	1.3969e-009	1.8893e-006	1.6706e-004	3.4327e-003	2.5038e-002	7.2216e-002	6.1920e-002	-4.0532e-002	-2.1462e-002	4.7612e-002	-3.6167e-002
6.200000e+002	3.8326e-016	6.5399e-010	1.0522e-006	1.0536e-004	2.4140e-003	1.9653e-002	6.4737e-002	7.1787e-002	-2.4830e-002	-3.8136e-002	4.7911e-002	-2.0056e-002
