V	C (Fcm-2)	Initcharge (cm-2)	Finalcharge (cm-2)	ns Total (cm-2)	ps Total (cm-2)
-7.000e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.990e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.980e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.970e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.960e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.950e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.940e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.930e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.920e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.910e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.900e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.890e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.880e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.870e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.860e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.850e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.840e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.830e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.820e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.810e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.800e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.790e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.780e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.770e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.760e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.750e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.740e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.730e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.720e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.710e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.700e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.690e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.680e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.670e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.660e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.650e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.640e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.630e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.620e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.610e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.600e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.590e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.580e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.570e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.560e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.550e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.540e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.530e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.520e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.510e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.500e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.490e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.480e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.470e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.460e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.450e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.440e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.430e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.420e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.410e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.400e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.390e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.380e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.370e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.360e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.350e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.340e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.330e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.320e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.310e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.300e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.290e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.280e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.270e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.260e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.250e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.240e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.230e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.220e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.210e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.200e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.190e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.180e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.170e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.160e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.150e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.140e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.130e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.120e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.110e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.100e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.090e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.080e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.070e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.060e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.050e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.040e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.030e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.020e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.010e+000	4.8003e-017	-9.3467e+000	-6.3506e+000	6.3476e+000	5.2500e-015
-6.000e+000	4.8003e-017	-9.3468e+000	-6.3507e+000	6.3476e+000	5.2500e-015
-5.990e+000	4.8004e-017	-9.3468e+000	-6.3507e+000	6.3477e+000	5.2500e-015
-5.980e+000	4.8004e-017	-9.3469e+000	-6.3507e+000	6.3477e+000	5.2500e-015
-5.970e+000	4.8004e-017	-9.3470e+000	-6.3508e+000	6.3478e+000	5.2500e-015
-5.960e+000	4.8005e-017	-9.3471e+000	-6.3509e+000	6.3479e+000	5.2500e-015
-5.950e+000	4.8006e-017	-9.3474e+000	-6.3511e+000	6.3480e+000	5.2500e-015
-5.940e+000	4.8008e-017	-9.3477e+000	-6.3513e+000	6.3483e+000	5.2500e-015
-5.930e+000	4.8010e-017	-9.3482e+000	-6.3516e+000	6.3486e+000	5.2500e-015
-5.920e+000	4.8014e-017	-9.3489e+000	-6.3521e+000	6.3491e+000	5.2500e-015
-5.910e+000	4.8019e-017	-9.3499e+000	-6.3528e+000	6.3498e+000	5.2500e-015
-5.900e+000	4.8027e-017	-9.3514e+000	-6.3538e+000	6.3508e+000	5.2500e-015
-5.890e+000	4.8039e-017	-9.3537e+000	-6.3553e+000	6.3523e+000	5.2500e-015
-5.880e+000	4.8056e-017	-9.3570e+000	-6.3576e+000	6.3546e+000	5.2500e-015
-5.870e+000	4.8081e-017	-9.3618e+000	-6.3609e+000	6.3578e+000	5.2500e-015
-5.860e+000	4.8117e-017	-9.3689e+000	-6.3657e+000	6.3627e+000	5.2500e-015
-5.850e+000	4.8171e-017	-9.3795e+000	-6.3729e+000	6.3698e+000	5.2500e-015
-5.840e+000	4.8251e-017	-9.3949e+000	-6.3834e+000	6.3804e+000	5.2500e-015
-5.830e+000	4.8368e-017	-9.4177e+000	-6.3988e+000	6.3958e+000	5.2500e-015
-5.820e+000	4.8540e-017	-9.4513e+000	-6.4216e+000	6.4186e+000	5.2500e-015
