V	C (Fcm-2)	Initcharge (cm-2)	Finalcharge (cm-2)	ns Total (cm-2)	ps Total (cm-2)
-1.900e+000	3.2666e-007	-5.1716e+012	-5.1512e+012	5.1512e+012	5.2500e-015
-1.850e+000	3.4241e-007	-5.2764e+012	-5.2550e+012	5.2550e+012	5.2500e-015
-1.800e+000	3.6080e-007	-5.3867e+012	-5.3642e+012	5.3641e+012	5.2500e-015
-1.750e+000	3.7855e-007	-5.5026e+012	-5.4790e+012	5.4790e+012	5.2500e-015
-1.700e+000	3.9361e-007	-5.6237e+012	-5.5991e+012	5.5991e+012	5.2500e-015
-1.650e+000	4.0559e-007	-5.7488e+012	-5.7235e+012	5.7235e+012	5.2500e-015
-1.600e+000	4.1491e-007	-5.8772e+012	-5.8513e+012	5.8513e+012	5.2500e-015
-1.550e+000	4.2219e-007	-6.0081e+012	-5.9817e+012	5.9817e+012	5.2500e-015
-1.500e+000	4.2798e-007	-6.1410e+012	-6.1143e+012	6.1142e+012	5.2500e-015
-1.450e+000	4.3267e-007	-6.2754e+012	-6.2484e+012	6.2484e+012	5.2500e-015
-1.400e+000	4.3656e-007	-6.4112e+012	-6.3840e+012	6.3839e+012	5.2500e-015
-1.350e+000	4.3985e-007	-6.5481e+012	-6.5206e+012	6.5206e+012	5.2500e-015
-1.300e+000	4.4268e-007	-6.6859e+012	-6.6582e+012	6.6582e+012	5.2500e-015
-1.250e+000	4.4517e-007	-6.8245e+012	-6.7967e+012	6.7967e+012	5.2500e-015
-1.200e+000	4.4740e-007	-6.9638e+012	-6.9359e+012	6.9359e+012	5.2500e-015
-1.150e+000	4.4940e-007	-7.1039e+012	-7.0758e+012	7.0758e+012	5.2500e-015
-1.100e+000	4.5124e-007	-7.2444e+012	-7.2163e+012	7.2162e+012	5.2500e-015
-1.050e+000	4.5294e-007	-7.3856e+012	-7.3573e+012	7.3573e+012	5.2500e-015
-1.000e+000	4.5452e-007	-7.5272e+012	-7.4989e+012	7.4988e+012	5.2500e-015
-9.500e-001	4.5601e-007	-7.6694e+012	-7.6409e+012	7.6409e+012	5.2500e-015
-9.000e-001	4.5742e-007	-7.8119e+012	-7.7834e+012	7.7833e+012	5.2500e-015
-8.500e-001	4.5876e-007	-7.9549e+012	-7.9263e+012	7.9263e+012	5.2500e-015
-8.000e-001	4.6004e-007	-8.0984e+012	-8.0696e+012	8.0696e+012	5.2500e-015
-7.500e-001	4.6127e-007	-8.2421e+012	-8.2134e+012	8.2133e+012	5.2500e-015
-7.000e-001	4.6245e-007	-8.3863e+012	-8.3575e+012	8.3574e+012	5.2500e-015
-6.500e-001	4.6357e-007	-8.5309e+012	-8.5019e+012	8.5019e+012	5.2500e-015
-6.000e-001	4.6466e-007	-8.6757e+012	-8.6467e+012	8.6467e+012	5.2500e-015
-5.500e-001	4.6569e-007	-8.8209e+012	-8.7919e+012	8.7918e+012	5.2500e-015
-5.000e-001	4.6669e-007	-8.9664e+012	-8.9373e+012	8.9373e+012	5.2500e-015
-4.500e-001	4.6764e-007	-9.1123e+012	-9.0831e+012	9.0830e+012	5.2500e-015
-4.000e-001	4.6791e-007	-9.2583e+012	-9.2291e+012	9.2291e+012	5.2500e-015
-3.500e-001	4.6823e-007	-9.4044e+012	-9.3751e+012	9.3751e+012	5.2500e-015
-3.000e-001	4.6899e-007	-9.5506e+012	-9.5214e+012	9.5213e+012	5.2500e-015
-2.500e-001	4.6971e-007	-9.6971e+012	-9.6678e+012	9.6678e+012	5.2500e-015
-2.000e-001	4.7039e-007	-9.8438e+012	-9.8145e+012	9.8144e+012	5.2500e-015
-1.500e-001	4.7105e-007	-9.9908e+012	-9.9614e+012	9.9613e+012	5.2500e-015
-1.000e-001	4.7167e-007	-1.0138e+013	-1.0108e+013	1.0108e+013	5.2500e-015
-5.000e-002	4.7225e-007	-1.0285e+013	-1.0256e+013	1.0256e+013	5.2500e-015
