Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12
3.000000e+002	2.1874e-002	-7.2186e-002	1.1582e-001	-7.9250e-002	5.0591e-002	-3.2262e-002	2.0110e-002	-1.1684e-002	5.6229e-003	-1.1343e-003	-2.2783e-003	5.1383e-003
3.100000e+002	1.0826e-002	-4.7029e-002	1.3226e-001	-5.1961e-002	1.1748e-002	8.1629e-003	-1.8616e-002	2.4266e-002	-2.7287e-002	2.8790e-002	-2.9467e-002	3.0446e-002
3.200000e+002	5.1618e-003	-2.8958e-002	1.2786e-001	-7.4998e-003	-3.2264e-002	4.4350e-002	-4.6531e-002	4.4900e-002	-4.1811e-002	3.8254e-002	-3.4756e-002	3.2220e-002
3.300000e+002	2.3896e-003	-1.7076e-002	1.1139e-001	3.8967e-002	-6.4115e-002	6.0313e-002	-5.0356e-002	4.0024e-002	-3.0798e-002	2.2943e-002	-1.6406e-002	1.1121e-002
3.400000e+002	1.0798e-003	-9.7269e-003	9.0152e-002	7.7028e-002	-7.5117e-002	5.1891e-002	-3.0716e-002	1.4478e-002	-2.5666e-003	-6.0395e-003	1.2253e-002	-1.7298e-002
3.500000e+002	4.7818e-004	-5.3844e-003	6.8998e-002	1.0184e-001	-6.4970e-002	2.4755e-002	1.8963e-003	-1.7913e-002	2.6987e-002	-3.1687e-002	3.3748e-002	-3.5087e-002
3.600000e+002	2.0809e-004	-2.9092e-003	5.0507e-002	1.1296e-001	-3.8981e-002	-1.0376e-002	3.3779e-002	-4.2510e-002	4.3649e-002	-4.1029e-002	3.6780e-002	-3.2636e-002
3.700000e+002	8.9189e-005	-1.5393e-003	3.5637e-002	1.1265e-001	-4.7785e-003	-4.2499e-002	5.3788e-002	-5.0020e-002	4.0906e-002	-3.0619e-002	2.0909e-002	-1.2440e-002
3.800000e+002	3.7713e-005	-7.9962e-004	2.4377e-002	1.0426e-001	3.0290e-002	-6.3560e-002	5.6478e-002	-3.8901e-002	2.1184e-002	-6.3713e-003	-5.0899e-003	1.4153e-002
3.900000e+002	1.5755e-005	-4.0865e-004	1.6233e-002	9.1170e-002	6.0678e-002	-6.9770e-002	4.2488e-002	-1.4330e-002	-6.7649e-003	2.0585e-002	-2.8759e-002	3.3845e-002
4.000000e+002	6.5101e-006	-2.0581e-004	1.0559e-002	7.6183e-002	8.3159e-002	-6.1368e-002	1.6980e-002	1.4848e-002	-3.2251e-002	3.9287e-002	-3.9961e-002	3.7857e-002
4.100000e+002	2.6633e-006	-1.0228e-004	6.7271e-003	6.1305e-002	9.6655e-002	-4.1482e-002	-1.2754e-002	3.9583e-002	-4.6710e-002	4.3108e-002	-3.4728e-002	2.5172e-002
4.200000e+002	1.0796e-006	-5.0218e-005	4.2064e-003	4.7776e-002	1.0170e-001	-1.4685e-002	-3.9576e-002	5.3285e-002	-4.6160e-002	3.1489e-002	-1.5927e-002	1.9032e-003
4.300000e+002	4.3393e-007	-2.4383e-005	2.5861e-003	3.6211e-002	9.9787e-002	1.4277e-002	-5.8121e-002	5.3154e-002	-3.1660e-002	9.1916e-003	8.7923e-003	-2.2130e-002
4.400000e+002	1.7305e-007	-1.1718e-005	1.5657e-003	2.6781e-002	9.2837e-002	4.1389e-002	-6.5547e-002	4.0174e-002	-8.1561e-003	-1.6058e-002	3.0401e-002	-3.7675e-002
4.500000e+002	6.8504e-008	-5.5775e-006	9.3463e-004	1.9379e-002	8.2751e-002	6.3828e-002	-6.1531e-002	1.8154e-002	1.7530e-002	-3.6418e-002	4.1765e-002	-3.9403e-002
4.600000e+002	2.6933e-008	-2.6313e-006	5.5069e-004	1.3749e-002	7.1176e-002	8.0070e-002	-4.7744e-002	-7.6648e-003	3.8801e-002	-4.6263e-002	3.9713e-002	-2.7300e-002
4.700000e+002	1.0521e-008	-1.2310e-006	3.2057e-004	9.5825e-003	5.9380e-002	8.9728e-002	-2.7086e-002	-3.1994e-002	5.0878e-002	-4.3441e-002	2.5496e-002	-6.0210e-003
4.800000e+002	4.0848e-009	-5.7144e-007	1.8453e-004	6.5701e-003	4.8237e-002	9.3275e-002	-2.9133e-003	-5.0556e-002	5.1616e-002	-2.9336e-002	3.8280e-003	1.7197e-002
4.900000e+002	1.5768e-009	-2.6330e-007	1.0511e-004	4.4374e-003	3.8273e-002	9.1721e-002	2.1599e-002	-6.0685e-002	4.1544e-002	-8.0059e-003	-1.8907e-002	3.5108e-002
