V	C (Fcm-2)	Initcharge (cm-2)	Finalcharge (cm-2)	ns Total (cm-2)	ps Total (cm-2)
-7.000e+000	4.8034e-017	-9.3452e+000	-6.3472e+000	6.3476e+000	5.2500e-015
-6.990e+000	4.8034e-017	-9.3452e+000	-6.3472e+000	6.3476e+000	5.2500e-015
-6.980e+000	4.8034e-017	-9.3452e+000	-6.3472e+000	6.3476e+000	5.2500e-015
-6.970e+000	4.8034e-017	-9.3452e+000	-6.3472e+000	6.3476e+000	5.2500e-015
-6.960e+000	4.8034e-017	-9.3452e+000	-6.3472e+000	6.3476e+000	5.2500e-015
-6.950e+000	4.8034e-017	-9.3452e+000	-6.3472e+000	6.3476e+000	5.2500e-015
-6.940e+000	4.8034e-017	-9.3452e+000	-6.3472e+000	6.3476e+000	5.2500e-015
-6.930e+000	4.8034e-017	-9.3452e+000	-6.3472e+000	6.3476e+000	5.2500e-015
-6.920e+000	4.8034e-017	-9.3452e+000	-6.3472e+000	6.3476e+000	5.2500e-015
-6.910e+000	4.8034e-017	-9.3452e+000	-6.3472e+000	6.3476e+000	5.2500e-015
-6.900e+000	4.8034e-017	-9.3452e+000	-6.3472e+000	6.3476e+000	5.2500e-015
-6.890e+000	4.8034e-017	-9.3452e+000	-6.3472e+000	6.3476e+000	5.2500e-015
-6.880e+000	4.8034e-017	-9.3452e+000	-6.3472e+000	6.3476e+000	5.2500e-015
-6.870e+000	4.8034e-017	-9.3452e+000	-6.3472e+000	6.3476e+000	5.2500e-015
-6.860e+000	4.8034e-017	-9.3453e+000	-6.3472e+000	6.3476e+000	5.2500e-015
-6.850e+000	4.8034e-017	-9.3453e+000	-6.3472e+000	6.3476e+000	5.2500e-015
-6.840e+000	4.8035e-017	-9.3453e+000	-6.3472e+000	6.3476e+000	5.2500e-015
-6.830e+000	4.8035e-017	-9.3453e+000	-6.3473e+000	6.3477e+000	5.2500e-015
-6.820e+000	4.8035e-017	-9.3454e+000	-6.3473e+000	6.3477e+000	5.2500e-015
-6.810e+000	4.8035e-017	-9.3455e+000	-6.3473e+000	6.3478e+000	5.2500e-015
-6.800e+000	4.8036e-017	-9.3456e+000	-6.3474e+000	6.3478e+000	5.2500e-015
-6.790e+000	4.8037e-017	-9.3458e+000	-6.3476e+000	6.3480e+000	5.2500e-015
-6.780e+000	4.8038e-017	-9.3461e+000	-6.3477e+000	6.3482e+000	5.2500e-015
-6.770e+000	4.8041e-017	-9.3465e+000	-6.3480e+000	6.3484e+000	5.2500e-015
-6.760e+000	4.8044e-017	-9.3471e+000	-6.3484e+000	6.3488e+000	5.2500e-015
-6.750e+000	4.8048e-017	-9.3479e+000	-6.3490e+000	6.3494e+000	5.2500e-015
-6.740e+000	4.8055e-017	-9.3492e+000	-6.3499e+000	6.3503e+000	5.2500e-015
-6.730e+000	4.8064e-017	-9.3511e+000	-6.3512e+000	6.3516e+000	5.2500e-015
-6.720e+000	4.8079e-017	-9.3539e+000	-6.3531e+000	6.3535e+000	5.2500e-015
-6.710e+000	4.8100e-017	-9.3580e+000	-6.3558e+000	6.3562e+000	5.2500e-015
-6.700e+000	4.8131e-017	-9.3640e+000	-6.3599e+000	6.3603e+000	5.2500e-015
-6.690e+000	4.8176e-017	-9.3729e+000	-6.3659e+000	6.3664e+000	5.2500e-015
-6.680e+000	4.8243e-017	-9.3859e+000	-6.3748e+000	6.3752e+000	5.2500e-015
-6.670e+000	4.8342e-017	-9.4051e+000	-6.3879e+000	6.3883e+000	5.2500e-015
-6.660e+000	4.8488e-017	-9.4334e+000	-6.4071e+000	6.4075e+000	5.2500e-015
-6.650e+000	4.8702e-017	-9.4751e+000	-6.4354e+000	6.4358e+000	5.2500e-015
-6.640e+000	4.9017e-017	-9.5364e+000	-6.4771e+000	6.4775e+000	5.2500e-015
-6.630e+000	4.9505e-017	-9.6282e+000	-6.5384e+000	6.5388e+000	5.2500e-015
-6.620e+000	5.0165e-017	-9.7612e+000	-6.6302e+000	6.6291e+000	5.2500e-015
-6.610e+000	5.1171e-017	-9.9570e+000	-6.7631e+000	6.7621e+000	5.2500e-015
-6.600e+000	5.2676e-017	-1.0247e+001	-6.9589e+000	6.9579e+000	5.2500e-015
-6.590e+000	5.4849e-017	-1.0672e+001	-7.2486e+000	7.2461e+000	5.2500e-015
-6.580e+000	5.8083e-017	-1.1299e+001	-7.6739e+000	7.6705e+000	5.2500e-015
-6.570e+000	6.2811e-017	-1.2221e+001	-8.3012e+000	8.2952e+000	5.2500e-015
-6.560e+000	6.9787e-017	-1.3579e+001	-9.2234e+000	9.2151e+000	5.2500e-015
-6.550e+000	8.0081e-017	-1.5579e+001	-1.0581e+001	1.0569e+001	5.2500e-015
-6.540e+000	9.5216e-017	-1.8524e+001	-1.2581e+001	1.2563e+001	5.2500e-015
-6.530e+000	1.1748e-016	-2.2859e+001	-1.5526e+001	1.5499e+001	5.2500e-015
-6.520e+000	1.5028e-016	-2.9241e+001	-1.9861e+001	1.9821e+001	5.2500e-015
-6.510e+000	1.9859e-016	-3.8638e+001	-2.6243e+001	2.6184e+001	5.2500e-015
-6.500e+000	2.6970e-016	-5.2473e+001	-3.5640e+001	3.5553e+001	5.2500e-015
-6.490e+000	3.7440e-016	-7.2843e+001	-4.9475e+001	4.9346e+001	5.2500e-015
-6.480e+000	5.2850e-016	-1.0283e+002	-6.9845e+001	6.9654e+001	5.2500e-015
-6.470e+000	7.5541e-016	-1.4698e+002	-9.9833e+001	9.9553e+001	5.2500e-015
-6.460e+000	1.0895e-015	-2.1199e+002	-1.4398e+002	1.4357e+002	5.2500e-015
-6.450e+000	1.5814e-015	-3.0769e+002	-2.0899e+002	2.0838e+002	5.2500e-015
-6.440e+000	2.3056e-015	-4.4860e+002	-3.0469e+002	3.0380e+002	5.2500e-015
-6.430e+000	3.3718e-015	-6.5605e+002	-4.4560e+002	4.4428e+002	5.2500e-015
-6.420e+000	4.9416e-015	-9.6148e+002	-6.5305e+002	6.5112e+002	5.2500e-015
-6.410e+000	7.2527e-015	-1.4112e+003	-9.5848e+002	9.5563e+002	5.2500e-015
-6.400e+000	1.0655e-014	-2.0732e+003	-1.4082e+003	1.4040e+003	5.2500e-015
-6.390e+000	1.5665e-014	-3.0480e+003	-2.0702e+003	2.0640e+003	5.2500e-015
