Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11
2.000000e+001	6.4032e-018	-4.2845e-017	1.0574e-016	-1.9570e-016	3.1746e-016	-4.7817e-016	6.8800e-016	-9.6132e-016	1.3191e-015	-1.8003e-015	2.5559e-015
3.000000e+001	4.4284e-017	-2.7861e-016	6.6887e-016	-1.2166e-015	1.9486e-015	-2.9057e-015	4.1464e-015	-5.7529e-015	7.8460e-015	-1.0650e-014	1.5044e-014
4.000000e+001	3.0392e-016	-1.7944e-015	4.1867e-015	-7.4789e-015	1.1821e-014	-1.7445e-014	2.4681e-014	-3.3993e-014	4.6065e-014	-6.2173e-014	8.7365e-014
5.000000e+001	1.8093e-015	-9.9241e-015	2.2396e-014	-3.9168e-014	6.0954e-014	-8.8856e-014	1.2444e-013	-1.6991e-013	2.2851e-013	-3.0635e-013	4.2780e-013
6.000000e+001	3.7689e-015	-1.6445e-014	3.3012e-014	-5.3297e-014	7.7970e-014	-1.0801e-013	1.4478e-013	-1.9020e-013	2.4709e-013	-3.2094e-013	4.3494e-013
7.000000e+001	9.0021e-015	-3.0454e-014	5.2823e-014	-7.6449e-014	1.0206e-013	-1.3034e-013	1.6213e-013	-1.9853e-013	2.4108e-013	-2.9323e-013	3.7181e-013
8.000000e+001	2.7144e-014	-7.5552e-014	1.1721e-013	-1.5577e-013	1.9310e-013	-2.3021e-013	2.6782e-013	-3.0661e-013	3.4738e-013	-3.9265e-013	4.5885e-013
9.000000e+001	9.8136e-014	-2.3653e-013	3.4066e-013	-4.2943e-013	5.0988e-013	-5.8511e-013	6.5680e-013	-7.2603e-013	7.9371e-013	-8.6373e-013	9.6660e-013
1.000000e+002	4.0536e-013	-8.6917e-013	1.1831e-012	-1.4365e-012	1.6574e-012	-1.8575e-012	2.0428e-012	-2.2169e-012	2.3823e-012	-2.5499e-012	2.8055e-012
1.100000e+002	1.8534e-012	-3.5888e-012	4.6573e-012	-5.4818e-012	6.1802e-012	-6.7989e-012	7.3615e-012	-7.8817e-012	8.3690e-012	-8.8614e-012	9.6498e-012
1.200000e+002	9.1730e-012	-1.6195e-011	2.0137e-011	-2.3060e-011	2.5474e-011	-2.7574e-011	2.9455e-011	-3.1174e-011	3.2766e-011	-3.4380e-011	3.7124e-011
1.300000e+002	4.8303e-011	-7.8271e-011	9.3568e-011	-1.0448e-010	1.1329e-010	-1.2083e-010	1.2750e-010	-1.3353e-010	1.3907e-010	-1.4473e-010	1.5510e-010
