Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
0.000000e+000	-6.40000000e+000	-9.80000000e+000	3.74648518e+007	-7.00000000e+000	1.8691e+008	1.0000e-010	0.0000e+000
1.000000e+001	-2.09351482e+000	-6.19351482e+000	1.16896297e+007	0.00000000e+000	1.2309e+021	1.0000e-010	-1.3848e+020
2.000000e+001	-9.24551845e-001	-5.02455184e+000	4.61715354e+006	0.00000000e+000	3.6153e+020	1.0000e-010	0.0000e+000
3.000000e+001	-4.62836491e-001	-4.56283649e+000	2.10449989e+006	0.00000000e+000	1.2844e+020	1.0000e-010	0.0000e+000
4.000000e+001	-2.52386501e-001	-4.35238650e+000	1.08305225e+006	0.00000000e+000	5.2215e+019	1.0000e-010	0.0000e+000
5.000000e+001	-1.44081277e-001	-4.24408128e+000	6.33243895e+005	0.00000000e+000	2.2994e+019	1.0000e-010	0.0000e+000
6.000000e+001	-8.07568873e-002	-4.18075689e+000	4.28107524e+005	0.00000000e+000	1.0486e+019	1.0000e-010	0.0000e+000
7.000000e+001	-3.79461349e-002	-4.13794613e+000	3.36056585e+005	0.00000000e+000	4.7055e+018	1.0000e-010	0.0000e+000
8.000000e+001	-4.34047637e-003	-4.10434048e+000	2.97761918e+005	0.00000000e+000	1.9576e+018	1.0000e-010	0.0000e+000
9.000000e+001	2.54357154e-002	-4.07456428e+000	2.83149228e+005	0.00000000e+000	7.4698e+017	1.0000e-010	0.0000e+000
1.000000e+002	5.37506382e-002	-4.04624936e+000	2.77884030e+005	0.00000000e+000	2.6915e+017	1.0000e-010	0.0000e+000
1.100000e+002	8.15390413e-002	-4.01846096e+000	2.76037216e+005	0.00000000e+000	9.4407e+016	1.0000e-010	0.0000e+000
1.200000e+002	1.09142763e-001	-3.99085724e+000	2.75392907e+005	0.00000000e+000	3.2936e+016	1.0000e-010	0.0000e+000
1.300000e+002	1.36682054e-001	-3.96331795e+000	2.75170856e+005	0.00000000e+000	1.1351e+016	1.0000e-010	0.0000e+000
1.400000e+002	1.64199139e-001	-3.93580086e+000	2.75094263e+005	0.00000000e+000	3.9153e+015	1.0000e-010	0.0000e+000
1.500000e+002	1.91708565e-001	-3.90829143e+000	2.75067836e+005	0.00000000e+000	1.3509e+015	1.0000e-010	0.0000e+000
1.600000e+002	2.19215349e-001	-3.88078465e+000	2.75058717e+005	0.00000000e+000	4.6616e+014	1.0000e-010	0.0000e+000
1.700000e+002	-3.13278779e-001	-3.71327878e+000	1.53667475e+006	0.00000000e+000	7.1868e+019	1.0000e-010	1.3848e+020
1.800000e+002	-9.73890824e-002	-3.57516686e+000	1.00628477e+006	0.00000000e+000	1.3345e+019	1.0000e-010	-1.4655e+019
1.900000e+002	6.54616166e-002	-3.49009394e+000	7.21626761e+005	0.00000000e+000	1.7367e+017	1.0000e-010	-1.4838e+019
2.000000e+002	1.99846515e-001	-3.43348682e+000	4.35090979e+005	0.00000000e+000	9.8609e+014	1.0000e-010	-1.5021e+019
2.100000e+002	3.05577835e-001	-3.40553328e+000	1.43351320e+005	0.00000000e+000	1.6508e+013	1.0000e-010	-1.5204e+019
2.200000e+002	3.82135189e-001	-3.40675370e+000	-1.53656981e+005	0.00000000e+000	8.5428e+011	1.0000e-010	-1.5387e+019
2.300000e+002	4.28991713e-001	-3.43767495e+000	-4.55981255e+005	0.00000000e+000	1.3946e+011	1.0000e-010	-1.5570e+019
2.400000e+002	4.45615810e-001	-3.49882863e+000	-7.63669121e+005	0.00000000e+000	7.3311e+010	1.0000e-010	-1.5753e+019
2.500000e+002	4.31471120e-001	-3.59075110e+000	-1.07676876e+006	0.00000000e+000	1.2670e+011	1.0000e-010	-1.5936e+019
2.600000e+002	-1.73983533e-001	-3.57398353e+000	7.01455817e+005	0.00000000e+000	3.0329e+019	1.0000e-010	1.2236e+020
2.700000e+002	-1.03837951e-001	-3.50383795e+000	4.24544741e+005	0.00000000e+000	1.4538e+019	1.0000e-010	0.0000e+000
2.800000e+002	-6.13834773e-002	-3.46138348e+000	2.80289242e+005	0.00000000e+000	7.5734e+018	1.0000e-010	0.0000e+000
2.900000e+002	-3.33545532e-002	-3.43335455e+000	1.99645780e+005	0.00000000e+000	4.2338e+018	1.0000e-010	0.0000e+000
3.000000e+002	-1.33899752e-002	-3.41338998e+000	1.51289115e+005	0.00000000e+000	2.5387e+018	1.0000e-010	0.0000e+000
3.100000e+002	1.73893634e-003	-3.39826106e+000	1.20270002e+005	0.00000000e+000	1.6285e+018	1.0000e-010	0.0000e+000
3.200000e+002	1.37659365e-002	-3.38623406e+000	9.91494139e+004	0.00000000e+000	1.1088e+018	1.0000e-010	0.0000e+000
3.300000e+002	2.36808779e-002	-3.37631912e+000	8.40322929e+004	0.00000000e+000	7.9365e+017	1.0000e-010	0.0000e+000
3.400000e+002	3.20841072e-002	-3.36791589e+000	7.27610954e+004	0.00000000e+000	5.9174e+017	1.0000e-010	0.0000e+000
3.500000e+002	3.93602168e-002	-3.36063978e+000	6.40730963e+004	0.00000000e+000	4.5612e+017	1.0000e-010	0.0000e+000
3.600000e+002	4.57675264e-002	-3.35423247e+000	5.71912809e+004	0.00000000e+000	3.6130e+017	1.0000e-010	0.0000e+000
