Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13
2.000000e+001	9.2116e-017	3.0972e-013	1.0154e-016	-1.5266e-016	2.1402e-016	-2.8283e-016	3.5894e-016	-4.4260e-016	5.3417e-016	-6.3412e-016	7.4433e-016	-8.8507e-016	1.1273e-015
3.000000e+001	7.4663e-016	2.4890e-012	7.7608e-016	-1.1378e-015	1.5707e-015	-2.0527e-015	2.5824e-015	-3.1616e-015	3.7927e-015	-4.4787e-015	5.2327e-015	-6.1958e-015	7.8583e-015
4.000000e+001	6.4479e-015	2.1321e-011	6.3376e-015	-9.0720e-015	1.2340e-014	-1.5957e-014	1.9910e-014	-2.4210e-014	2.8875e-014	-3.3928e-014	3.9465e-014	-4.6541e-014	5.8792e-014
5.000000e+001	5.3504e-014	1.7543e-010	4.9616e-014	-6.9276e-014	9.2799e-014	-1.1867e-013	1.4680e-013	-1.7724e-013	2.1013e-013	-2.4561e-013	2.8438e-013	-3.3396e-013	4.2009e-013
6.000000e+001	4.2521e-013	1.3819e-009	3.7101e-013	-5.0467e-013	6.6522e-013	-8.4087e-013	1.0307e-012	-1.2352e-012	1.4552e-012	-1.6916e-012	1.9491e-012	-2.2788e-012	2.8538e-012
7.000000e+001	3.2300e-012	1.0400e-008	2.6438e-012	-3.4987e-012	4.5341e-012	-5.6616e-012	6.8736e-012	-8.1727e-012	9.5639e-012	-1.1053e-011	1.2671e-011	-1.4745e-011	1.8380e-011
8.000000e+001	2.3400e-011	7.4614e-008	1.7907e-011	-2.3021e-011	2.9304e-011	-3.6120e-011	4.3410e-011	-5.1186e-011	5.9476e-011	-6.8318e-011	7.7888e-011	-9.0188e-011	1.1186e-010
9.000000e+001	1.6128e-010	5.0902e-007	1.1497e-010	-1.4334e-010	1.7902e-010	-2.1765e-010	2.5877e-010	-3.0244e-010	3.4879e-010	-3.9802e-010	4.5116e-010	-5.1966e-010	6.4116e-010
1.000000e+002	1.0547e-009	3.2928e-006	6.9745e-010	-8.4166e-010	1.0302e-009	-1.2342e-009	1.4507e-009	-1.6795e-009	1.9214e-009	-2.1774e-009	2.4528e-009	-2.8093e-009	3.4466e-009
1.100000e+002	6.5239e-009	2.0136e-005	3.9834e-009	-4.6429e-009	5.5612e-009	-6.5593e-009	7.6153e-009	-8.7277e-009	9.8990e-009	-1.1134e-008	1.2459e-008	-1.4183e-008	1.7295e-008
1.200000e+002	3.8042e-008	1.1599e-004	2.1333e-008	-2.3955e-008	2.8035e-008	-3.2513e-008	3.7251e-008	-4.2228e-008	4.7451e-008	-5.2939e-008	5.8816e-008	-6.6517e-008	8.0580e-008
1.300000e+002	2.0830e-007	6.2687e-004	1.0662e-007	-1.1501e-007	1.3127e-007	-1.4948e-007	1.6881e-007	-1.8911e-007	2.1036e-007	-2.3263e-007	2.5644e-007	-2.8794e-007	3.4632e-007
1.400000e+002	1.0662e-006	3.1639e-003	4.9457e-007	-5.1077e-007	5.6722e-007	-6.3317e-007	7.0391e-007	-7.7835e-007	8.5627e-007	-9.3777e-007	1.0249e-006	-1.1418e-006	1.3625e-006
1.500000e+002	5.0751e-006	1.4833e-002	2.1155e-006	-2.0830e-006	2.2448e-006	-2.4513e-006	2.6782e-006	-2.9191e-006	3.1720e-006	-3.4368e-006	3.7203e-006	-4.1084e-006	4.8594e-006
1.600000e+002	2.2328e-005	6.4188e-002	8.2786e-006	-7.7328e-006	8.0595e-006	-8.5877e-006	9.2020e-006	-9.8690e-006	1.0577e-005	-1.1322e-005	1.2124e-005	-1.3256e-005	1.5524e-005
1.700000e+002	9.0100e-005	2.5435e-001	2.9345e-005	-2.5837e-005	2.5933e-005	-2.6874e-005	2.8166e-005	-2.9655e-005	3.1282e-005	-3.3021e-005	3.4923e-005	-3.7751e-005	4.3702e-005
1.800000e+002	6.4020e-005	1.6203e-001	6.2751e-006	-1.8233e-007	-3.0834e-006	5.6179e-006	-7.8625e-006	9.9782e-006	-1.2042e-005	1.4098e-005	-1.6205e-005	1.8790e-005	-2.3222e-005
1.900000e+002	4.0570e-005	6.5194e-002	-1.9439e-005	2.5584e-005	-2.9863e-005	3.3578e-005	-3.7053e-005	4.0422e-005	-4.3756e-005	4.7100e-005	-5.0575e-005	5.5342e-005	-6.4756e-005
