Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12
2.000000e+001	4.6969e-021	-3.3230e-020	6.4742e-020	-9.3989e-020	1.2184e-019	-1.4881e-019	1.7516e-019	-2.0106e-019	2.2662e-019	-2.5203e-019	2.8044e-019	-3.2757e-019
3.000000e+001	4.0549e-020	-2.6512e-019	5.0095e-019	-7.1471e-019	9.1541e-019	-1.1078e-018	1.2943e-018	-1.4765e-018	1.6552e-018	-1.8321e-018	2.0300e-018	-2.3615e-018
4.000000e+001	3.7654e-019	-2.2858e-018	4.1966e-018	-5.8902e-018	7.4594e-018	-8.9493e-018	1.0384e-017	-1.1776e-017	1.3135e-017	-1.4474e-017	1.5974e-017	-1.8513e-017
5.000000e+001	3.4126e-018	-1.9200e-017	3.4227e-017	-4.7242e-017	5.9137e-017	-7.0323e-017	8.1011e-017	-9.1323e-017	1.0134e-016	-1.1117e-016	1.2219e-016	-1.4105e-016
6.000000e+001	3.0130e-017	-1.5677e-016	2.7112e-016	-3.6781e-016	4.5495e-016	-5.3608e-016	6.1302e-016	-6.8678e-016	7.5803e-016	-8.2768e-016	9.0590e-016	-1.0415e-015
7.000000e+001	2.5896e-016	-1.2433e-015	2.0839e-015	-2.7772e-015	3.3930e-015	-3.9606e-015	4.4945e-015	-5.0032e-015	5.4918e-015	-5.9675e-015	6.5031e-015	-7.4454e-015
8.000000e+001	2.1650e-015	-9.5681e-015	1.5528e-014	-2.0316e-014	2.4506e-014	-2.8328e-014	3.1894e-014	-3.5270e-014	3.8494e-014	-4.1618e-014	4.5150e-014	-5.1469e-014
9.000000e+001	1.7592e-014	-7.1383e-014	1.1204e-013	-1.4383e-013	1.7122e-013	-1.9594e-013	2.1881e-013	-2.4031e-013	2.6073e-013	-2.8044e-013	3.0282e-013	-3.4365e-013
1.000000e+002	1.3882e-013	-5.1576e-013	7.8208e-013	-9.8437e-013	1.1559e-012	-1.3090e-012	1.4495e-012	-1.5806e-012	1.7044e-012	-1.8234e-012	1.9594e-012	-2.2132e-012
1.100000e+002	1.0629e-012	-3.6049e-012	5.2745e-012	-6.5045e-012	7.5303e-012	-8.4355e-012	9.2590e-012	-1.0022e-011	1.0739e-011	-1.1424e-011	1.2214e-011	-1.3730e-011
1.200000e+002	7.8874e-012	-2.4346e-011	3.4325e-011	-4.1442e-011	4.7275e-011	-5.2363e-011	5.6951e-011	-6.1174e-011	6.5114e-011	-6.8865e-011	7.3243e-011	-8.1918e-011
1.300000e+002	5.6675e-011	-1.5867e-010	2.1526e-010	-2.5422e-010	2.8558e-010	-3.1262e-010	3.3679e-010	-3.5887e-010	3.7935e-010	-3.9876e-010	4.2180e-010	-4.6928e-010
1.400000e+002	3.9388e-010	-9.9654e-010	1.2989e-009	-1.4991e-009	1.6574e-009	-1.7921e-009	1.9115e-009	-2.0199e-009	2.1198e-009	-2.2141e-009	2.3287e-009	-2.5766e-009
1.500000e+002	2.6444e-009	-6.0226e-009	7.5290e-009	-8.4837e-009	9.2236e-009	-9.8466e-009	1.0394e-008	-1.0887e-008	1.1339e-008	-1.1765e-008	1.2300e-008	-1.3531e-008
1.600000e+002	1.7129e-008	-3.4967e-008	4.1849e-008	-4.5988e-008	4.9131e-008	-5.1748e-008	5.4032e-008	-5.6078e-008	5.7944e-008	-5.9702e-008	6.2023e-008	-6.7817e-008
1.700000e+002	1.0690e-007	-1.9470e-007	2.2263e-007	-2.3829e-007	2.4994e-007	-2.5957e-007	2.6792e-007	-2.7539e-007	2.8219e-007	-2.8861e-007	2.9785e-007	-3.2359e-007
1.800000e+002	6.4177e-007	-1.0376e-006	1.1310e-006	-1.1776e-006	1.2115e-006	-1.2396e-006	1.2641e-006	-1.2861e-006	1.3063e-006	-1.3256e-006	1.3585e-006	-1.4660e-006
1.900000e+002	3.7004e-006	-5.2812e-006	5.4744e-006	-5.5360e-006	5.5803e-006	-5.6204e-006	5.6586e-006	-5.6954e-006	5.7306e-006	-5.7678e-006	5.8668e-006	-6.2857e-006
2.000000e+002	2.0455e-005	-2.5613e-005	2.5178e-005	-2.4688e-005	2.4353e-005	-2.4122e-005	2.3957e-005	-2.3837e-005	2.3747e-005	-2.3691e-005	2.3908e-005	-2.5419e-005
2.100000e+002	1.0819e-004	-1.1804e-004	1.0970e-004	-1.0410e-004	1.0035e-004	-9.7644e-005	9.5581e-005	-9.3940e-005	9.2594e-005	-9.1511e-005	9.1566e-005	-9.6559e-005
2.200000e+002	5.4630e-004	-5.1547e-004	4.5127e-004	-4.1354e-004	3.8894e-004	-3.7131e-004	3.5785e-004	-3.4709e-004	3.3822e-004	-3.3090e-004	3.2808e-004	-3.4292e-004
