Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12	el Psi 13	el Psi 14	el Psi 15	el Psi 16	el Psi 17
2.200000e+002	2.1682e-004	2.4919e-003	-2.6647e-003	2.8271e-003	1.9431e-015	-3.0780e-003	1.0795e-002	2.9380e-003	-3.4680e-003	3.8587e-003	-4.3107e-003	4.8575e-003	-5.5380e-003	6.4164e-003	-7.6219e-003	9.5088e-003	-1.3280e-002
2.300000e+002	6.8231e-005	7.0618e-003	-6.4812e-003	6.2896e-003	4.1405e-015	-6.3393e-003	5.3012e-003	6.3120e-003	-6.6873e-003	7.0536e-003	-7.5026e-003	8.0500e-003	-8.7203e-003	9.5586e-003	-1.0663e-002	1.2329e-002	-1.5520e-002
2.400000e+002	2.2348e-005	2.0180e-002	-1.5963e-002	1.4243e-002	9.0261e-015	-1.3454e-002	2.7009e-003	1.3010e-002	-1.2980e-002	1.3079e-002	-1.3314e-002	1.3670e-002	-1.4146e-002	1.4762e-002	-1.5582e-002	1.6852e-002	-1.9316e-002
2.500000e+002	9.1445e-006	5.6856e-002	-3.8713e-002	3.1755e-002	1.9383e-014	-2.8169e-002	1.4587e-003	2.6001e-002	-2.4678e-002	2.3791e-002	-2.3203e-002	2.2823e-002	-2.2601e-002	2.2512e-002	-2.2574e-002	2.2978e-002	-2.4219e-002
2.600000e+002	8.4018e-006	1.5425e-001	-8.9782e-002	6.7413e-002	3.9559e-014	-5.5991e-002	8.0466e-004	4.8977e-002	-4.4197e-002	4.0657e-002	-3.7883e-002	3.5602e-002	-3.3646e-002	3.1904e-002	-3.0322e-002	2.9000e-002	-2.8095e-002
2.700000e+002	5.8716e-006	1.7334e-001	-6.5084e-002	3.5389e-002	1.7452e-014	-2.1653e-002	-7.9264e-004	1.3602e-002	-8.0928e-003	3.9874e-003	-7.0632e-004	-2.0512e-003	4.4610e-003	-6.6388e-003	8.6855e-003	-1.0796e-002	1.3481e-002
2.800000e+002	3.5533e-006	1.4758e-001	-1.6569e-003	-2.3359e-002	-1.8966e-014	3.1335e-002	-1.6580e-003	-3.4594e-002	3.6183e-002	-3.6940e-002	3.7261e-002	-3.7309e-002	3.7161e-002	-3.6859e-002	3.6461e-002	-3.6222e-002	3.6601e-002
2.900000e+002	1.9737e-006	1.0898e-001	6.2472e-002	-6.8480e-002	-4.3089e-014	6.2716e-002	-1.2772e-003	-5.6126e-002	5.0140e-002	-4.4764e-002	3.9895e-002	-3.5409e-002	3.1204e-002	-2.7203e-002	2.3351e-002	-1.9654e-002	1.5903e-002
3.000000e+002	1.0351e-006	7.3644e-002	1.0746e-001	-8.1659e-002	-4.4319e-014	5.8185e-002	-8.5765e-005	-4.0959e-002	2.7947e-002	-1.7707e-002	9.3630e-003	-2.3842e-003	-3.5632e-003	8.7024e-003	-1.3213e-002	1.7401e-002	-2.1974e-002
3.100000e+002	5.2037e-007	4.6757e-002	1.2864e-001	-6.3672e-002	-2.5759e-014	2.5269e-002	1.1528e-003	-2.4845e-003	-1.2025e-002	2.1646e-002	-2.8159e-002	3.2534e-002	-3.5343e-002	3.6948e-002	-3.7626e-002	3.7792e-002	-3.7977e-002
3.200000e+002	2.5312e-007	2.8317e-002	1.2980e-001	-2.5582e-002	2.6052e-015	-1.8308e-002	1.8335e-003	3.7240e-002	-4.5140e-002	4.7394e-002	-4.6515e-002	4.3757e-002	-3.9816e-002	3.5109e-002	-2.9917e-002	2.4485e-002	-1.8678e-002
3.300000e+002	1.1986e-007	1.6517e-002	1.1774e-001	1.9209e-002	3.0118e-014	-5.5147e-002	1.7255e-003	6.0233e-002	-5.4943e-002	4.5907e-002	-3.5716e-002	2.5468e-002	-1.5671e-002	6.5739e-003	1.7218e-003	-9.3374e-003	1.6977e-002
