Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12
2.000000e+001	6.4064e-021	-5.5960e-020	1.1828e-019	-1.7968e-019	2.4049e-019	-3.0117e-019	3.6199e-019	-4.2308e-019	4.8449e-019	-5.4655e-019	6.1555e-019	-7.2607e-019
3.000000e+001	5.6835e-020	-4.5830e-019	9.3941e-019	-1.4025e-018	1.8550e-018	-2.3022e-018	2.7469e-018	-3.1908e-018	3.6348e-018	-4.0815e-018	4.5778e-018	-5.3784e-018
4.000000e+001	5.4712e-019	-4.0951e-018	8.1576e-018	-1.1985e-017	1.5678e-017	-1.9294e-017	2.2866e-017	-2.6411e-017	2.9939e-017	-3.3475e-017	3.7401e-017	-4.3781e-017
5.000000e+001	5.1884e-018	-3.6009e-017	6.9684e-017	-1.0073e-016	1.3029e-016	-1.5898e-016	1.8713e-016	-2.1489e-016	2.4240e-016	-2.6985e-016	3.0033e-016	-3.5025e-016
6.000000e+001	4.8299e-017	-3.1036e-016	5.8309e-016	-8.2895e-016	1.0600e-015	-1.2823e-015	1.4987e-015	-1.7110e-015	1.9202e-015	-2.1282e-015	2.3591e-015	-2.7408e-015
7.000000e+001	4.4021e-016	-2.6145e-015	4.7654e-015	-6.6603e-015	8.4176e-015	-1.0092e-014	1.1710e-014	-1.3289e-014	1.4836e-014	-1.6368e-014	1.8070e-014	-2.0912e-014
8.000000e+001	3.9175e-015	-2.1461e-014	3.7918e-014	-5.2075e-014	6.5025e-014	-7.7245e-014	8.8970e-014	-1.0034e-013	1.1142e-013	-1.2235e-013	1.3451e-013	-1.5504e-013
9.000000e+001	3.3939e-014	-1.7109e-013	2.9274e-013	-3.9484e-013	4.8692e-013	-5.7296e-013	6.5489e-013	-7.3383e-013	8.1043e-013	-8.8561e-013	9.6937e-013	-1.1126e-012
1.000000e+002	2.8532e-013	-1.3199e-012	2.1848e-012	-2.8920e-012	3.5208e-012	-4.1023e-012	4.6518e-012	-5.1778e-012	5.6857e-012	-6.1819e-012	6.7360e-012	-7.6982e-012
1.100000e+002	2.3195e-012	-9.8166e-012	1.5697e-011	-2.0378e-011	2.4477e-011	-2.8229e-011	3.1746e-011	-3.5091e-011	3.8303e-011	-4.1427e-011	4.4928e-011	-5.1115e-011
1.200000e+002	1.8164e-011	-7.0071e-011	1.0808e-010	-1.3748e-010	1.6283e-010	-1.8578e-010	2.0713e-010	-2.2729e-010	2.4654e-010	-2.6519e-010	2.8618e-010	-3.2405e-010
1.300000e+002	1.3645e-010	-4.7773e-010	7.0955e-010	-8.8344e-010	1.0309e-009	-1.1630e-009	1.2848e-009	-1.3991e-009	1.5076e-009	-1.6123e-009	1.7308e-009	-1.9501e-009
1.400000e+002	9.7856e-010	-3.0939e-009	4.4153e-009	-5.3742e-009	6.1738e-009	-6.8819e-009	7.5293e-009	-8.1326e-009	8.7019e-009	-9.2484e-009	9.8736e-009	-1.1065e-008
1.500000e+002	6.6635e-009	-1.8912e-008	2.5868e-008	-3.0735e-008	3.4721e-008	-3.8211e-008	4.1375e-008	-4.4302e-008	4.7047e-008	-4.9672e-008	5.2716e-008	-5.8742e-008
1.600000e+002	4.2820e-008	-1.0832e-007	1.4156e-007	-1.6389e-007	1.8184e-007	-1.9737e-007	2.1133e-007	-2.2415e-007	2.3612e-007	-2.4751e-007	2.6099e-007	-2.8903e-007
1.700000e+002	2.3262e-007	-5.1255e-007	6.3362e-007	-7.1044e-007	7.7084e-007	-8.2243e-007	8.6838e-007	-9.1029e-007	9.4914e-007	-9.8602e-007	1.0313e-006	-1.1333e-006
1.800000e+002	1.2219e-006	-2.3289e-006	2.7143e-006	-2.9415e-006	3.1164e-006	-3.2644e-006	3.3955e-006	-3.5146e-006	3.6246e-006	-3.7291e-006	3.8665e-006	-4.2131e-006
1.900000e+002	6.2256e-006	-1.0209e-005	1.1189e-005	-1.1702e-005	1.2092e-005	-1.2424e-005	1.2721e-005	-1.2993e-005	1.3245e-005	-1.3489e-005	1.3857e-005	-1.4966e-005
2.000000e+002	3.0740e-005	-4.3122e-005	4.4328e-005	-4.4665e-005	4.4958e-005	-4.5267e-005	4.5589e-005	-4.5915e-005	4.6242e-005	-4.6587e-005	4.7396e-005	-5.0710e-005
2.100000e+002	1.4694e-004	-1.7525e-004	1.6847e-004	-1.6324e-004	1.5985e-004	-1.5755e-004	1.5593e-004	-1.5474e-004	1.5384e-004	-1.5323e-004	1.5430e-004	-1.6346e-004
2.200000e+002	6.7914e-004	-6.8405e-004	6.1296e-004	-5.7001e-004	5.4219e-004	-5.2248e-004	5.0762e-004	-4.9590e-004	4.8635e-004	-4.7860e-004	4.7667e-004	-4.9965e-004
2.300000e+002	3.0312e-003	-2.5595e-003	2.1302e-003	-1.8968e-003	1.7496e-003	-1.6461e-003	1.5682e-003	-1.5066e-003	1.4562e-003	-1.4146e-003	1.3925e-003	-1.4432e-003
2.400000e+002	1.3047e-002	-9.1613e-003	7.0529e-003	-5.9978e-003	5.3542e-003	-4.9108e-003	4.5812e-003	-4.3233e-003	4.1140e-003	-3.9414e-003	3.8312e-003	-3.9227e-003
2.500000e+002	5.4073e-002	-3.1291e-002	2.2182e-002	-1.7962e-002	1.5484e-002	-1.3819e-002	1.2604e-002	-1.1667e-002	1.0917e-002	-1.0303e-002	9.8793e-003	-9.9822e-003
2.600000e+002	2.1532e-001	-1.0166e-001	6.6007e-002	-5.0719e-002	4.2108e-002	-3.6485e-002	3.2474e-002	-2.9438e-002	2.7044e-002	-2.5108e-002	2.3718e-002	-2.3620e-002
