Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
0.000000e+000	-6.40000000e+000	-9.80000000e+000	3.74645591e+007	-7.00000000e+000	1.8691e+008	1.0000e-010	0.0000e+000
1.000000e+001	-2.09354409e+000	-6.19354409e+000	1.16888243e+007	0.00000000e+000	1.2309e+021	1.0000e-010	-1.3848e+020
2.000000e+001	-9.24661661e-001	-5.02466166e+000	4.61508968e+006	0.00000000e+000	3.6160e+020	1.0000e-010	0.0000e+000
3.000000e+001	-4.63152693e-001	-4.56315269e+000	2.09987455e+006	0.00000000e+000	1.2857e+020	1.0000e-010	0.0000e+000
4.000000e+001	-2.53165237e-001	-4.35316524e+000	1.07378058e+006	0.00000000e+000	5.2452e+019	1.0000e-010	0.0000e+000
5.000000e+001	-1.45787179e-001	-4.24578718e+000	6.16225853e+005	0.00000000e+000	2.3390e+019	1.0000e-010	0.0000e+000
6.000000e+001	-8.41645936e-002	-4.18416459e+000	4.00142400e+005	0.00000000e+000	1.1046e+019	1.0000e-010	0.0000e+000
7.000000e+001	-4.41503536e-002	-4.14415035e+000	2.94685105e+005	0.00000000e+000	5.3908e+018	1.0000e-010	0.0000e+000
8.000000e+001	-1.46818431e-002	-4.11468184e+000	2.43216653e+005	0.00000000e+000	2.6310e+018	1.0000e-010	0.0000e+000
9.000000e+001	9.63982216e-003	-4.09036018e+000	2.18397282e+005	0.00000000e+000	1.2687e+018	1.0000e-010	0.0000e+000
1.000000e+002	3.14795503e-002	-4.06852045e+000	2.06571175e+005	0.00000000e+000	6.0453e+017	1.0000e-010	0.0000e+000
1.100000e+002	5.21366678e-002	-4.04786333e+000	2.00981274e+005	0.00000000e+000	2.8575e+017	1.0000e-010	0.0000e+000
1.200000e+002	7.22347952e-002	-4.02776520e+000	1.98350911e+005	0.00000000e+000	1.3446e+017	1.0000e-010	0.0000e+000
1.300000e+002	9.20698863e-002	-4.00793011e+000	1.97116014e+005	0.00000000e+000	6.3126e+016	1.0000e-010	0.0000e+000
1.400000e+002	1.11781488e-001	-3.98821851e+000	1.96534225e+005	0.00000000e+000	2.9740e+016	1.0000e-010	0.0000e+000
1.500000e+002	1.31434910e-001	-3.96856509e+000	1.96262204e+005	0.00000000e+000	1.3905e+016	1.0000e-010	0.0000e+000
1.600000e+002	1.51061131e-001	-3.94893887e+000	1.96134885e+005	0.00000000e+000	6.5084e+015	1.0000e-010	0.0000e+000
1.700000e+002	1.70674619e-001	-3.92932538e+000	1.96075263e+005	0.00000000e+000	3.0478e+015	1.0000e-010	0.0000e+000
1.800000e+002	1.90282145e-001	-3.90971785e+000	1.96047337e+005	0.00000000e+000	1.4275e+015	1.0000e-010	0.0000e+000
1.900000e+002	2.09886879e-001	-3.89011312e+000	1.96034255e+005	0.00000000e+000	6.6872e+014	1.0000e-010	0.0000e+000
2.000000e+002	-3.30509696e-001	-3.73050970e+000	1.34657360e+006	0.00000000e+000	7.7809e+019	1.0000e-010	1.3848e+020
