Y (ang)	Ec (eV)	Ev (eV)	E (V/cm)	Ef (eV)	n (cm-3)	p (cm-3)	Nd - Na (cm-3)
0.000000e+000	-6.40000000e+000	-9.80000000e+000	3.74563901e+007	-7.00000000e+000	1.8691e+008	1.0000e-010	0.0000e+000
1.000000e+001	-2.09436099e+000	-6.19436099e+000	1.16663434e+007	0.00000000e+000	1.2316e+021	1.0000e-010	-1.3848e+020
2.000000e+001	-9.23059982e-001	-5.02889332e+000	4.58819495e+006	0.00000000e+000	3.6066e+020	1.0000e-010	-1.2163e+018
3.000000e+001	-4.59573820e-001	-4.57124049e+000	2.07800868e+006	0.00000000e+000	1.2709e+020	1.0000e-010	-1.2173e+018
4.000000e+001	-2.47106286e-001	-4.36460629e+000	1.06382110e+006	0.00000000e+000	5.0614e+019	1.0000e-010	-1.2184e+018
5.000000e+001	-1.36057509e-001	-4.25939084e+000	6.25647739e+005	0.00000000e+000	2.1171e+019	1.0000e-010	-1.2194e+018
6.000000e+001	-6.88260683e-002	-4.19799273e+000	4.32733508e+005	0.00000000e+000	8.6372e+018	1.0000e-010	-1.2204e+018
7.000000e+001	-2.08860508e-002	-4.15588605e+000	3.48034537e+005	0.00000000e+000	3.1074e+018	1.0000e-010	-1.2215e+018
8.000000e+001	1.85840695e-002	-4.12224926e+000	3.05660708e+005	0.00000000e+000	9.4420e+017	1.0000e-010	-1.2225e+018
9.000000e+001	5.38168070e-002	-4.09284986e+000	2.76489930e+005	0.00000000e+000	2.6849e+017	1.0000e-010	-1.2235e+018
1.000000e+002	8.61324666e-002	-4.06636753e+000	2.50995772e+005	0.00000000e+000	7.9225e+016	1.0000e-010	-1.2245e+018
1.100000e+002	1.15898711e-001	-4.04243462e+000	2.26526000e+005	0.00000000e+000	2.5362e+016	1.0000e-010	-1.2256e+018
1.200000e+002	1.43217977e-001	-4.02094869e+000	2.02349482e+005	0.00000000e+000	8.8152e+015	1.0000e-010	-1.2266e+018
1.300000e+002	1.68119592e-001	-4.00188041e+000	1.78248772e+005	0.00000000e+000	3.3644e+015	1.0000e-010	-1.2276e+018
1.400000e+002	1.90611136e-001	-3.98522220e+000	1.54155331e+005	0.00000000e+000	1.4095e+015	1.0000e-010	-1.2287e+018
1.500000e+002	2.10693336e-001	-3.97097333e+000	1.30045742e+005	0.00000000e+000	6.4818e+014	1.0000e-010	-1.2297e+018
1.600000e+002	2.28364577e-001	-3.95913542e+000	1.05911350e+005	0.00000000e+000	3.2722e+014	1.0000e-010	-1.2307e+018
1.700000e+002	2.43622378e-001	-3.94971096e+000	8.17487002e+004	0.00000000e+000	1.8135e+014	1.0000e-010	-1.2317e+018
1.800000e+002	2.56463915e-001	-3.94270275e+000	5.75563039e+004	0.00000000e+000	1.1035e+014	1.0000e-010	-1.2328e+018
1.900000e+002	2.66886212e-001	-3.93811379e+000	3.33334651e+004	0.00000000e+000	7.3739e+013	1.0000e-010	-1.2338e+018
2.000000e+002	2.74886225e-001	-3.93594711e+000	9.07982956e+003	0.00000000e+000	5.4113e+013	1.0000e-010	-1.2348e+018
2.100000e+002	2.80460875e-001	-3.93620579e+000	-1.52048031e+004	0.00000000e+000	4.3617e+013	1.0000e-010	-1.2359e+018
2.200000e+002	2.83607061e-001	-3.93889294e+000	-3.95205620e+004	0.00000000e+000	3.8619e+013	1.0000e-010	-1.2369e+018
2.300000e+002	2.84321672e-001	-3.94401166e+000	-6.38675458e+004	0.00000000e+000	3.7566e+013	1.0000e-010	-1.2379e+018
2.400000e+002	2.82601584e-001	-3.95156508e+000	-8.82458473e+004	0.00000000e+000	4.0151e+013	1.0000e-010	-1.2390e+018
2.500000e+002	1.66443666e-001	-3.93355633e+000	4.64493698e+005	0.00000000e+000	3.5897e+015	1.0000e-010	2.8235e+019
2.600000e+002	-3.47106965e-001	-3.74710696e+000	1.49611520e+006	0.00000000e+000	8.3681e+019	1.0000e-010	1.3848e+020
2.700000e+002	-1.97495444e-001	-3.59749544e+000	8.01802886e+005	0.00000000e+000	3.6452e+019	1.0000e-010	0.0000e+000
2.800000e+002	-1.17315156e-001	-3.51731516e+000	4.74606900e+005	0.00000000e+000	1.7178e+019	1.0000e-010	0.0000e+000
2.900000e+002	-6.98544656e-002	-3.46985447e+000	3.07185059e+005	0.00000000e+000	8.7897e+018	1.0000e-010	0.0000e+000
3.000000e+002	-3.91359597e-002	-3.43913596e+000	2.15133982e+005	0.00000000e+000	4.8327e+018	1.0000e-010	0.0000e+000
