Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4
7.800000e+002	4.9230e-004	1.3335e-002	6.0062e-002	5.1858e-002
7.900000e+002	3.7203e-004	1.1144e-002	5.5626e-002	5.8670e-002
8.000000e+002	2.8015e-004	9.2644e-003	5.1044e-002	6.3956e-002
8.100000e+002	2.1024e-004	7.6628e-003	4.6439e-002	6.7714e-002
8.200000e+002	1.5724e-004	6.3076e-003	4.1908e-002	6.9997e-002
8.300000e+002	1.1723e-004	5.1679e-003	3.7531e-002	7.0897e-002
8.400000e+002	8.7125e-005	4.2151e-003	3.3365e-002	7.0538e-002
8.500000e+002	6.4555e-005	3.4230e-003	2.9453e-002	6.9063e-002
8.600000e+002	4.7690e-005	2.7678e-003	2.5820e-002	6.6627e-002
8.700000e+002	3.5128e-005	2.2286e-003	2.2481e-002	6.3388e-002
8.800000e+002	2.5802e-005	1.7867e-003	1.9438e-002	5.9502e-002
8.900000e+002	1.8897e-005	1.4262e-003	1.6686e-002	5.5114e-002
9.000000e+002	1.3799e-005	1.1331e-003	1.4214e-002	5.0359e-002
9.100000e+002	1.0044e-005	8.9551e-004	1.2004e-002	4.5354e-002
9.200000e+002	7.2838e-006	7.0329e-004	1.0035e-002	4.0202e-002
9.300000e+002	5.2572e-006	5.4786e-004	8.2861e-003	3.4986e-002
9.400000e+002	3.7685e-006	4.2200e-004	6.7310e-003	2.9770e-002
9.500000e+002	2.6714e-006	3.1958e-004	5.3444e-003	2.4603e-002
9.600000e+002	1.8561e-006	2.3543e-004	4.1000e-003	1.9515e-002
9.700000e+002	1.2395e-006	1.6509e-004	2.9710e-003	1.4520e-002
9.800000e+002	7.5740e-007	1.0468e-004	1.9302e-003	9.6153e-003
9.900000e+002	3.5870e-007	5.0740e-005	9.4962e-004	4.7856e-003
1.000000e+003	9.6501e-012	1.4271e-009	2.7497e-008	1.4178e-007
