Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12
4.900000e+002	2.6559e-008	6.9934e-005	3.8182e-003	3.6089e-002	9.1482e-002	2.5602e-002	-6.1555e-002	3.9980e-002	-5.8617e-003	-2.0544e-002	3.5591e-002	-4.2357e-002
5.000000e+002	1.1096e-008	3.8726e-005	2.5191e-003	2.7832e-002	8.5367e-002	4.7502e-002	-6.1088e-002	2.0940e-002	1.7346e-002	-3.7692e-002	4.2391e-002	-3.6910e-002
5.100000e+002	4.6085e-009	2.1252e-005	1.6409e-003	2.1064e-002	7.6910e-002	6.5122e-002	-5.1998e-002	-1.9563e-003	3.6714e-002	-4.5266e-002	3.7163e-002	-1.9899e-002
5.200000e+002	1.9035e-009	1.1563e-005	1.0563e-003	1.5671e-002	6.7245e-002	7.7637e-002	-3.6177e-002	-2.4516e-002	4.8387e-002	-4.1872e-002	2.1828e-002	3.1140e-003
5.300000e+002	7.8204e-010	6.2412e-006	6.7235e-004	1.1475e-002	5.7280e-002	8.4941e-002	-1.6081e-002	-4.3123e-002	5.0462e-002	-2.8803e-002	8.0136e-004	2.5223e-002
5.400000e+002	3.1968e-010	3.3428e-006	4.2351e-004	8.2807e-003	4.7677e-002	8.7459e-002	5.7421e-003	-5.5243e-002	4.3071e-002	-9.3893e-003	-2.0426e-002	4.0280e-002
5.500000e+002	1.3005e-010	1.7774e-006	2.6414e-004	5.8950e-003	3.8871e-002	8.5956e-002	2.7008e-002	-5.9627e-002	2.8048e-002	1.1995e-002	-3.6759e-002	4.4494e-002
5.600000e+002	5.2659e-011	9.3852e-007	1.6320e-004	4.1437e-003	3.1103e-002	8.1361e-002	4.5924e-002	-5.6255e-002	8.3354e-003	3.0981e-002	-4.4653e-002	3.7175e-002
5.700000e+002	2.1228e-011	4.9228e-007	9.9945e-005	2.8782e-003	2.4464e-002	7.4622e-002	6.1284e-002	-4.6109e-002	-1.2691e-002	4.4073e-002	-4.2725e-002	2.0578e-002
5.800000e+002	8.5209e-012	2.5658e-007	6.0692e-005	1.9770e-003	1.8942e-002	6.6611e-002	7.2471e-002	-3.0838e-002	-3.1835e-002	4.9188e-002	-3.1797e-002	-9.6305e-004
5.900000e+002	3.4063e-012	1.3292e-007	3.6560e-005	1.3437e-003	1.4453e-002	5.8062e-002	7.9373e-002	-1.2417e-002	-4.6545e-002	4.5843e-002	-1.4456e-002	-2.2282e-002
6.000000e+002	1.3563e-012	6.8460e-008	2.1855e-005	9.0417e-004	1.0880e-002	4.9550e-002	8.2273e-002	7.1638e-003	-5.5176e-002	3.5013e-002	5.6749e-003	-3.8641e-002
6.100000e+002	5.3797e-013	3.5062e-008	1.2969e-005	6.0270e-004	8.0867e-003	4.1486e-002	8.1716e-002	2.6136e-002	-5.7065e-002	1.8759e-002	2.4758e-002	-4.6723e-002
6.200000e+002	2.1260e-013	1.7861e-008	7.6421e-006	3.9814e-004	5.9395e-003	3.4136e-002	7.8393e-002	4.3099e-002	-5.2448e-002	-2.4652e-004	3.9474e-002	-4.5181e-002
6.300000e+002	8.3717e-014	9.0511e-009	4.4729e-006	2.6077e-004	4.3139e-003	2.7644e-002	7.3038e-002	5.7090e-002	-4.2266e-002	-1.9218e-002	4.7540e-002	-3.4688e-002
6.400000e+002	3.2852e-014	4.5638e-009	2.6012e-006	1.6941e-004	3.1002e-003	2.2059e-002	6.6352e-002	6.7584e-002	-2.7924e-002	-3.5670e-002	4.7962e-002	-1.7590e-002
6.500000e+002	1.2849e-014	2.2901e-009	1.5033e-006	1.0919e-004	2.2058e-003	1.7363e-002	5.8952e-002	7.4443e-002	-1.1044e-002	-4.7712e-002	4.1031e-002	2.7249e-003
