V	C (Fcm-2)	Initcharge (cm-2)	Finalcharge (cm-2)	ns Total (cm-2)	ps Total (cm-2)
-2.380e+000	2.9538e-007	-1.6210e+012	-1.6026e+012	1.6026e+012	5.2500e-015
-2.370e+000	2.9553e-007	-1.6395e+012	-1.6210e+012	1.6210e+012	5.2500e-015
-2.360e+000	2.9567e-007	-1.6579e+012	-1.6395e+012	1.6394e+012	5.2500e-015
-2.350e+000	2.9582e-007	-1.6764e+012	-1.6579e+012	1.6579e+012	5.2500e-015
-2.340e+000	2.9596e-007	-1.6949e+012	-1.6764e+012	1.6764e+012	5.2500e-015
-2.330e+000	2.9610e-007	-1.7133e+012	-1.6949e+012	1.6948e+012	5.2500e-015
-2.320e+000	2.9623e-007	-1.7318e+012	-1.7133e+012	1.7133e+012	5.2500e-015
-2.310e+000	2.9636e-007	-1.7503e+012	-1.7318e+012	1.7318e+012	5.2500e-015
-2.300e+000	2.9649e-007	-1.7688e+012	-1.7503e+012	1.7503e+012	5.2500e-015
-2.290e+000	2.9662e-007	-1.7874e+012	-1.7688e+012	1.7688e+012	5.2500e-015
-2.280e+000	2.9674e-007	-1.8059e+012	-1.7874e+012	1.7873e+012	5.2500e-015
-2.270e+000	2.9686e-007	-1.8244e+012	-1.8059e+012	1.8058e+012	5.2500e-015
-2.260e+000	2.9698e-007	-1.8429e+012	-1.8244e+012	1.8244e+012	5.2500e-015
-2.250e+000	2.9710e-007	-1.8615e+012	-1.8429e+012	1.8429e+012	5.2500e-015
-2.240e+000	2.9721e-007	-1.8800e+012	-1.8615e+012	1.8614e+012	5.2500e-015
-2.230e+000	2.9732e-007	-1.8986e+012	-1.8800e+012	1.8800e+012	5.2500e-015
-2.220e+000	2.9743e-007	-1.9172e+012	-1.8986e+012	1.8986e+012	5.2500e-015
-2.210e+000	2.9754e-007	-1.9357e+012	-1.9172e+012	1.9171e+012	5.2500e-015
