Y (ang)	el Psi 1	el Psi 2	el Psi 3	el Psi 4	el Psi 5	el Psi 6	el Psi 7	el Psi 8	el Psi 9	el Psi 10	el Psi 11	el Psi 12
2.000000e+001	6.7448e-021	-5.0666e-020	1.0110e-019	-1.4879e-019	1.9474e-019	-2.3962e-019	2.8380e-019	-3.2748e-019	3.7079e-019	-4.1421e-019	4.6476e-019	-5.5163e-019
3.000000e+001	5.9743e-020	-4.1541e-019	8.0448e-019	-1.1640e-018	1.5058e-018	-1.8363e-018	2.1591e-018	-2.4764e-018	2.7893e-018	-3.1016e-018	3.4658e-018	-4.0971e-018
4.000000e+001	5.7473e-019	-3.7188e-018	7.0046e-018	-9.9767e-018	1.2766e-017	-1.5439e-017	1.8033e-017	-2.0566e-017	2.3053e-017	-2.5526e-017	2.8414e-017	-3.3465e-017
5.000000e+001	5.0660e-018	-3.0301e-017	5.5359e-017	-7.7494e-017	9.7978e-017	-1.1742e-016	1.3613e-016	-1.5429e-016	1.7203e-016	-1.8959e-016	2.1015e-016	-2.4649e-016
6.000000e+001	4.3492e-017	-2.3989e-016	4.2470e-016	-5.8397e-016	7.2923e-016	-8.6568e-016	9.9598e-016	-1.1217e-015	1.2437e-015	-1.3640e-015	1.5053e-015	-1.7580e-015
7.000000e+001	3.6369e-016	-1.8456e-015	3.1631e-015	-4.2698e-015	5.2641e-015	-6.1884e-015	7.0638e-015	-7.9025e-015	8.7123e-015	-9.5072e-015	1.0445e-014	-1.2145e-014
8.000000e+001	2.9601e-015	-1.3787e-014	2.2851e-014	-3.0263e-014	3.6821e-014	-4.2851e-014	4.8515e-014	-5.3904e-014	5.9078e-014	-6.4133e-014	7.0128e-014	-8.1170e-014
9.000000e+001	2.3432e-014	-9.9904e-014	1.5996e-013	-2.0771e-013	2.4930e-013	-2.8710e-013	3.2231e-013	-3.5558e-013	3.8733e-013	-4.1822e-013	4.5510e-013	-5.2426e-013
1.000000e+002	1.8026e-013	-7.0155e-013	1.0839e-012	-1.3790e-012	1.6318e-012	-1.8591e-012	2.0689e-012	-2.2657e-012	2.4523e-012	-2.6332e-012	2.8510e-012	-3.2681e-012
1.100000e+002	1.3464e-012	-4.7691e-012	7.1006e-012	-8.8455e-012	1.0315e-011	-1.1620e-011	1.2814e-011	-1.3926e-011	1.4974e-011	-1.5985e-011	1.7217e-011	-1.9636e-011
1.200000e+002	9.7550e-012	-3.1349e-011	4.4920e-011	-5.4745e-011	6.2872e-011	-7.0007e-011	7.6474e-011	-8.2453e-011	8.8053e-011	-9.3433e-011	1.0009e-010	-1.1354e-010
1.300000e+002	6.8493e-011	-1.9902e-010	2.7405e-010	-3.2647e-010	3.6904e-010	-4.0596e-010	4.3912e-010	-4.6955e-010	4.9786e-010	-5.2497e-010	5.5917e-010	-6.3083e-010
1.400000e+002	4.6555e-010	-1.2186e-009	1.6101e-009	-1.8732e-009	2.0827e-009	-2.2622e-009	2.4220e-009	-2.5675e-009	2.7021e-009	-2.8306e-009	2.9972e-009	-3.3617e-009
1.500000e+002	3.0598e-009	-7.1866e-009	9.0955e-009	-1.0323e-008	1.1282e-008	-1.2093e-008	1.2809e-008	-1.3456e-008	1.4052e-008	-1.4619e-008	1.5383e-008	-1.7150e-008
1.600000e+002	1.9422e-008	-4.0758e-008	4.9319e-008	-5.4546e-008	5.8547e-008	-6.1894e-008	6.4825e-008	-6.7459e-008	6.9868e-008	-7.2165e-008	7.5444e-008	-8.3574e-008
1.700000e+002	1.1891e-007	-2.2191e-007	2.5621e-007	-2.7580e-007	2.9048e-007	-3.0266e-007	3.1326e-007	-3.2276e-007	3.3142e-007	-3.3973e-007	3.5274e-007	-3.8813e-007
1.800000e+002	7.0113e-007	-1.1578e-006	1.2726e-006	-1.3315e-006	1.3748e-006	-1.4107e-006	1.4420e-006	-1.4702e-006	1.4960e-006	-1.5213e-006	1.5681e-006	-1.7133e-006
1.900000e+002	3.9757e-006	-5.7770e-006	6.0300e-006	-6.1232e-006	6.1910e-006	-6.2507e-006	6.3061e-006	-6.3584e-006	6.4080e-006	-6.4610e-006	6.6089e-006	-7.1666e-006
2.000000e+002	2.1643e-005	-2.7504e-005	2.7188e-005	-2.6749e-005	2.6451e-005	-2.6253e-005	2.6118e-005	-2.6026e-005	2.5962e-005	-2.5941e-005	2.6319e-005	-2.8312e-005
2.100000e+002	1.1290e-004	-1.2463e-004	1.1631e-004	-1.1066e-004	1.0688e-004	-1.0416e-004	1.0210e-004	-1.0046e-004	9.9130e-005	-9.8100e-005	9.8663e-005	-1.0523e-004
2.200000e+002	5.6321e-004	-5.3601e-004	4.7062e-004	-4.3206e-004	4.0692e-004	-3.8892e-004	3.7519e-004	-3.6424e-004	3.5521e-004	-3.4789e-004	3.4661e-004	-3.6628e-004
2.300000e+002	2.6809e-003	-2.1811e-003	1.7944e-003	-1.5857e-003	1.4536e-003	-1.3605e-003	1.2901e-003	-1.2344e-003	1.1886e-003	-1.1511e-003	1.1353e-003	-1.1877e-003
2.400000e+002	1.2146e-002	-8.3667e-003	6.4203e-003	-5.4449e-003	4.8479e-003	-4.4356e-003	4.1285e-003	-3.8879e-003	3.6925e-003	-3.5326e-003	3.4453e-003	-3.5652e-003
2.500000e+002	5.2224e-002	-3.0129e-002	2.1448e-002	-1.7397e-002	1.5005e-002	-1.3393e-002	1.2214e-002	-1.1304e-002	1.0574e-002	-9.9800e-003	9.6145e-003	-9.8292e-003
2.600000e+002	2.1236e-001	-1.0131e-001	6.6475e-002	-5.1352e-002	4.2770e-002	-3.7142e-002	3.3114e-002	-3.0060e-002	2.7647e-002	-2.5703e-002	2.4423e-002	-2.4630e-002
2.700000e+002	1.8322e-001	-1.5451e-002	-7.5989e-003	1.3574e-002	-1.5725e-002	1.6578e-002	-1.6883e-002	1.6925e-002	-1.6834e-002	1.6685e-002	-1.6740e-002	1.7754e-002
2.800000e+002	1.1523e-001	8.3863e-002	-7.3220e-002	6.1582e-002	-5.3187e-002	4.6981e-002	-4.2202e-002	3.8391e-002	-3.5269e-002	3.2684e-002	-3.0910e-002	3.0978e-002
2.900000e+002	6.2661e-002	1.3916e-001	-8.2720e-002	5.4144e-002	-3.7906e-002	2.7557e-002	-2.0431e-002	1.5252e-002	-1.1338e-002	8.2960e-003	-5.9304e-003	4.0372e-003
3.000000e+002	3.1238e-002	1.4974e-001	-4.5657e-002	8.9782e-003	7.2481e-003	-1.5483e-002	1.9977e-002	-2.2502e-002	2.3905e-002	-2.4654e-002	2.5353e-002	-2.7316e-002
3.100000e+002	1.4692e-002	1.3298e-001	1.0771e-002	-4.1198e-002	4.7696e-002	-4.7403e-002	4.4934e-002	-4.1816e-002	3.8616e-002	-3.5580e-002	3.3204e-002	-3.2603e-002
3.200000e+002	6.6264e-003	1.0538e-001	6.3719e-002	-7.2547e-002	6.1994e-002	-5.0066e-002	3.9675e-002	-3.1087e-002	2.4061e-002	-1.8315e-002	1.3722e-002	-1.0075e-002
3.300000e+002	2.8949e-003	7.7278e-002	1.0097e-001	-7.6315e-002	4.7063e-002	-2.5674e-002	1.0785e-002	-4.1070e-004	-6.8807e-003	1.2054e-002	-1.6001e-002	2.0276e-002
3.400000e+002	1.2330e-003	5.3518e-002	1.1950e-001	-5.5713e-002	1.2808e-002	1.1030e-002	-2.3873e-002	3.0504e-002	-3.3555e-002	3.4532e-002	-3.4756e-002	3.6119e-002
3.500000e+002	5.1422e-004	3.5443e-002	1.2186e-001	-2.0110e-002	-2.6065e-002	4.2997e-002	-4.6960e-002	4.5229e-002	-4.1098e-002	3.6133e-002	-3.1424e-002	2.7926e-002
3.600000e+002	2.1069e-004	2.2635e-002	1.1289e-001	2.0055e-002	-5.6646e-002	5.8322e-002	-4.9277e-002	3.7869e-002	-2.6954e-002	1.7422e-002	-9.4573e-003	2.3351e-003
3.700000e+002	8.5005e-005	1.4023e-002	9.7574e-002	5.6407e-002	-7.1289e-002	5.3218e-002	-3.1611e-002	1.3409e-002	4.2388e-004	-1.0442e-002	1.7771e-002	-2.4625e-002
3.800000e+002	3.3837e-005	8.4651e-003	7.9940e-002	8.3866e-002	-6.8185e-002	3.1197e-002	-2.1508e-003	-1.6671e-002	2.7607e-002	-3.3159e-002	3.5689e-002	-3.7946e-002
3.900000e+002	1.3308e-005	4.9961e-003	6.2721e-002	1.0053e-001	-5.0080e-002	1.6236e-004	2.8050e-002	-4.0247e-002	4.2931e-002	-4.0489e-002	3.5945e-002	-3.1349e-002
4.000000e+002	5.1775e-006	2.8906e-003	4.7467e-002	1.0688e-001	-2.2268e-002	-3.0915e-002	4.9331e-002	-4.9171e-002	4.0935e-002	-3.0090e-002	1.9351e-002	-9.1171e-003
4.100000e+002	1.9946e-006	1.6430e-003	3.4835e-002	1.0483e-001	9.3295e-003	-5.4607e-002	5.6102e-002	-4.1370e-002	2.3402e-002	-7.2341e-003	-5.8514e-003	1.7445e-002
4.200000e+002	7.6157e-007	9.1909e-004	2.4889e-002	9.6824e-002	3.9545e-002	-6.6451e-002	4.7602e-002	-2.0404e-002	-2.5004e-003	1.8458e-002	-2.8579e-002	3.6105e-002
4.300000e+002	2.8838e-007	5.0671e-004	1.7369e-002	8.5288e-002	6.4710e-002	-6.5227e-002	2.7111e-002	6.6413e-003	-2.7559e-002	3.7288e-002	-3.9799e-002	3.9144e-002
4.400000e+002	1.0836e-007	2.7568e-004	1.1868e-002	7.2252e-002	8.2828e-002	-5.2405e-002	3.0182e-004	3.1833e-002	-4.3841e-002	4.2958e-002	-3.5744e-002	2.5986e-002
